census_code,MSW_2001,BF_2001,MSL_2001,FC_2001,CHH_2001,ASSET_2001,band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_1_11,band_1_12,band_1_13,band_1_14,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_2_11,band_2_12,band_2_13,band_2_14,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_3_11,band_3_12,band_3_13,band_3_14,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_4_11,band_4_12,band_4_13,band_4_14,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_5_11,band_5_12,band_5_13,band_5_14,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_6_11,band_6_12,band_6_13,band_6_14,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_7_11,band_7_12,band_7_13,band_7_14,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_8_11,band_8_12,band_8_13,band_8_14,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_9_11,band_9_12,band_9_13,band_9_14,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_10_11,band_10_12,band_10_13,band_10_14,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_11_11,band_11_12,band_11_13,band_11_14,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,band_12_11,band_12_12,band_12_13,band_12_14
14,1,2,3,1,1,1,80465,41261,23613,23837,12123,8439,6688,4387,3720,3292,2988,4251,8403,155990,76085,28618,25410,28199,16240,12664,10478,7018,6043,4690,4124,6385,13146,140357,62190,21922,23823,26813,24862,19215,15222,12622,9690,6763,6115,8067,16502,125651,92346,41195,30256,23183,17316,13048,8841,6939,5284,4804,4549,5520,7611,118565,181763,47735,28555,23286,20895,19330,15990,12514,10806,8587,5610,3195,1104,87,225999,95821,21107,19382,6913,3766,2959,2032,1065,351,53,9,0,0,227596,95708,20470,20380,5659,3956,2626,1727,923,343,62,7,0,0,135450,42843,36372,32298,28810,23002,20562,16234,14520,12379,8990,5833,2072,92,99885,34450,22637,17473,14138,13448,7755,6552,5643,5089,4749,6671,11585,129382,94393,24959,18493,23292,23672,26310,28646,28447,28257,27742,21519,18674,13244,1809,4679,7897,10013,11417,11814,12219,12296,12128,12558,13015,13241,13467,43576,201137,193886,36358,17435,15971,17470,17779,15700,13122,11695,10138,8506,7952,8168,5277
16,3,1,2,1,1,1,122297,32530,10495,10428,9415,8277,7845,6503,5234,4982,4892,4326,5077,16610,133750,23450,10139,12375,6580,7075,6861,5799,5819,7726,5547,6404,4930,12456,117010,19881,18399,10192,9794,8033,7632,7696,9831,8920,9296,7302,4661,10264,133427,21809,12924,10434,7154,7656,7274,8062,6688,7893,6042,5783,3499,10266,141518,20475,10014,7834,6641,6827,6613,6104,6333,7108,7744,8931,7216,5553,172547,64132,8774,2516,720,195,27,0,0,0,0,0,0,0,174221,63628,7769,2559,555,168,11,0,0,0,0,0,0,0,130158,17446,13959,9838,9120,7701,8082,6568,7466,7775,9434,9779,7333,4252,146960,13096,10146,6795,6141,8808,4921,5610,5665,7844,7586,8762,5458,11119,33296,11846,9163,11715,16987,22454,23843,21110,18600,17303,17916,18100,18966,7612,18201,12241,9450,7724,7391,6539,5987,6011,5570,6687,7856,10923,45847,98484,96189,35281,14675,10428,9415,9932,9611,9430,8977,8064,7173,7524,9641,12571
19,1,1,2,1,2,1,109056,56618,24298,26575,17788,12565,9645,5368,3424,2239,1397,1212,2251,14106,107916,43704,25534,23617,15161,16254,13373,8892,7891,5793,2597,1754,2273,11783,81732,30842,31814,21906,23502,18191,17260,15137,14239,9459,6968,2932,2077,10483,91786,37552,24284,21096,16137,16289,13689,13011,10605,10708,7783,7557,4533,11512,89885,33017,20175,18040,16832,18562,18501,16988,15838,13748,11196,7979,4124,1657,73999,110605,61695,27591,9029,2861,673,80,9,0,0,0,0,0,75173,115070,57373,28740,7175,2504,448,52,7,0,0,0,0,0,77862,24575,23750,19935,20604,19045,20286,17859,18291,16488,14789,9863,3075,120,117791,29319,22386,17108,14798,17721,9789,10065,9873,9671,8322,6158,2483,11058,15489,6178,4241,5047,7320,15038,28861,39303,39201,33524,28986,28405,24763,10186,14960,14954,17842,20494,21405,20823,18087,15631,13114,12632,13345,15146,40329,47780,46862,33004,21398,19727,22381,27464,29264,28172,22946,16063,9522,5994,3162,583
21,3,2,3,3,2,2,3920,24732,24081,33226,27764,24012,22751,18080,17938,16984,12677,8288,4962,7,9958,24518,30695,35109,24203,22338,19871,15923,16137,14837,12874,9317,3641,1,6869,27981,40250,30122,25525,19604,18086,16942,17177,14482,12791,7780,1812,1,11726,20844,21057,20966,19777,24934,26030,28761,26777,19897,10756,4904,2148,845,7790,15715,27334,31717,29142,26267,23130,20600,19792,18070,14169,5369,319,8,0,16084,54248,27153,11322,10530,25678,31463,25360,15573,13585,6247,1858,321,0,19661,51557,28615,9724,10177,26871,29605,24288,17004,13009,6698,1918,295,6050,13016,28557,28055,25850,22259,21014,19818,18379,19338,18788,14747,3507,44,18134,17399,16567,17326,22296,34671,27727,28887,21451,16755,11366,5647,1194,2,3163,5561,4500,6250,9608,14898,20106,23678,25551,27558,31228,34544,26098,6679,40,1460,7033,15663,21233,22359,22090,22470,26072,30882,32695,22816,12831,1778,346,14743,32298,31748,28800,26651,26074,24749,21608,16772,9130,4665,1644,194
23,3,1,3,1,2,1,215736,64927,28103,25478,20824,19321,16866,15044,12806,12626,12163,15220,28253,283990,231855,51591,29489,26264,18503,20057,18147,16631,17627,21389,19914,27240,41233,231417,196908,46695,43665,28533,26486,23201,22741,23527,27476,27238,30875,33148,32740,208124,284914,47121,27496,22569,17579,17653,18171,19957,18294,22922,21283,25952,23671,203775,410864,84045,43130,32145,26138,24120,21625,19443,19349,20497,21781,22257,16103,9860,549168,168182,34675,12712,4204,1756,505,131,24,0,0,0,0,0,551924,168864,31497,13267,3629,1625,424,108,18,1,0,0,0,0,339289,68515,61305,48485,42978,36272,32689,25681,24957,24166,26699,25338,13553,1430,278321,37059,25983,19909,18189,20501,16180,18165,18771,22430,26336,34899,30925,203689,297398,54716,31739,26629,27746,33796,44966,50648,48099,41814,36617,32374,29208,15607,45673,29170,22589,18543,15914,14035,12588,11537,11208,13199,15603,21575,90730,448993,424801,72836,35932,28780,27901,28765,27807,26538,24175,21601,17360,14956,13097,6808
24,3,1,3,1,3,2,194026,170818,89193,60263,34872,26857,19540,13475,11870,7759,9087,7951,7476,23828,233883,136911,81186,47966,35401,28786,18568,17943,14095,11398,11354,11848,7501,20175,156471,129782,102231,64878,48826,39884,30572,24476,19169,16203,13152,8191,5444,17736,207783,129597,81784,60439,38423,34759,25638,22287,18934,12757,11218,9559,6907,16930,130604,95688,71523,66714,61697,53503,52208,41201,35771,26055,18489,13212,7020,3330,81558,271238,245931,61756,10197,3424,1575,811,356,127,27,13,2,0,82604,282171,232676,65259,8523,3354,1246,698,318,121,30,14,1,0,106231,83225,81347,71289,64530,56642,47496,43515,35587,31392,27077,19521,8388,775,268751,107153,63872,50422,42429,30067,26475,23601,15799,11538,9466,5634,4460,17348,68542,18903,13114,12684,18649,26047,41536,60248,75002,81810,83079,78461,62666,36274,45389,30157,38039,47837,56342,59184,54399,46545,43303,40335,40953,39415,68861,66256,53399,50360,51605,55888,64583,70402,68671,59936,50047,40168,30468,25309,24540,31639
25,3,2,3,1,2,1,0,0,0,0,0,0,0,0,0,2,0,0,2,3,0,0,0,0,0,0,0,1,2,10,8,8,15,19,0,0,0,0,0,0,4,8,13,10,13,15,29,13,47,21,11,6,9,8,6,3,6,13,1,7,2,14,3,28,42,21,9,22,13,14,16,15,7,7,12,1,0,0,0,0,6,10,56,18,6,0,0,0,0,0,0,0,0,0,20,31,73,32,4,0,0,0,0,0,2,5,7,2,4,15,81,106,54,60,66,82,76,63,30,75,98,38,21,25,22,27,29,33,40,37,134,77,114,12,3,1,0,1,1,0,0,0,0,0,0,70,210,0,0,0,0,0,0,0,1,1,1,3,75,0,0,0,0,0,3,26,97,49,11,4,1,1,2,80
26,3,1,3,1,3,1,0,0,1,2,2,0,0,4,0,1,5,1,5,7,0,2,0,2,2,2,4,4,4,2,8,2,15,9,0,0,1,1,3,6,7,4,12,5,0,16,10,5,44,10,10,3,4,0,0,2,2,6,1,2,0,0,2,31,13,2,13,7,5,4,8,5,1,0,0,0,0,0,0,10,15,7,0,0,0,0,0,0,0,0,0,0,0,24,9,3,0,0,0,0,0,0,0,0,0,0,0,2,8,25,20,23,6,16,23,9,15,0,37,23,18,10,6,5,7,7,5,13,9,9,32,1,86,4,0,0,0,0,0,0,0,0,0,0,0,20,50,0,0,0,0,0,0,0,0,0,1,0,71,0,0,0,0,0,1,6,33,35,19,3,5,2,2,12
27,3,1,3,1,3,2,286305,97515,40011,21519,6175,4396,5334,1596,1649,370,521,258,287,7,235795,104032,42244,31375,11763,16831,5916,8211,4899,2612,1450,630,185,0,182085,81354,73230,35551,28044,21264,15424,10631,7283,6008,3801,1168,100,0,101058,50597,32124,37092,26132,26896,27378,27206,38431,22912,29237,25223,16932,4725,110404,67640,33304,35509,36653,26528,33067,29230,24742,24019,20518,16880,6322,1127,2653,125176,96986,83018,55400,41405,27452,16793,9407,4781,1923,818,128,3,2988,132799,91883,91555,49693,43154,23310,14438,8432,4599,2181,780,130,1,110205,58643,59261,46661,32569,39406,25722,28129,17082,21082,15581,9591,1965,46,177599,59194,33428,34923,34913,16660,31156,26002,19513,13365,13422,4880,887,1,639,635,890,1283,2468,4325,8285,14531,22317,35379,55808,92459,130345,96579,77513,47323,40531,36021,29861,30754,24709,20679,19108,20214,21031,23033,63845,11321,18345,90682,69644,61945,55879,47588,36548,28008,21072,15375,9597,6620,3785,855
28,3,1,3,1,3,2,17296,44088,29761,19966,7471,4574,3668,1330,1190,565,782,749,917,45,28308,40997,23323,14919,7449,6780,2648,2679,1567,1023,957,1079,673,0,16792,30794,32078,18132,12616,8462,5173,3014,1843,1321,1067,904,206,0,22634,24335,16963,14257,9915,9832,8643,8226,9613,3948,2703,1068,229,36,12344,19467,13918,15372,15973,13712,14715,10292,8082,4985,2516,915,100,11,11,34153,50685,18654,10177,9556,5929,2413,666,149,9,0,0,0,11,39088,46512,19679,9618,9985,4805,1959,584,149,12,0,0,0,9577,16338,18090,17991,16256,16166,11443,10275,6751,5302,2999,1047,165,2,34644,25386,15362,14031,13064,6937,9436,6452,3327,1645,1372,675,71,0,797,1076,1098,1222,1733,3336,6290,11300,16312,20150,22047,23218,19666,4157,2819,5819,8420,12109,14038,15555,13893,11453,9662,8567,8625,8755,11968,719,932,9647,11113,14961,18075,19225,17022,13737,9758,6907,4457,3313,2568,687
29,3,1,3,1,2,2,29222,50271,30586,21512,14530,12498,6739,5475,3550,2019,1877,1744,1326,29,43533,40446,28735,16192,14598,10924,7988,6591,4314,2992,2174,2063,827,1,21490,43103,35435,22594,15747,13634,10090,8031,4808,2948,1969,1292,236,1,30423,34925,27382,21379,13344,13777,9947,8688,7107,5045,3632,3553,1806,370,13409,22142,21157,22133,21618,19079,19650,14479,14156,8767,3992,740,51,5,0,29734,93175,40193,13587,4046,574,69,0,0,0,0,0,0,0,35929,88521,42043,11073,3402,365,45,0,0,0,0,0,0,10960,23102,24235,23284,22360,18238,15405,14076,11809,8822,6505,2254,325,3,55361,29096,18750,15553,13196,11696,9419,12136,6856,5582,2622,966,144,1,3771,1558,2075,2200,2968,5133,9516,17017,23300,27508,30607,31133,19393,5199,1431,6917,11755,15451,19577,22531,23160,19581,17120,13874,10556,7874,7820,3731,2814,8668,14248,19870,24180,24938,22948,18600,14548,10877,7953,6120,4293,1321
30,3,1,3,1,3,2,17972,52010,30172,17069,5657,4159,5134,1610,1930,575,699,197,51,19,33374,48804,19378,13396,5049,6720,2510,3459,2052,1257,813,383,49,10,32475,35656,29890,13109,9026,6191,4099,2799,1752,1341,723,162,14,17,15744,7397,6957,10101,9216,11811,13201,13174,16597,8449,9029,6956,5750,2872,19646,20460,13772,16735,17706,12418,13964,9665,6233,4168,1925,515,38,9,5,5045,28640,43870,27145,17788,8632,3653,1595,646,193,42,0,0,5,5761,29059,48245,24242,17821,6733,3108,1408,622,214,36,0,0,21033,21140,24332,19080,13042,13604,7856,6944,3648,3587,1991,862,123,12,25995,17250,12719,15198,16481,8516,14726,11055,7250,4143,3244,620,40,17,9590,656,480,511,711,1409,2299,3840,5390,8647,14001,25310,38784,25626,2254,4106,7254,11630,13947,17494,14075,11358,9580,8564,8361,8153,10012,10466,6150,28966,25772,23985,19064,13088,8300,5392,3074,1794,814,375,183,297
31,3,1,3,1,2,2,105616,54475,20907,14972,7348,7496,7244,4150,3912,1557,956,514,217,18,90084,60126,25440,16774,8952,8696,6319,4775,4170,2245,1252,462,78,9,64094,55296,38874,20280,14122,10845,7967,7094,4930,3560,1793,474,45,8,31807,32522,23460,17478,16387,15806,15039,17269,16561,11487,11920,9375,6935,3336,30378,39621,28093,25102,25046,20819,19736,16464,10883,7170,3657,1839,522,52,2418,70719,57026,41684,26346,16538,8087,3606,1663,872,359,61,3,0,2740,74633,53983,45976,23336,16443,6518,2987,1473,834,399,57,3,0,31889,37911,38493,30202,22008,20697,15364,12665,8856,6840,3351,976,113,17,61148,35553,19629,20752,20003,13417,18498,15005,11694,7683,4753,1155,83,9,37,379,764,890,1468,2836,5219,8804,14042,21433,32054,48362,59525,33569,13576,17471,17708,18000,16619,18898,16675,16671,15972,16844,17727,18552,23521,1148,4031,32421,38582,38713,36630,30379,22129,13217,7288,3512,1513,686,246,35
32,3,1,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,13,10,20,29,0,0,0,0,0,0,0,4,10,8,8,9,20,18,29,10,7,4,2,3,3,2,4,8,1,4,2,12,0,11,20,7,6,7,2,7,13,3,3,5,6,1,0,0,0,0,0,2,13,13,0,0,0,0,0,0,0,0,0,0,0,5,13,15,3,0,0,0,0,0,0,0,0,0,0,10,32,28,5,23,20,32,21,18,16,49,32,10,4,5,6,12,14,11,13,25,45,38,92,5,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,1,0,1,0,0,0,1,96,0,0,0,0,0,3,27,36,40,7,0,0,0,0,0
33,3,1,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,1,9,4,10,0,0,0,1,1,0,1,3,4,4,6,4,1,40,11,4,1,1,2,0,0,2,2,0,0,0,0,29,10,13,8,3,4,4,3,1,0,1,1,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,72,9,4,10,18,22,35,34,27,21,15,9,16,2,159,32,18,6,10,8,9,5,7,6,14,18,17,13,34,1,0,0,0,0,0,0,0,0,0,0,0,40,80,0,0,0,0,0,0,0,0,0,0,2,18,4,0,2,1,2,8,5,10,18,5,9,5,2,0,23
