census_code,MSW_2001,BF_2001,MSL_2001,FC_2001,CHH_2001,ASSET_2001,band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_1_11,band_1_12,band_1_13,band_1_14,band_1_15,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_2_11,band_2_12,band_2_13,band_2_14,band_2_15,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_3_11,band_3_12,band_3_13,band_3_14,band_3_15,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_4_11,band_4_12,band_4_13,band_4_14,band_4_15,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_5_11,band_5_12,band_5_13,band_5_14,band_5_15,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_6_11,band_6_12,band_6_13,band_6_14,band_6_15,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_7_11,band_7_12,band_7_13,band_7_14,band_7_15,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_8_11,band_8_12,band_8_13,band_8_14,band_8_15,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_9_11,band_9_12,band_9_13,band_9_14,band_9_15,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_10_11,band_10_12,band_10_13,band_10_14,band_10_15,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_11_11,band_11_12,band_11_13,band_11_14,band_11_15,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,band_12_11,band_12_12,band_12_13,band_12_14,band_12_15
14,1,2,3,1,1,1,78109,33323,31481,17205,15385,11207,6640,4429,4308,3787,2743,2512,4641,8554,155133,75479,26595,26283,19437,20235,14491,9472,8417,7567,4276,4055,4250,6613,12917,139370,59721,22098,21467,23153,25541,19365,15951,12811,10490,7849,6299,5733,8356,16336,124287,89236,38699,28152,25998,16459,14151,9149,7924,5888,4236,4474,4456,5284,7320,118031,175262,49639,27662,22853,20725,18408,15827,13278,11032,9508,7122,4545,2726,803,67,213570,105270,19361,20171,9072,4386,3213,2403,976,800,204,25,6,0,0,211756,108574,18248,22003,8351,2978,2987,2324,1352,673,179,26,6,0,0,130687,42209,34820,31148,27700,24391,19146,16514,15654,12328,10555,7774,4871,1598,62,94722,35188,24750,16186,13246,11703,10068,7540,5894,4765,4472,4308,6745,11231,128639,90776,26214,17067,20908,21787,23427,25954,26952,26602,26140,24526,19147,17214,11347,1396,4267,7100,9110,10379,10986,11191,11647,11105,11834,11680,12263,12285,12875,51680,191055,189189,38164,17219,14672,15991,16576,15732,13505,11590,10321,8953,7760,7456,7574,4755
16,3,1,2,1,1,1,121660,23291,20124,9549,9542,8635,7636,2612,6358,5095,5285,3180,5060,4675,16209,133605,23250,9398,8098,7813,6528,6115,5860,10206,4599,5059,5926,5793,4470,12191,113637,22764,15652,9878,9472,8095,7734,7177,7746,7449,8985,9580,6446,4199,10097,132672,20927,11372,10596,7052,7561,6482,8937,6856,5575,6865,5900,4691,3369,10056,138615,21483,10167,7369,7128,5762,6497,5647,5913,5845,7110,7527,8343,6213,5292,159661,74759,10044,3104,964,316,59,4,0,0,0,0,0,0,0,157319,78313,8907,3244,888,175,60,5,0,0,0,0,0,0,0,127252,18797,13237,9882,8375,8320,6819,6555,6741,6918,7597,8891,9321,6415,3791,142710,17165,10202,5388,6611,5118,5846,5924,7064,5910,7318,6005,7957,4680,11013,31638,11945,8812,10201,13777,19585,22294,21284,18540,17133,15906,15791,18110,17332,6563,17271,11659,9028,7669,7025,6310,5955,5379,5244,5723,6338,7982,11061,51956,90311,91050,37732,14845,10490,8836,8955,9027,9063,8617,8160,7163,6667,7163,9277,11866
19,1,1,2,1,2,1,105930,43049,39198,20466,19140,16207,9708,5633,4470,2565,1789,854,1495,2136,13902,107473,41956,22676,21693,17495,14436,10886,10920,12587,4859,3922,2277,1519,2214,11629,79291,31504,27320,22565,21166,18036,17271,15238,13583,11052,8926,5852,2369,1998,10371,90091,35232,22084,21526,15077,16629,12731,15176,10969,8152,9201,7814,6420,4116,11324,85657,33801,19896,17104,16824,16059,17332,16264,15823,13687,12354,9985,6803,3410,1543,65346,109974,61349,32110,12117,4334,1116,174,20,2,0,0,0,0,0,64062,115726,57380,34228,11177,2688,1065,188,27,1,0,0,0,0,0,74707,24498,22873,18572,19011,19551,17260,17275,18020,16073,15180,12641,8563,2252,66,111042,34606,23098,12948,16069,11965,12645,12634,9084,9051,8322,6525,5401,2138,11014,14597,6190,4269,4480,5782,10663,20962,33159,37375,35153,29213,26470,27138,21980,9111,14156,13543,16221,18648,19879,19800,18252,15668,13158,11935,11986,12896,14598,43238,42564,43439,33063,20792,18472,19812,23607,27062,27563,24533,19070,12952,7808,5213,2679,477
21,3,2,3,3,2,2,2751,18881,27605,26017,29525,25694,20015,18533,17321,17099,13175,11411,7248,4146,1,9185,22820,26280,33716,26308,21587,16486,16912,17144,13010,13725,11564,7942,2742,1,6575,23318,37712,31138,24535,19270,17422,16229,15918,15129,13514,11110,6249,1303,0,10884,18894,18424,20478,17701,22825,23007,27230,26113,22901,15898,8429,3975,1874,789,6612,14099,24156,29270,28873,25351,22244,19884,19296,17917,16155,11733,3633,193,6,0,10299,49941,31783,13775,8584,20484,24007,27054,22113,12707,11344,5606,1472,253,0,13054,47663,33830,13342,5963,17059,27899,27875,20062,14439,11040,5431,1509,256,5323,10639,25822,26314,24939,22384,19606,18952,18696,16838,17838,17140,12556,2343,32,15342,18170,16589,14235,20240,24110,32538,27995,23535,18320,13694,9293,4623,736,2,2796,5336,4165,5237,7886,12010,16644,20892,22676,24282,26579,30363,32149,22729,5678,26,1063,5412,12668,18740,20938,20838,20271,22202,26028,29833,29788,18816,11484,1315,200,11236,29338,30131,27757,25369,24466,24167,21709,18947,13627,7195,3782,1341,157
23,3,1,3,1,2,1,213537,52565,40069,23159,21443,18755,17173,10275,13579,12274,13181,9427,16839,28099,280982,230433,50449,26445,23100,19715,17114,16505,16855,23055,14694,17207,20980,27121,38487,229197,190721,50012,38242,28204,25230,22766,21711,22046,22590,24163,27294,30547,31479,29708,206644,281681,46468,25621,21771,17686,16672,16144,20224,18159,16481,20843,21629,23337,22468,202173,399344,87669,43458,31103,27258,22099,21699,18422,18211,17753,20209,20720,20202,13972,9238,523690,185949,37412,15519,5332,2400,787,202,57,9,0,0,0,0,0,520159,193061,34088,16138,5117,1693,804,231,59,7,0,0,0,0,0,332033,67710,58289,47798,40584,37902,30412,27139,23936,22462,22848,24651,23591,10925,1077,271259,42168,26201,16525,18152,15648,17311,17268,18001,19657,21694,24167,33456,27317,202533,288200,58626,31428,25308,25149,28563,37568,46061,46583,42946,37140,32746,30535,26532,13972,43523,27855,21741,18281,15413,13648,12406,11087,10259,11327,12608,15550,21726,105088,430845,414871,76506,35785,27827,25942,26577,26517,25245,23997,21983,18802,15590,13827,11770,6118
24,3,1,3,1,3,2,185661,168408,88698,56047,43363,24497,20056,14165,12319,9330,8806,7227,8342,6635,23461,228395,127413,84227,50919,36259,26225,22151,15993,15697,10239,12290,10047,10614,6619,19927,148708,124866,97510,66582,49463,40713,28368,27610,20993,16844,14396,11324,7340,4858,17440,196653,128206,80502,59431,47062,28480,26199,23782,17994,14793,12989,10007,8162,6289,16466,122566,92287,69178,62207,57254,54935,48700,45079,34994,31074,22915,15717,10831,6044,3234,72543,237207,252956,90331,15489,4753,1992,987,406,241,83,18,7,2,0,71100,254933,237686,91890,14408,3261,1907,968,540,216,79,16,11,0,0,103543,71290,80545,71473,58187,53837,48401,45256,36822,32957,26164,23625,17260,7042,613,254599,116408,64087,44720,37606,35680,26286,22288,17847,13726,9504,7657,5562,3910,17135,66154,19491,12104,11993,13199,22894,32245,47257,62699,73254,77655,76949,71901,56360,32860,43563,27683,34147,42621,50833,55610,52536,46838,41659,39193,38220,36728,39232,67661,60491,50367,46658,47696,50808,57895,64184,66177,60035,52267,43236,34733,26640,23607,22672,30040
25,3,2,3,1,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3,0,0,0,0,0,0,0,0,3,3,9,6,9,15,18,0,0,0,0,0,0,0,7,13,9,10,12,15,26,13,41,26,7,10,8,6,7,3,7,8,7,3,5,2,14,3,25,38,23,13,15,15,12,13,13,15,6,8,11,0,0,0,0,0,6,8,45,21,14,2,0,0,0,0,0,0,0,0,0,16,18,57,50,15,4,0,0,0,0,0,2,4,6,3,4,3,42,110,69,62,50,51,92,63,62,25,69,94,50,18,22,19,28,23,21,37,34,55,116,75,113,13,3,1,0,1,0,1,0,0,0,0,0,0,70,210,0,0,0,0,0,0,0,0,1,2,1,2,75,0,0,0,0,0,0,12,55,94,17,10,2,1,1,2,80
26,3,1,3,1,3,1,0,0,1,1,3,0,0,1,3,0,1,6,0,5,7,0,2,0,0,4,0,6,0,5,4,4,5,2,15,9,0,0,1,1,2,7,3,5,8,10,2,0,18,9,4,44,9,9,4,4,1,0,0,2,4,5,0,2,0,0,2,24,19,3,7,12,4,3,5,9,2,1,0,0,0,0,0,0,6,18,8,0,0,0,0,0,0,0,0,0,0,0,0,12,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,25,25,10,4,25,12,16,8,0,35,22,16,11,9,4,5,9,4,5,13,8,14,27,0,86,3,1,0,0,0,0,0,0,0,0,0,0,0,20,50,0,0,0,0,0,0,0,0,0,0,1,0,71,0,0,0,0,0,0,4,16,45,20,10,4,4,1,2,12
27,3,1,3,1,3,2,286305,97515,40011,12515,15179,4396,3114,2220,2639,606,612,279,309,240,3,235795,79219,67057,17053,26085,9372,13375,4568,6424,2118,3294,950,482,151,0,182085,81354,59850,38062,30322,23488,12098,13689,9361,6404,5132,3100,947,51,0,101058,50597,32124,24224,39000,13573,26845,27497,26751,25245,33468,26521,21505,13725,3810,103638,66201,32989,34894,27428,36169,25663,31223,20698,28622,21401,17724,12906,5260,1127,822,114067,90606,81644,58903,46496,31727,19909,8456,7693,3604,1405,480,131,0,619,120468,85022,90923,62907,32936,29630,19496,11781,6706,3351,1384,629,90,1,110204,46720,59482,46795,33560,30992,28018,31542,19290,20527,14902,14056,8247,1574,34,177599,59194,33428,34923,17601,33972,16026,28903,22741,16450,10645,8693,5364,404,0,594,609,683,1222,1408,3515,6220,10201,16107,24758,37201,58552,94695,122447,87731,74160,44723,37471,36052,30008,28473,25225,20910,18869,18221,18155,20259,27533,59153,6731,12380,85985,67123,59320,53445,47685,38065,30777,23124,17568,12732,8127,5576,3310,726
28,3,1,3,1,3,2,16155,43919,29501,15004,13647,4130,2805,1894,1623,715,764,599,818,809,19,28029,33997,28607,12504,10903,5096,4767,1975,2090,842,1212,842,1022,516,0,15751,29966,28103,19181,13857,9475,4837,4296,2348,1541,1136,959,860,92,0,20599,24173,16225,13123,13356,6199,8695,8464,7660,6032,5030,1975,686,160,25,10736,18708,13349,13879,13464,15476,12780,12326,8145,7034,3995,1812,627,60,11,11,25931,51485,22499,10246,10303,7148,3410,876,416,74,3,0,0,0,11,29807,47953,23716,11354,7674,6770,3434,1264,347,68,4,0,0,0,9344,13482,17439,17507,14918,14329,12597,11741,7648,6356,3772,2314,833,121,1,31987,27790,15356,13026,8413,12106,6212,7644,4633,2312,1263,971,664,25,0,634,1124,981,1086,1387,2410,4500,7970,12568,16874,19423,21186,21628,17266,3365,2464,5283,7324,10847,13073,14267,13232,11788,9859,8321,8191,7650,9115,10576,412,540,8756,9788,13074,16196,18195,16889,14458,11177,8016,5698,3766,2963,2332,554
29,3,1,3,1,2,2,25603,50224,29436,21673,17701,8483,8121,6607,3452,3357,2166,1633,1842,1065,15,43038,37628,26600,20826,11442,11008,8371,6724,5458,3363,2538,1859,1931,591,1,20210,39863,34035,23388,16252,13229,9650,9651,5755,3921,2556,1671,1085,112,0,27144,34727,24924,22184,16961,10921,9718,8987,6924,6090,4716,3133,2901,1702,346,11958,20603,19858,20132,19836,19132,17725,16838,13359,11394,7310,2707,488,36,2,0,18861,88546,48240,17881,6557,1132,148,13,0,0,0,0,0,0,0,23630,84656,50818,16866,4138,1074,179,17,0,0,0,0,0,0,10559,18979,24065,23281,19267,17722,16110,14837,12014,10560,6985,5084,1678,236,1,49252,34853,18817,11445,13026,12700,10798,8763,7337,7047,4459,2020,785,76,0,3703,1397,1883,1972,2472,3836,6592,12220,18737,23357,27005,28827,28367,16519,4491,1178,5972,10195,13715,17125,20741,21045,20705,16972,14979,11855,9036,7574,6771,3515,2384,7649,12289,17460,21749,23491,22391,19428,15806,12132,9305,6895,5447,3824,1128
30,3,1,3,1,3,2,17902,51912,30234,9796,12931,4136,3088,2216,2700,804,901,368,212,38,16,33304,37369,30713,7645,10850,3891,5364,2056,2652,920,1597,582,263,39,9,32395,35528,25037,14239,10411,6952,3360,3607,2425,1474,1101,571,126,12,16,15630,7375,6822,6677,12776,5940,12441,13445,12548,10643,11816,7647,6029,5081,2384,18068,19145,13006,15956,13480,17077,11487,11668,6409,6317,3058,1257,291,26,9,5,3913,21453,42428,28583,21343,11280,4860,1587,1202,455,124,21,0,0,5,4295,21280,46732,30722,14786,10711,4875,2244,1033,419,127,25,0,0,20997,16309,24370,19301,13456,11485,9253,8762,4498,3938,2387,1691,710,85,12,25907,17295,12705,15139,8294,16690,8034,12906,9008,5600,3050,1950,638,22,16,9518,656,465,450,526,1067,1685,2856,4126,6092,8877,15199,26448,35982,23307,2039,3567,5998,10196,13245,15977,13763,11706,9822,8013,8104,8144,8080,8457,10143,5312,26407,24046,22998,19389,14492,9388,6251,3911,2320,1357,628,322,139,294
31,3,1,3,1,2,2,104069,53547,22256,9664,12718,6266,6328,4494,5019,2178,1506,679,489,153,16,86524,55908,31532,13310,11423,7626,7250,5144,4335,2908,2106,886,366,55,9,62503,53746,35448,21680,14893,11480,8003,7183,5927,3991,2794,1366,327,34,7,31301,31073,21238,17574,17543,12728,13472,15053,15826,13109,12735,10425,8266,6183,2856,27668,37313,26725,25107,21772,22980,18421,17607,11830,9977,5475,2735,1310,412,50,813,63964,54770,42137,28715,19919,10470,4751,1573,1334,666,243,24,3,0,624,67972,51444,46377,30176,13877,9889,4730,2231,1153,631,241,34,3,0,30204,32418,37675,31157,22565,18073,16352,14820,9981,7685,4983,2666,706,83,14,56170,34246,24847,17296,15727,19886,12381,15552,13801,9673,5805,2989,946,55,8,28,302,681,799,1126,2049,3829,6359,10094,15077,22437,33284,48037,54916,30364,12627,15873,16416,17065,16135,16753,16549,15354,15313,15285,15687,16804,18161,20786,574,2893,28526,35724,36597,34824,31033,23994,16377,9650,5241,2568,1169,559,197,30
