census_code,MSW_2001,BF_2001,MSL_2001,FC_2001,CHH_2001,ASSET_2001,band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9
37,2,2,3,3,2,3,19272,127289,64426,36267,24140,15872,12763,5398,195,82627,104308,46342,27227,19270,13905,9413,2486,44,140865,74107,33014,21020,16398,12924,5932,1349,13,9646,15159,17640,19461,21783,27691,42468,81127,70647,104352,91157,47115,29669,18239,9722,4136,1174,58,59199,211785,29361,4698,496,83,0,0,0,65191,207213,28480,4187,498,53,0,0,0,108358,73716,39028,26433,21609,18476,12674,4886,442,5401,12662,32607,65533,95976,66924,23167,3323,29,2754,5415,8788,11434,13435,14892,20407,39249,189248,28,534,2458,7255,18142,37192,70759,153858,15396,164909,56227,25749,18072,16201,14711,5879,2961,913
38,2,1,3,3,3,3,61541,120462,89770,54255,35167,20085,11050,3901,364,99993,118517,73741,44256,29176,18524,9185,3031,172,111786,124322,66731,40229,28385,16635,6694,1784,29,55058,50793,46842,40397,40974,45583,48384,49666,18898,62597,110298,81553,60249,41124,25968,12885,1879,42,48112,283301,54264,9677,1172,69,0,0,0,50997,284627,51890,7976,1061,44,0,0,0,60546,100718,76558,54881,41246,33432,21472,7464,278,73262,42315,60701,74884,77549,48624,16998,2244,18,2236,3364,8618,20304,35064,47719,67191,93845,118254,1390,13548,29210,40610,49730,69429,95081,89286,8311,79674,85680,69030,55243,40284,28346,17823,14117,6398
39,2,1,3,2,3,3,2242,22036,44725,31395,23802,13069,10600,4436,129,8727,49840,39238,22452,13641,9659,6974,1887,16,32930,54075,27133,14331,10200,8642,4449,674,0,6228,9719,13613,15632,20258,23956,23990,26826,12212,22314,51945,30163,19096,11799,8987,7268,854,8,16923,99884,21241,11396,2704,278,8,0,0,19670,100912,19525,9675,2470,175,7,0,0,26161,46579,29238,17074,11009,9852,8968,3499,54,6669,8452,16654,29085,45225,32022,12811,1512,4,1333,1149,2968,7045,10431,13966,21019,35689,58834,533,3479,6497,8511,11507,19265,35451,58689,8502,45484,39861,23775,15140,9797,8126,5188,3663,1400
40,2,2,3,2,2,3,738,4149,11049,25836,46184,32147,9336,3783,30,3677,20829,47413,35896,16396,5103,3140,789,9,24848,72569,21350,7112,3127,2587,1529,129,1,1176,1562,2319,4062,6906,11529,23586,49776,32336,50992,56681,14257,5658,3105,1956,497,105,1,91326,39678,1887,337,24,0,0,0,0,95881,35254,1800,297,20,0,0,0,0,55951,47919,14755,6272,3458,2522,1978,388,9,647,1463,4071,15658,36654,46588,26005,2165,1,187,543,1240,1994,2353,3469,7481,27553,88432,0,28,131,481,1329,3898,10540,58271,58574,94662,23875,6568,3448,2809,1553,289,46,2
41,2,2,3,3,2,3,68161,137334,84210,56548,27611,18192,17911,8598,162,132465,157427,55708,25639,16377,14290,13585,3185,51,249395,86943,27053,16218,13898,14755,9053,1393,19,14953,13460,13917,17099,17736,21225,35599,105055,179683,193589,126251,43587,22939,15557,11194,4662,910,38,78531,284257,43402,10343,1862,324,8,0,0,86525,279145,41927,8952,1927,245,6,0,0,211957,97928,34325,22443,17856,14915,13794,5178,331,10282,11260,19798,42870,105875,148192,73724,6700,26,5736,7045,10889,10564,10319,11987,15944,32817,313426,37,727,3476,7501,16134,32968,68643,238279,50962,295352,49029,19664,14134,16244,15400,5650,2542,712
42,2,2,3,2,2,2,1843,170281,55129,18172,9717,6171,7404,5154,130,60476,145146,29710,13290,7986,5134,7350,4866,43,179682,53240,14046,7722,5009,4477,7315,2497,13,1394,1774,2850,4906,8380,11553,20666,74469,148009,138904,81112,22177,11711,6957,5992,5979,1118,51,840,232143,30724,8878,1243,170,3,0,0,6076,228338,29887,8172,1395,131,2,0,0,155172,61168,19472,10431,7545,6167,6431,7165,450,1081,1217,2445,8228,38447,112576,102746,7233,28,557,1607,5139,4592,4296,5026,7369,17519,227896,42,117,698,3463,9260,16499,34819,184498,24605,215799,27668,9532,5980,4322,5611,4393,649,47
43,2,2,3,2,2,2,3922,97086,88423,97171,74570,90253,80134,66888,7919,35035,123685,80554,90569,92746,74295,55027,49939,4516,110580,139534,103415,89701,57541,41777,33304,28181,2333,4361,4119,9904,21064,45091,84306,149469,206652,81400,144631,150468,95192,86041,54942,33005,24872,15014,2201,1564,219482,226573,119922,29973,8076,671,105,0,8298,243622,223028,93462,31244,5956,665,91,0,152802,135201,114018,72601,42253,28905,26388,25065,9133,3597,2314,6741,29114,105556,209241,190041,56764,2998,3150,12680,16749,20979,31479,53441,91325,154078,222485,5,120,1044,7099,32453,71064,121825,280445,92311,235968,175806,94962,40330,21967,17714,12765,6556,298
44,2,2,3,2,2,2,36,22438,64800,75043,57318,39219,20901,21500,1379,4412,49211,68125,71878,44488,26390,17545,19596,989,33068,79710,87627,44316,19732,12942,12308,12253,678,1390,1590,2788,6371,18227,41606,71929,112283,46450,34205,115457,66482,35810,18857,11616,11354,7931,922,263,158312,110960,24978,6518,1602,1,0,0,431,181067,94183,19345,6475,1132,1,0,0,45173,103343,67428,30473,16974,11171,10291,13362,4419,854,1086,2243,6725,37105,106418,125792,21516,895,570,4903,8886,9292,10910,16409,35139,106307,110218,1,56,928,6380,17174,29478,66393,151820,30404,118664,104161,34786,16092,9523,8418,7770,3183,37
45,2,2,3,3,2,2,54,61272,41991,27349,14001,9325,7647,7149,323,18458,68993,27793,18668,12497,8484,7619,6491,108,71868,43306,19089,11485,7468,5766,6307,3780,42,918,1847,2651,4131,9150,19476,27130,45310,58498,60214,54189,20715,11969,7764,5687,5989,2512,72,0,90777,55278,16946,4129,1878,103,0,0,0,96354,53073,13777,4315,1506,86,0,0,69386,41301,20221,11555,7255,5744,5773,6930,946,623,1073,2142,5008,21740,62693,68587,7199,46,348,1581,4903,4815,4795,7002,12296,24848,108523,12,114,850,4272,8098,11755,25658,104750,13602,101807,32240,12938,6840,4285,4703,4157,1827,314
46,2,2,3,3,2,2,1499,107168,104635,66451,35434,22671,21682,29323,2251,33449,144093,76591,41040,26003,18913,19775,29074,2176,129793,122162,45422,23810,16264,14249,17453,20218,1743,2835,4816,4704,5914,11517,28372,74004,154502,104450,95698,139281,54671,31013,20605,15847,18158,13443,2398,3,272073,73035,28661,11996,5150,192,4,0,3,275522,71193,26253,13353,4605,183,2,0,110936,111450,55190,29849,19947,15632,15696,22098,10316,1907,2641,3513,6249,32044,150109,157980,34418,2253,1500,11106,15140,11457,10876,13572,23123,64413,239927,20,107,1262,11956,27435,35723,75697,230240,8674,210253,88463,29634,15820,11308,12305,13227,8985,1119
47,2,2,3,2,2,2,2799,77696,70897,40112,22196,14513,12432,14164,1142,28077,104369,44961,24499,15894,11377,11257,14345,1172,106203,75597,24934,13137,8623,7442,9532,9603,880,422,787,1180,2004,5353,11469,31081,96556,107099,78789,90131,31507,17149,11354,8781,10017,6812,1411,0,198502,42118,10670,3659,931,71,0,0,0,202355,39265,9460,4051,753,67,0,0,93514,72107,31362,16275,10258,7759,8371,11394,4911,420,517,802,2357,16625,89591,123407,21010,1222,128,3751,6613,6452,5717,7017,12194,33318,180761,3,177,1376,7567,13601,18472,42946,159872,11937,163038,47239,15585,7968,5585,6763,6368,3340,65
48,2,2,3,3,2,3,8,14652,104451,124739,79653,34548,15800,12467,506,4387,141003,121699,59305,29164,13968,11531,5494,273,113089,163236,53931,23224,12413,9697,9076,1989,169,2262,8173,8091,10361,16775,28903,60997,137476,113786,124309,159748,50745,22262,13605,9727,4757,1464,207,90872,282839,12274,788,51,0,0,0,0,112382,262024,11689,678,51,0,0,0,0,135284,138411,50645,23261,13753,10884,9825,4294,467,3601,5060,6655,20278,74886,149527,114957,11641,219,305,2216,5172,8004,9490,13443,23818,68075,256301,11,178,1445,4615,9009,17892,45894,230774,77006,253644,76204,21751,11775,10353,8867,2857,1227,146
