census_code,MSW_2001,BF_2001,MSL_2001,FC_2001,CHH_2001,ASSET_2001,band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10
14,1,2,3,1,1,1,97132,45781,27334,16463,9716,5661,4965,4077,8709,159619,87576,40781,32360,21803,15174,10282,6684,5897,13309,145591,71863,31423,37077,30982,22702,16550,11467,8414,15661,133318,110680,45407,34283,22325,13490,9471,6849,6317,8742,121893,205992,46571,33612,28374,23005,17132,13202,7973,3334,262,300466,37735,26991,6638,4117,2475,898,131,6,0,302169,36409,27106,6226,4485,2178,779,99,6,0,154209,53507,45446,37793,28382,22932,17951,12706,6048,483,117402,37258,22723,18412,13991,9511,7024,6521,12691,133924,107344,26713,31796,34326,39586,39922,39886,29927,24033,5924,7547,12930,15843,16713,17302,17284,17713,18515,23779,231831,213711,30861,22541,24698,22788,18039,15027,12007,11383,8402
16,3,1,2,1,1,1,141455,23620,10806,16920,8486,8120,8300,5260,7371,18573,143673,22580,13566,8873,11538,10643,8261,7323,8639,13815,125695,26358,15047,12398,11443,11214,13316,12698,9203,11539,144085,20886,13941,11268,10498,11777,9215,9125,6727,11389,152588,17677,11208,9051,9398,8659,9221,11261,11971,7877,220387,24077,3826,558,63,0,0,0,0,0,221997,22542,3797,510,65,0,0,0,0,0,137743,21543,14078,12499,10441,9674,10540,12866,12997,6530,153185,16892,7863,9254,9673,9161,9787,9446,11062,12588,38944,13451,16230,27333,33346,28772,25174,23656,27136,14869,23526,14432,11247,9757,8571,8007,8919,11124,22509,130819,115912,27715,14920,13361,13623,13084,11831,10159,11583,16723
19,1,1,2,1,2,1,132349,55828,28878,26935,12555,7256,3634,1574,2438,15095,126662,45443,29333,24291,19830,14563,7615,3443,2794,12568,95171,42944,33535,28232,25365,20727,16926,8904,3534,11204,109045,38362,28296,24936,20194,18682,13751,11416,9000,12860,105967,33387,25864,24123,25671,23748,19931,16095,8920,2836,136614,100055,41203,7358,1223,87,2,0,0,0,139950,97218,41182,6911,1222,58,1,0,0,0,88120,33958,27761,29373,26845,25710,23716,20178,10276,605,132087,36659,20724,20258,19184,15179,13608,10290,6662,11891,18322,6734,6945,13980,36193,55303,50673,40163,39432,18797,20586,23334,28423,29904,26318,20760,17750,19067,26782,73618,63049,34245,27892,33999,40915,38243,26251,13579,6934,1435
21,3,2,3,3,2,2,11425,37812,39972,41264,30013,25856,23977,17708,10455,940,20081,38204,46193,35418,26796,23746,20229,18070,10431,254,14397,53208,43854,31089,25889,23680,22571,17182,7535,17,19606,28596,28631,32373,36128,40222,32358,14870,5162,1476,13132,31735,44421,39073,32734,28690,26332,19473,3794,38,271,59969,41720,12422,30633,40912,28942,17222,6505,826,454,60263,41706,11429,32753,40080,28046,17495,6464,732,9641,32143,38545,35092,29380,27874,25770,26046,14510,421,25456,24645,22517,36068,45434,38634,25608,15699,5351,10,5708,6589,8776,16357,26656,33556,37335,43889,45703,14853,274,6227,21658,30688,31031,32280,40544,45105,24817,6798,2760,38014,44307,38950,36629,33713,26636,13133,4726,554
23,3,1,3,1,2,1,248170,58001,30104,33253,21727,19300,19315,15567,30135,295785,253540,53787,34300,25629,28650,27765,24686,28195,48794,246011,216696,62279,41637,34563,33054,33293,39387,42617,49143,218688,307852,45918,30349,25780,25604,28923,27682,31271,35292,212686,454602,75869,45600,34860,31136,27196,27457,31225,28545,14867,667245,79806,19431,3820,900,146,9,0,0,0,671119,76189,19358,3590,974,120,7,0,0,0,367602,90430,68421,57863,45217,36270,33540,36421,31174,4419,295631,43997,25147,25178,26189,26391,30151,35367,50029,213277,327781,50473,37532,41488,59716,70496,62365,50467,44527,26512,58337,34782,26285,21057,18051,15701,17282,22203,43559,514100,463242,63920,40778,39568,39314,36445,31816,24559,20208,11507
24,3,1,3,1,3,2,280942,161825,80013,43894,28895,17645,13972,11391,12344,26094,294915,145120,71262,42141,29263,24578,15568,17008,14916,22244,209145,161939,93308,63450,44802,32169,24687,17877,10133,19505,267904,137457,82535,52438,38089,29886,22150,15639,11586,19331,172942,111089,93673,80723,73510,55263,43163,26543,14629,5480,167010,395696,102667,7906,2400,985,274,68,9,0,172781,390938,101896,7663,2555,860,259,52,11,0,136987,118391,97641,85856,71885,58594,46679,36067,22111,2804,312189,122905,61822,56184,36069,30352,19035,11852,7763,18844,78389,19360,18469,29617,53640,88561,111852,116006,102476,58645,56688,48705,66982,82082,76890,64143,57955,56186,62490,104894,73424,71297,78752,94135,97300,81179,61661,42948,35288,41031
25,3,2,3,1,2,1,0,0,0,0,0,0,2,0,1,4,0,0,0,0,0,3,7,11,21,21,0,0,0,0,4,16,14,17,30,24,62,12,14,10,10,7,15,3,5,16,10,56,30,21,21,19,23,11,14,5,0,0,2,12,58,22,2,0,0,0,0,0,5,29,90,32,4,0,0,0,5,7,5,5,94,127,85,78,130,87,55,133,60,30,31,39,38,54,144,102,121,8,1,1,1,0,0,0,0,70,210,0,0,0,0,0,2,2,15,62,0,0,0,12,114,52,11,2,2,81
26,3,1,3,1,3,1,0,1,3,1,0,4,1,6,0,12,1,1,3,1,6,5,5,8,12,14,0,1,2,8,7,9,12,0,20,11,48,14,5,4,0,2,8,1,2,0,13,32,6,16,6,6,10,2,0,0,0,0,19,13,0,0,0,0,0,0,0,0,27,9,0,0,0,0,0,0,0,0,2,20,33,27,15,26,23,1,50,23,17,7,9,9,14,12,33,8,89,1,0,0,0,0,0,0,0,20,50,0,0,0,0,0,0,1,4,67,0,0,0,4,36,45,11,7,3,12
27,3,1,3,1,3,2,354724,69107,21519,10571,5334,2639,976,521,481,71,288977,93094,31375,21135,13375,10992,3707,2655,625,8,215014,108275,58974,32898,21791,13357,9396,5240,998,0,124190,59589,49958,26839,40701,40392,48157,37077,29914,9126,138861,63967,53097,45394,41786,35798,37869,29878,16648,2645,61052,144443,121760,65283,39552,20540,9216,3486,571,40,65427,140682,123799,62967,42507,18400,8357,3084,692,28,133491,82915,58367,52980,44714,34136,28572,20913,9504,351,205921,64300,34923,51573,31156,36514,22366,13422,5744,24,929,957,2002,4143,10494,22034,41494,79017,154915,149958,97768,58586,50625,43908,35825,29179,26900,29735,44289,49128,56826,108662,87068,73382,54693,37273,24674,13753,7612,2000
28,3,1,3,1,3,2,40814,48761,22931,9850,4468,1854,1111,967,1346,300,46361,44272,18856,9647,5288,3544,1354,1542,1514,24,28278,45542,27584,14929,7714,3767,2192,1444,952,0,33646,27351,20365,12313,12904,11915,9829,3208,790,81,21082,21711,21898,20921,19889,13362,9259,3582,677,21,2413,75014,29430,13618,8690,2744,462,31,0,0,3168,74603,29436,13308,9183,2285,396,23,0,0,15766,24499,23499,23255,18842,13144,8414,4028,936,19,45101,30032,14909,18636,10182,8307,3038,1508,689,0,1307,1432,1743,3140,7930,17108,26384,31099,31179,11080,4904,10167,17111,21076,19395,15484,12486,11676,14350,5753,4540,14544,21006,26459,24426,18098,11160,6320,4311,1538
29,3,1,3,1,2,2,51803,53460,31039,16818,12238,5942,4487,2669,2649,273,60187,47079,28094,15182,11874,8679,4584,3176,2486,37,36780,57328,31071,21798,15116,9940,5397,2751,1196,1,45920,40875,28864,21202,14316,11313,8371,5568,4013,936,22880,29539,31074,28026,27669,20253,15711,5700,511,15,2709,104698,61652,11026,1224,69,0,0,0,0,3073,105213,61469,10353,1225,45,0,0,0,0,18683,34920,32206,28064,23711,19250,14159,8470,1883,32,65990,36932,18117,19054,12978,13920,9619,3907,860,1,4300,2683,3121,5159,11958,25591,36269,42920,38610,10767,3536,13809,21699,29882,31896,26826,21156,14714,10980,6880,5589,16733,27915,34785,32644,24981,17163,11169,7695,2704
30,3,1,3,1,3,2,48569,51479,17242,9621,5262,2742,1359,714,241,25,57538,43848,13716,8670,5459,4613,1655,1444,290,21,47029,45931,21563,10039,5884,3508,2158,988,130,24,18738,11089,14468,10925,19207,19227,18940,11166,8739,4755,27382,22837,24762,21751,17969,11595,7901,2731,317,9,1349,24022,61883,30471,13400,4327,1423,358,21,0,1464,24116,62938,29302,14046,3784,1280,299,25,0,28299,33377,24205,20037,14169,8344,5270,2746,781,26,33227,22680,15314,24809,14855,15093,7347,3253,650,26,9936,703,779,1264,2974,5693,10110,20058,44113,41624,3600,8004,16378,23040,19738,15553,12617,11644,11910,14770,19047,36718,33424,23455,12681,6869,3078,1227,405,350
31,3,1,3,1,2,2,141736,38136,16577,12071,9538,6303,3083,1280,624,34,121609,52355,20152,12207,10068,6661,4169,1731,409,21,87531,64166,29906,18147,11728,9385,5582,2569,356,12,46888,36724,26827,21018,21042,23309,21612,14657,11728,5577,47723,43983,37812,32047,27230,20628,12991,5196,1610,162,32149,87398,61978,28793,12500,4294,1630,613,26,1,34406,85634,62721,27709,13159,3691,1491,534,36,1,45659,54638,41354,30441,24472,16681,10556,4778,769,34,77746,37517,24395,28514,20828,20906,12870,5597,994,15,114,897,1299,2675,6608,13674,25245,45553,76455,56862,20429,24487,24877,25076,24078,23138,23004,24772,27774,11747,14739,52404,54158,48296,33288,16733,6769,2209,704,82
32,3,1,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,18,18,37,0,0,0,0,0,6,15,11,20,25,32,13,6,2,5,4,7,6,3,13,0,30,9,10,4,11,12,3,10,2,0,0,0,2,13,13,0,0,0,0,0,0,0,2,16,18,0,0,0,0,0,0,0,6,36,30,24,24,38,31,41,49,17,7,8,16,17,19,60,46,96,1,0,0,0,0,0,0,0,20,20,0,0,1,0,1,0,0,3,94,0,0,0,19,47,43,4,0,0,0
33,3,1,3,3,3,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,7,6,10,0,0,1,1,1,6,6,8,2,46,9,1,2,1,0,3,1,0,0,34,16,11,3,7,3,1,1,1,0,28,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,76,9,10,33,42,48,28,22,18,8,177,30,8,14,13,5,12,17,31,15,35,0,0,0,0,0,0,0,0,40,80,0,0,0,0,0,0,1,1,22,0,2,5,10,11,18,13,7,1,23
34,3,1,3,3,2,2,22448,7583,5960,4319,4412,5710,5370,8798,20980,675724,30515,9050,6339,4473,5873,6024,6971,10338,33709,648012,27527,11939,8352,7862,8154,8821,11021,16195,40915,620518,74480,19383,14032,12314,12149,13221,15430,19031,31746,549518,549473,89215,36032,21698,15847,12282,10820,10191,8712,7034,744667,12904,2376,829,395,120,13,0,0,0,745221,12360,2396,799,424,92,12,0,0,0,372859,137764,86557,53514,32544,22395,16902,15104,14261,9404,53808,9557,6754,5872,6742,7169,8706,13484,36184,613028,564795,102682,30565,24940,8640,7723,6898,6457,6398,2206,2904,3425,2861,2557,2777,3458,4430,6309,14631,717952,673891,23388,12011,10294,8502,6977,5983,5296,6846,8116
35,2,1,3,3,2,3,15232,187885,90829,52658,29997,20248,15369,11485,4414,27,103128,165924,62423,34870,22631,16654,12920,7593,1993,8,183523,110993,50593,28630,20743,16912,11952,4151,645,2,34354,28759,25975,26932,27613,33406,39123,53476,86249,72257,112830,156765,61485,38959,25418,16733,10149,4751,1017,37,104667,285245,36031,1929,264,8,0,0,0,0,111173,279012,35731,1951,276,1,0,0,0,0,148043,108417,55199,36777,27560,22196,16813,10032,2914,193,33178,26017,40675,68159,94517,99270,49330,15262,1732,4,7918,5472,7453,12652,18456,22503,27498,35933,58399,231860,1204,5603,9205,13131,17735,26528,45510,97726,200176,11326,197854,82039,38986,30227,25102,21177,14501,8812,6460,2986
36,2,2,3,3,3,3,797,87330,40684,23804,14724,11825,8040,5627,2171,157,52756,68320,27504,15458,11467,8274,6318,3727,1293,42,96130,44845,19427,11038,8682,6970,5192,2196,666,13,6138,7254,8673,9475,10154,12651,15759,24933,50327,49795,73832,57936,24299,15528,10393,7120,3842,1803,397,9,46478,131271,15355,1781,271,3,0,0,0,0,51262,126325,15372,1862,336,2,0,0,0,0,81873,43812,21008,13667,10530,8872,7837,5356,2047,157,5280,5360,13564,27511,47476,55908,28274,9922,1851,13,1911,1889,3366,5270,6761,7930,8722,11349,21854,126107,4,326,1237,2817,5577,10630,19269,38124,112199,4976,113447,32412,14073,9771,8038,7564,5410,2559,1366,519
37,2,2,3,3,2,3,10701,117811,65894,40383,25152,17897,13312,11094,3284,94,66390,107453,48482,28226,20275,14879,11576,6618,1715,8,127270,77588,35455,20854,16480,13331,10002,3748,890,4,8418,13422,15507,16645,18052,22114,27741,43510,80181,60032,85414,98316,47047,31183,20563,12854,6496,2966,741,42,12666,243920,41443,6187,1161,231,14,0,0,0,15390,241226,41300,6225,1287,184,10,0,0,0,97814,73901,39407,26499,21029,18434,15239,9564,3427,308,4607,10212,24067,45162,75549,84843,45508,13786,1878,10,2317,4403,7170,9611,11388,12481,14696,20681,40138,182737,20,345,1629,4461,11179,22727,42021,75160,143300,4780,153492,60453,26433,17783,14645,15172,10352,4085,2507,700
38,2,1,3,3,3,3,44383,116923,84085,60801,40145,23438,15539,8359,2686,236,84895,116112,75340,44817,31401,22034,13161,6501,2286,48,92450,124853,69755,42289,29445,20707,11590,4248,1253,5,49663,47781,42117,37909,35248,39549,41376,43953,43512,15487,49548,104851,78056,60440,45077,29511,19775,8320,989,28,16655,284672,80039,11882,2979,362,6,0,0,0,17696,284450,79397,11617,3159,273,3,0,0,0,51081,91122,74714,55437,41925,34104,26679,16277,5092,164,66712,42113,48454,61972,69340,63897,32897,9884,1321,5,2037,2596,6138,13699,25997,36526,47821,66515,87249,108017,937,9846,23177,33501,40693,50813,71448,88462,73419,4299,68056,81836,65253,54455,41938,30913,22037,14473,12484,5150
39,2,1,3,2,3,3,1690,17112,36320,32822,27782,14597,10249,9128,2657,77,6552,43797,40278,22362,14827,10322,7875,5129,1292,0,23099,56843,27687,16213,9929,8601,6947,2724,391,0,5290,8662,10850,13448,16000,20478,21772,21624,24218,10092,15474,51095,30396,20116,13064,8700,8128,5061,396,4,3633,105866,25841,10523,5563,950,55,3,0,0,4696,105379,25652,10196,5766,701,43,1,0,0,21160,42630,30284,18819,12119,8929,8815,7505,2144,29,6190,8023,12138,23061,32044,40767,21764,7772,675,0,1255,861,2172,4787,8470,10247,14525,21108,35032,53977,355,2706,5261,7023,8805,12739,21551,36557,53443,3994,39084,40072,23911,15953,10571,7817,6706,3974,3277,1069
40,2,2,3,2,2,3,543,2620,9300,14657,37599,39173,20584,6057,2701,18,2594,16406,38627,38503,22045,8713,3438,2508,416,2,18915,69775,26093,8956,3888,2468,2158,932,67,0,1042,1393,1797,2946,5003,7652,13182,25827,47832,26578,36045,66376,16702,6740,3336,2447,1249,294,63,0,53359,76644,2736,409,103,1,0,0,0,0,55975,74017,2758,399,102,1,0,0,0,0,46300,52250,17008,7374,3850,2620,2148,1484,213,5,513,1258,2592,8556,24463,40212,38853,16006,799,0,131,465,872,1634,1998,2333,3971,8531,31249,82068,0,18,79,304,723,1958,4898,12622,79590,33060,87386,28909,7383,3634,2628,2308,817,161,25,1
41,2,2,3,3,2,3,45745,143833,76732,62195,33974,19226,15472,16525,4924,101,109946,162797,61676,28313,17249,13209,13221,10419,1864,33,230709,96569,29896,16428,12891,12945,12739,5710,828,12,13473,12522,11980,14234,15978,16706,21906,39251,112953,159724,161947,144530,46997,25301,15876,12349,8135,2983,586,23,8956,335892,55957,13409,3555,865,91,2,0,0,12196,333204,55377,13308,3822,745,75,0,0,0,193451,105222,37295,22383,17831,14628,12909,11490,3308,210,9087,10161,14618,28399,64298,123021,123325,42571,3232,15,5021,6145,8942,10035,9136,9839,11609,16070,34573,307357,23,421,2392,5175,10223,20232,37203,78000,246071,18987,282913,55890,20186,13796,12654,16208,10668,3741,2138,533
42,2,2,3,2,2,2,189,140575,76616,22202,11163,7005,5336,7658,3168,89,37238,155081,37245,14804,8560,5890,4658,7537,2981,7,166035,61863,15871,8252,5443,3891,4653,6753,1238,2,1249,1532,2221,3514,6284,9058,11705,23824,82179,132435,114489,98055,24657,12750,7884,5240,5976,4213,706,31,0,218465,40682,11695,2656,469,34,0,0,0,0,218676,39976,11971,2896,452,30,0,0,0,142600,66966,21882,11094,7740,6125,5220,6624,5442,308,984,1047,1810,4349,16820,61828,119881,64376,2894,12,455,1163,3866,4764,3752,4032,5058,7655,18895,224361,27,88,411,1786,5744,11140,18065,40874,192702,3164,208389,32042,10229,6235,4337,3824,5996,2476,449,24
43,2,2,3,2,2,2,1266,73536,94171,87099,64840,70112,79406,77010,54666,4260,24552,116423,70208,79845,80601,87440,55936,46647,42842,1872,95227,134832,94878,85102,63288,46769,33829,28249,23250,942,4116,3286,7027,14069,28990,57439,91426,155388,180731,63894,107748,168721,85290,83292,61728,38779,27092,20425,11806,1485,8,178740,228599,127781,50892,17351,2556,411,28,0,24,179347,230897,123979,54306,15150,2234,404,25,0,133919,127896,107611,77371,50678,31879,24293,24068,21283,7368,3367,2022,3995,14568,53967,145180,200930,138926,42166,1245,2573,10250,14242,17393,22875,35623,58078,94133,146086,205113,4,61,547,3199,16544,43477,78674,124207,294396,45257,211297,170776,104848,47444,24816,17322,14819,10127,4736,181
44,2,2,3,2,2,2,1,13438,55251,70203,50475,47570,28097,18990,18129,480,2173,39422,55903,67036,52073,34989,18863,15415,16485,275,26423,69652,85197,49467,24876,15006,10361,12036,9414,202,1241,1399,2125,4039,10031,25761,44170,78689,99285,35894,18439,115203,66832,39742,22567,12900,9866,10529,5980,576,0,125102,134550,28598,10267,3782,335,0,0,0,0,125734,135609,27028,10739,3290,234,0,0,0,35711,92937,71110,35504,20650,12381,9210,9766,11838,3527,750,947,1575,3485,14495,61053,118291,87061,14688,289,419,3724,7290,8517,8645,11461,18475,40367,108101,95635,1,25,434,3102,11490,18911,34490,74279,144816,15086,99089,111437,39600,18344,10440,7515,7958,6093,2149,9
