census_code,MSW_2001,BF_2001,MSL_2001,FC_2001,CHH_2001,ASSET_2001,band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_1_11,band_1_12,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_2_11,band_2_12,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_3_11,band_3_12,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_4_11,band_4_12,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_5_11,band_5_12,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_6_11,band_6_12,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_7_11,band_7_12,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_8_11,band_8_12,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_9_11,band_9_12,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_10_11,band_10_12,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_11_11,band_11_12,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,band_12_11,band_12_12
14,1,2,3,1,1,1,86334,39911,32677,16581,13252,7671,5203,4245,3602,3915,8350,157716,81978,33382,29649,23020,16594,13071,7663,6895,5306,5472,14244,142183,65953,26128,29641,30258,23814,18253,14271,10128,7721,7768,16364,129158,100817,42735,30759,24233,17281,10360,8135,5572,5495,6015,7879,120176,193398,46212,30219,26312,22367,19046,14976,11664,8432,4774,1919,138,274381,53224,25839,14000,5536,2967,2463,812,204,29,2,0,277234,51249,27127,13322,4214,3249,1957,894,191,18,2,0,143316,47157,41125,34966,29124,23649,18973,16287,12636,8565,3488,171,106575,37797,22058,17662,12917,12777,8273,6003,5081,6606,12641,131067,100853,24503,24132,27264,29700,33313,33316,32746,29600,23042,17780,3208,5825,9884,12478,13655,14216,14277,14086,14878,15327,15334,30706,218791,203485,33269,18748,19733,20698,18666,15222,13138,11045,9270,9644,6539
16,3,1,2,1,1,1,132439,22825,19153,9749,9243,7878,8011,5204,6254,5212,5406,17537,141617,18686,13834,8027,10274,7792,6095,9147,6954,6790,6843,12852,119732,26230,15030,10411,10506,9032,8450,10213,11470,10551,6588,10698,139660,20507,12393,10059,10605,7454,9033,8319,7906,7535,4561,10879,146339,19543,10046,8834,7272,7888,7408,7096,8939,9743,9394,6409,199811,40552,6666,1503,352,27,0,0,0,0,0,0,201367,39442,6462,1400,217,23,0,0,0,0,0,0,133634,19287,14062,10560,9616,9145,7858,8734,9871,11496,9621,5027,149260,15817,10258,6741,6125,8666,6770,8301,7476,10162,7679,11656,35931,12034,12078,16330,24788,28143,24487,21418,19688,21200,22331,10483,20465,13284,10195,8708,7938,6943,6623,7107,8224,10850,31868,116706,105958,31285,14412,11298,11276,11302,10927,10317,8944,8307,10597,14288
19,1,1,2,1,2,1,120685,46918,39551,20629,18482,10280,7049,2772,2028,1392,2211,14545,120311,43000,29285,18697,16570,17696,9871,9551,4644,2260,2655,12002,86934,40061,28861,25990,22528,20873,17177,14602,10738,5465,2589,10724,100904,36391,25165,21550,22151,14672,15211,11623,11022,9673,5995,12185,96918,33434,22171,20759,20171,21559,20584,16851,15049,11009,5987,2050,102184,103149,57166,18397,4881,676,87,2,0,0,0,0,104111,104032,56859,17571,3280,630,55,4,0,0,0,0,82138,28716,25550,23257,23164,23232,21029,20754,18370,14561,5556,215,123710,33926,22883,17244,14386,16763,13331,10899,8975,9286,3767,11372,16975,5946,5526,6871,14608,32248,46211,44245,35977,33174,31257,13504,17241,18385,22063,24758,24957,21161,17361,15334,15145,16564,32810,60763,54741,32717,23632,24488,30229,34293,32575,24738,15243,8400,4608,878
21,3,2,3,3,2,2,7153,25800,38087,33739,30378,25329,23649,19306,17387,11312,7065,217,14537,31116,40810,31846,24160,24223,18754,18002,16862,12701,6408,3,9344,40875,41121,31938,23143,22016,20061,18748,16708,11832,3635,1,15016,24156,23543,23666,28877,30076,33567,29556,18566,8244,3050,1105,9986,21424,35623,35977,30885,27200,24339,22268,19667,10898,1141,14,0,31487,54286,20025,12162,27055,34327,28698,15866,11738,3342,436,0,33465,54533,19891,9498,29218,34267,25875,17898,11100,3205,472,7259,20270,34317,31191,27421,24343,22874,21838,22158,20356,7259,136,20517,21787,19358,22914,30774,38770,33705,23249,15984,9947,2415,2,4195,5953,5878,9394,15835,22831,27774,30064,33971,39320,34515,9692,103,2910,12206,22690,26294,25675,26428,31880,37569,33464,16672,3531,908,24412,38167,35175,31457,30541,28555,24105,15894,7205,2693,310
23,3,1,3,1,2,1,232672,53711,40685,23705,21983,18499,17895,13679,15163,15202,28766,289397,246260,47877,33551,22454,23868,21896,17997,24462,23022,26519,46974,236477,204369,58860,39368,29812,29045,26775,26474,30982,34528,38628,40542,211974,297148,45042,27551,23486,23139,19137,22828,22576,25074,29466,27999,207911,430878,80183,43379,34392,27600,25635,23019,21930,25183,25954,21456,11748,611067,120190,28596,8049,2768,532,142,13,0,0,0,0,614517,118118,28068,7860,2105,562,114,13,0,0,0,0,352007,77739,65094,51574,44393,38726,30077,28655,29120,31072,20594,2306,286430,40312,27490,20073,20016,21821,21595,24453,25129,37297,39577,207164,315403,47561,34811,30936,36692,51587,59103,54339,45572,39900,35478,19975,51088,31839,24127,19759,17104,14595,13178,13850,16331,21468,61984,486034,443455,67673,37321,32482,33134,32757,30575,27853,22899,18474,16035,8699
24,3,1,3,1,3,2,237395,164263,85357,55162,28910,24482,14051,12924,10136,9849,9831,24655,264342,141313,72526,49032,33830,21658,19594,15223,13770,14233,10520,20974,180772,145572,99393,61392,46895,38620,26816,22197,18419,11220,7376,18343,235067,130108,86591,60088,38820,27749,25992,18687,15610,11984,8584,17735,150463,98811,82333,71885,67503,60942,46926,39411,27050,17771,9661,4259,108526,337631,195750,26619,5572,1581,985,241,83,25,2,0,110426,342906,192041,24644,4182,1634,807,269,82,22,2,0,119062,101020,90470,74486,66871,58851,49454,42097,32324,27108,13772,1500,296174,107423,64474,49349,43061,28688,25600,18478,12114,8033,5738,17883,73762,17973,15071,16135,29772,46762,71770,90045,97124,94416,78934,45251,50003,37406,48996,62442,68786,63714,54214,49122,47189,47098,64469,83576,61844,58840,61565,71175,80942,80542,69097,55318,41906,31635,28713,35438
25,3,2,3,1,2,1,0,0,0,0,0,0,0,0,2,0,1,4,0,0,0,0,0,0,1,5,11,7,20,19,0,0,0,0,0,4,11,14,13,12,35,16,58,13,13,8,6,10,5,10,8,7,1,15,4,40,40,18,22,14,17,15,18,6,14,2,0,0,0,6,10,56,18,6,0,0,0,0,0,0,0,16,30,78,32,4,0,0,0,0,3,6,5,5,10,87,115,74,68,67,110,73,38,111,84,23,29,24,32,28,46,44,144,83,119,10,1,0,1,1,0,0,0,0,0,70,210,0,0,0,0,0,0,1,2,2,45,31,0,0,0,0,20,106,50,12,2,2,2,80
26,3,1,3,1,3,1,0,1,1,3,0,0,4,0,2,5,1,11,1,1,0,4,2,4,4,5,5,5,15,10,0,0,1,3,7,7,6,13,2,11,11,9,46,11,7,6,1,0,2,4,5,1,1,0,7,32,8,8,13,5,6,9,2,1,0,0,0,0,0,24,8,0,0,0,0,0,0,0,0,0,8,20,8,0,0,0,0,0,0,0,0,0,0,2,27,26,26,5,27,15,19,0,42,24,18,9,6,7,7,7,15,11,33,3,87,3,0,0,0,0,0,0,0,0,0,20,50,0,0,0,0,0,0,0,0,1,53,18,0,0,0,0,5,35,40,15,6,2,3,12
27,3,1,3,1,3,2,321464,85055,29827,15179,4396,5334,1596,1649,612,449,361,21,262599,99610,36915,26085,16831,5916,8211,4899,3294,1246,337,0,198534,96176,66641,30322,23488,21791,10631,9130,6606,2286,338,0,116137,45666,46200,39000,26896,27378,40392,25245,43231,29333,20568,5897,124151,62010,42451,36538,44875,33080,29235,35185,24873,21948,9853,1744,19653,136127,110269,79993,58596,27452,20540,7693,3604,1635,369,12,21541,138110,114111,86177,46283,29160,16494,8612,3733,1402,311,9,121798,71067,58926,44970,40631,35075,28131,26532,17913,16181,4569,150,191520,61622,34499,35104,33972,31156,26002,26962,14310,8469,2323,4,788,711,1289,1728,4745,9264,17504,29288,49582,86958,145393,118693,86067,52583,44712,39052,34446,29852,25197,22203,22463,25818,54568,28982,34597,98205,77290,68161,58626,43752,32006,22835,15223,8697,5294,1257
28,3,1,3,1,3,2,27727,48374,26434,15691,4456,4142,1363,1206,826,914,1157,112,36995,43524,20312,13209,7436,2948,2746,1640,1285,1241,1065,1,22197,38099,30838,15724,10234,6955,3169,2139,1481,1026,540,0,27704,24656,19648,15468,10272,8831,11728,6219,5926,1552,349,49,16426,19619,17201,16890,19093,16272,11230,9166,4575,1672,245,13,32,52118,43822,14200,13059,5934,2743,417,74,3,0,0,44,54404,42926,15467,10678,6179,2153,479,69,3,0,0,12271,20274,20950,19195,18074,15097,11322,8178,4473,2162,400,6,40875,26598,15295,13804,12820,9468,6497,4122,1645,1005,273,0,1065,1161,1312,1674,3261,7079,13659,20323,24699,26404,25005,6760,3625,7574,11760,16032,17565,16097,13365,10440,10277,10057,13362,2248,2265,11504,14803,19782,22762,19859,15678,10436,6789,4226,3276,1022
29,3,1,3,1,2,2,40363,52092,29044,23138,10616,10105,5676,3623,2522,2172,1944,83,51807,43959,25410,18358,13731,9151,7201,4841,2838,2523,1551,8,29405,49167,34488,20688,15691,12654,8730,5131,3026,1807,590,1,37032,37229,29065,22614,14483,10754,9347,8056,5247,4384,2564,603,17736,23972,26105,24574,23512,23289,16944,14703,8410,1995,132,6,0,59013,87537,26978,7199,582,69,0,0,0,0,0,0,63207,86757,26006,4826,537,45,0,0,0,0,0,13958,29335,28556,24302,21920,19513,16607,13203,8701,4533,742,8,64124,29371,18742,15156,16098,9580,12269,8698,5324,1631,384,1,3955,2044,2432,2996,5111,10683,20444,28504,34029,36705,27358,7117,2174,9654,15592,20765,25885,26752,23133,18672,14424,10437,9248,4642,3761,11857,19437,26476,29166,26969,21613,15500,11263,7787,5754,1795
30,3,1,3,1,3,2,31476,56332,21927,13040,4182,5216,1621,1925,902,497,117,19,44807,47591,16482,11001,6778,2572,3480,2053,1599,771,104,16,39740,41465,25814,10591,7026,5810,2818,2164,1408,350,49,19,17482,7747,11037,13014,11890,13257,19122,10748,14767,8183,6588,3419,23239,20147,18520,17749,20860,14186,9810,8102,3418,1106,108,9,7,9262,48490,38623,26102,8641,4327,1202,455,137,8,0,7,10114,51245,41668,20016,8816,3467,1350,460,107,4,0,24438,27313,24581,18101,14763,10891,7071,5211,2804,1715,349,17,29351,19896,14107,15986,16811,14734,11069,9624,3993,1525,138,20,9736,700,536,643,1428,2613,4642,7143,12086,22837,42801,32089,2718,5621,10582,16124,18880,16835,13465,10101,10456,9414,11332,11726,11342,32468,29389,24953,17490,9683,6045,3144,1555,598,269,318
31,3,1,3,1,2,2,125209,44922,18650,13473,7599,8205,4588,3893,1652,787,382,22,106124,55975,22050,14548,9980,7714,5679,3890,2351,901,157,13,76015,59986,34432,17837,13313,9895,8071,5305,3348,1064,107,9,40196,33251,23540,21742,16952,16818,21438,14980,16228,11443,8773,4021,39154,39820,31848,27763,28935,21275,17840,12765,6172,2825,898,87,11488,79623,60007,39281,24330,8089,4294,1334,666,261,9,0,12311,80975,61595,41712,18609,8427,3368,1476,703,198,8,0,37839,46715,38282,31183,22963,19582,14209,10157,5972,2175,282,23,68992,35933,21699,21662,20686,20028,16033,14546,6855,2660,279,9,66,582,954,1334,2849,5808,10731,18020,29651,48128,68317,42942,16425,20589,20363,20739,20723,20108,19329,19094,19907,20790,26783,4532,7523,41916,45126,43999,37978,26343,14771,7203,2930,1136,406,51
32,3,1,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,7,16,18,33,0,0,0,0,0,0,5,11,8,11,20,22,30,13,4,4,4,3,2,8,4,5,2,12,0,23,13,6,8,3,8,15,2,3,8,2,0,0,0,0,2,13,13,0,0,0,0,0,0,0,0,0,3,15,16,2,0,0,0,0,0,0,0,0,7,35,29,15,19,29,29,26,21,59,23,6,5,8,14,15,14,14,58,43,95,2,0,0,0,0,0,0,0,0,0,20,20,0,0,0,1,0,1,0,0,1,59,37,0,0,0,1,26,39,41,6,0,0,0,0
33,3,1,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,9,4,10,0,0,1,1,0,1,5,3,5,7,2,42,10,4,0,3,0,0,2,2,0,0,0,32,13,11,7,4,4,3,1,1,1,0,0,28,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,76,7,4,18,28,37,37,29,25,15,14,4,166,35,13,10,7,11,5,9,7,23,22,14,35,0,0,0,0,0,0,0,0,0,0,40,80,0,0,0,0,0,0,0,0,2,5,17,0,2,2,7,7,10,18,10,6,5,0,23
34,3,1,3,3,2,2,19964,7345,5807,4044,3956,3606,4146,5225,5442,9157,22146,670466,29415,7494,5897,4438,4796,4210,4666,5694,6865,12086,36113,639630,25266,10369,8475,6293,6898,6533,7535,8529,10966,17174,43137,610129,69667,18466,12954,10714,10481,10076,10939,11838,14300,19129,30244,542496,517099,101893,40353,23584,16482,12854,10380,9406,8276,8540,6361,6076,730577,25156,3255,1195,748,240,120,13,0,0,0,0,731074,24759,3284,1229,592,262,92,12,0,0,0,0,341898,126505,90737,59695,38680,25723,19081,14836,12905,12520,11085,7639,51271,9180,6360,5121,5654,5147,6276,6243,9088,15165,38763,603036,410335,241449,33727,19133,19860,7118,6464,5753,5581,5500,4979,1405,2301,2966,2564,2236,2166,2291,2817,3454,4478,6361,24820,704850,665277,26488,11995,9004,8326,6996,5907,5151,4586,4591,6356,6627
35,2,1,3,3,2,3,11263,123881,125068,57271,36436,22682,17447,13746,11050,7179,2110,11,65403,168271,72726,39031,24752,18793,13825,11790,8643,4205,703,2,151080,117195,55807,31709,21504,17187,14351,11358,5949,1748,254,2,28491,25681,21409,22115,22889,23048,27380,30525,38124,54178,79959,54345,52640,185163,66687,41663,28534,20770,14486,9619,5840,2293,432,17,59,355825,61202,9757,1143,150,8,0,0,0,0,0,70,357207,60629,9174,918,145,1,0,0,0,0,0,117741,111085,59023,37585,27859,22703,18612,15434,10984,5594,1421,103,29628,19999,27278,40399,67974,77268,86829,49375,22328,6676,387,3,6835,4650,5115,7920,11699,15732,18557,21743,26167,35168,57937,216621,703,3815,6435,9109,11753,15063,21193,32573,56149,124871,140110,6370,162073,99937,39161,28338,24027,20672,18068,13554,8989,6172,5103,2050
36,2,2,3,3,3,3,42,56637,56290,26177,16502,11691,10035,7616,5433,3558,1094,84,29860,77059,30487,17106,11607,9386,6947,5722,4165,2148,655,17,83210,47018,22302,11939,8491,7162,5899,4781,2905,1143,298,11,5022,5689,6806,7455,8106,8616,10408,12005,16608,26978,50070,37396,48784,70615,26093,16540,11515,8441,6158,3818,2085,918,190,2,8,162980,25703,5175,1135,155,3,0,0,0,0,0,8,162956,25908,5068,1046,171,2,0,0,0,0,0,69468,45523,22684,14228,10386,8601,7404,6851,5629,3208,1093,84,4692,3519,7719,15300,28881,39080,49029,28039,13146,5185,560,9,1694,1281,2345,3433,4731,5713,6620,6874,8305,11537,22806,119820,3,132,698,1432,2814,4882,8363,13743,23617,44386,92991,2098,99906,38867,14999,9776,7569,6624,6400,5218,2827,1603,1005,365
37,2,2,3,3,2,3,2711,83491,81327,43458,29151,19803,15225,12100,10099,6769,1457,31,36800,112316,52851,31310,20794,16755,12391,10462,7788,3315,837,3,106645,79438,39498,22405,16174,13487,11323,9358,5160,1729,403,2,6381,10584,12264,13216,14505,15094,18018,21318,28960,46751,74453,44078,47443,113793,48485,32903,23276,16623,11199,6532,3453,1551,346,18,0,222476,62686,15183,4339,693,224,21,0,0,0,0,0,224083,62082,14719,3746,798,176,18,0,0,0,0,79273,72692,42022,27115,20218,17330,15507,13463,10278,5771,1784,169,3633,6624,14564,25849,46040,62887,74621,44885,19891,6089,535,4,1642,3326,5053,6936,8350,9582,10336,11493,14454,21427,41549,171474,11,137,810,2062,4642,9972,17990,29985,48648,83302,106812,1251,129305,71174,28516,17890,13841,12080,12588,10475,4895,2613,1857,388
38,2,1,3,3,3,3,29925,91499,84889,65460,43493,31071,20959,13984,9142,4491,1599,83,65160,101649,74410,51032,34896,25418,18660,12982,7609,3479,1292,8,70814,111921,75404,44700,31842,24111,17958,11338,5750,2082,675,0,39904,41996,36893,33900,31183,28842,32632,34297,35152,38722,33065,10009,28593,93533,73246,59076,46517,37007,25316,18501,11033,3454,302,17,0,229391,130180,26106,8794,1756,362,6,0,0,0,0,0,231450,130500,25564,7041,1764,269,7,0,0,0,0,36846,75895,70654,54427,42128,34329,28803,24299,17280,9714,2162,58,61413,33448,36536,44881,58650,53663,55370,33374,15051,3677,531,1,1728,1746,3594,7150,13725,22524,29847,36991,48332,62477,76058,92423,463,5517,14880,23288,29654,34352,41218,54545,70474,73022,47014,2168,48324,77754,57633,50673,43100,34054,26283,20436,14026,10953,9910,3449
