census_code,MSW_2001,BF_2001,MSL_2001,FC_2001,CHH_2001,ASSET_2001,band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7
23,3,1,3,1,2,1,280663,53581,40145,31910,25432,27383,312243,283446,55753,38560,34778,39016,47154,272650,243603,72198,49687,46268,54714,64023,240864,332035,50065,35232,38128,41216,47235,227446,494909,75275,50258,41068,39846,44038,25963,717350,47387,5960,636,24,0,0,720788,44764,5254,532,19,0,0,407804,109790,79250,58370,49123,52037,14983,315380,45892,38690,34345,41201,61235,234614,352114,58368,61542,95614,89913,68991,44815,74843,41132,29949,24125,24407,37178,539723,497637,64712,56666,54345,45776,32316,19905
24,3,1,3,1,3,2,364844,149456,61729,33015,19629,17038,31304,370794,129152,64187,36511,25493,23202,27676,286253,167109,88710,55048,35372,21343,23180,337380,142223,73182,47925,31691,20777,23837,226292,138237,115200,93409,61826,31701,10350,352796,307687,13621,2386,483,40,2,364775,297935,11877,1944,439,44,1,189456,152636,121172,91011,66979,46598,9163,375904,114294,72496,50076,27337,15100,21808,87445,25798,44696,101784,156812,161540,98940,75546,85876,115526,100944,83638,80368,135117,103759,107493,134985,128607,90215,55777,56179
25,3,2,3,1,2,1,0,0,0,0,2,0,5,0,0,0,1,12,16,34,0,0,0,12,23,28,42,68,17,17,9,19,8,16,31,63,31,27,31,14,13,0,0,16,74,6,0,0,0,0,51,105,4,0,0,7,9,19,187,114,148,139,105,136,46,49,62,77,211,126,4,1,1,0,0,70,210,0,0,0,2,4,75,0,0,29,146,15,2,82
26,3,1,3,1,3,1,0,3,2,4,1,6,12,2,2,4,8,6,10,24,0,2,9,11,17,16,15,54,13,4,2,8,3,0,33,15,20,9,13,1,0,0,10,22,0,0,0,0,0,24,12,0,0,0,0,0,2,33,43,22,32,15,60,28,11,14,18,18,33,90,0,0,0,0,0,20,50,0,0,0,0,1,71,0,0,7,68,22,7,14
27,3,1,3,1,3,2,383820,61530,10571,6930,2019,779,294,339827,73619,28594,14127,7511,2080,185,263439,108781,49308,26055,13291,4969,100,151655,69216,53028,54584,61343,54460,21657,178044,68813,63181,62297,48761,37398,7449,127829,180004,96805,44245,14188,2741,131,135787,183438,92847,37748,13031,2961,131,168848,105922,71975,53851,38164,25172,2011,236793,68351,51573,57158,32878,18302,888,1274,2173,6793,22816,57696,148267,226924,124836,76552,60615,45388,39322,44064,75166,109027,131589,103467,64556,36447,16217,4640
28,3,1,3,1,3,2,61384,49727,12045,4998,1755,1531,962,69305,38242,14229,5327,2590,2036,673,47586,50210,21078,8187,3164,1971,206,46969,31220,19747,16869,13561,3771,265,31811,29290,29685,25007,13067,3431,111,34164,69339,19733,8342,815,9,0,39099,66191,19603,6764,733,12,0,25915,36081,32422,21718,12053,4046,167,60030,29393,20001,15888,4972,2047,71,1873,2320,5069,17590,36462,45265,23823,8638,20529,29593,25346,18229,17380,12687,10579,26074,37300,30759,16665,7770,3255
29,3,1,3,1,2,2,79493,52098,27028,12214,5569,3621,1355,83979,44927,25522,14579,7306,4237,828,64593,58029,29381,18121,7756,3261,237,65348,48761,27121,18635,12152,7185,2176,35551,43290,40697,34129,22923,4732,56,29734,133368,17633,643,0,0,0,35929,130564,14475,410,0,0,0,34062,47519,40598,29481,20631,8759,328,84457,34303,24892,21555,12438,3588,145,5329,4275,8101,26533,50808,61740,24592,8348,27206,42108,42741,30994,18430,11551,11482,34118,49118,41548,25425,14073,5614
30,3,1,3,1,3,2,69982,47241,9816,6744,2505,896,70,82178,32774,11769,5969,3309,1196,59,68131,42999,15217,6898,3093,885,31,23141,17058,21027,26375,25046,15985,8622,40106,30507,30124,23629,10401,2440,47,5050,72510,44933,12285,2241,235,0,5766,77304,42063,9841,2030,250,0,42173,43412,26646,14800,7235,2853,135,43245,27917,24997,25781,11393,3864,57,10246,991,2120,6139,14037,39311,64410,6360,18884,31441,25433,18144,16514,20478,35116,49757,32152,13692,4868,1189,480
31,3,1,3,1,2,2,160091,35879,14844,11394,5469,1470,235,150210,42214,17648,11094,6415,1714,87,119390,59154,24967,15061,8490,2267,53,64329,40938,32193,32308,28048,21295,10271,69999,53195,45865,36200,18053,5496,574,73137,98710,42884,11693,2535,420,3,77373,99959,39779,9505,2307,456,3,69800,68695,42705,28029,15696,4327,130,96701,40381,33420,33503,19377,5908,92,416,1654,4304,14023,35475,80416,93094,31047,35708,35517,33346,32816,36279,24669,36452,77295,67009,35346,10800,2199,281
32,3,1,3,1,2,1,0,0,0,0,0,0,0,0,0,0,2,3,23,49,0,0,0,4,18,17,38,39,11,5,5,12,5,14,11,27,13,9,16,8,7,0,0,2,26,0,0,0,0,0,5,28,3,0,0,0,0,10,60,28,52,39,65,42,9,18,25,38,83,97,0,0,0,0,0,20,20,0,1,1,0,1,96,0,0,30,76,7,0,0
33,3,1,3,3,3,2,0,0,0,0,0,0,0,6,0,0,0,0,2,13,10,0,2,1,7,10,5,51,5,3,0,4,0,0,39,21,7,7,1,2,0,28,0,0,0,0,0,0,56,0,0,0,0,0,0,81,14,40,69,48,24,18,191,24,18,14,13,32,30,35,0,0,0,0,0,40,80,0,0,0,0,2,22,2,3,13,28,14,7,23
34,3,1,3,3,2,2,26178,8363,6955,6953,8831,15973,688051,35448,9798,7212,7939,9782,21892,669233,32823,14106,11091,11843,15860,30844,644737,84079,22000,17334,18273,21224,32778,565616,600400,70153,30896,19844,15508,14206,10297,753956,5721,1254,348,25,0,0,754283,5542,1182,276,21,0,0,434838,155697,70888,38484,24801,21432,15164,58097,10570,9547,9322,12653,26636,634479,638272,56906,30410,11536,9901,9476,4803,4457,4322,3765,4365,6254,11168,726973,686919,20845,14459,10921,8695,8075,11390
35,2,1,3,3,2,3,99877,189387,67148,36517,21587,12781,847,197920,125562,50729,27050,18725,7953,205,243164,95725,41176,26705,17513,3738,123,48076,37079,38603,43432,56182,90911,113861,208291,115797,54193,29913,15207,4522,221,321407,102849,3733,155,0,0,0,323049,101523,3470,102,0,0,0,204462,100938,51559,35341,24599,10402,843,44752,46098,107862,133364,83179,12759,130,10248,9240,18750,29468,38809,60215,261414,3031,11454,19239,30600,63911,216687,83222,245499,68542,42701,33068,21602,11050,5682
36,2,2,3,3,3,3,32570,92384,32134,19671,11458,6316,626,91082,54079,22903,13745,8951,4035,364,120544,37576,15889,11245,7475,2278,152,9043,11616,13726,16213,22507,45988,76066,107972,45288,21572,12673,5827,1746,81,147512,44502,3027,118,0,0,0,146715,45311,3001,132,0,0,0,104985,39350,19320,13665,11319,5823,697,7299,13890,46383,70208,47996,9199,184,2538,4068,7673,10563,12401,20030,137886,56,1271,4297,11148,27073,80204,71110,132245,25995,13868,11157,7941,2917,1036
37,2,2,3,3,2,3,55117,133000,54982,30937,19015,11877,694,125023,90835,41450,24734,16595,6583,402,169175,66854,30037,21317,14459,3624,156,13879,20929,24368,28386,39536,78803,99721,141216,83962,43394,23974,9918,2959,199,183445,111251,10030,856,40,0,0,186698,108495,9632,765,32,0,0,134861,71634,37662,28037,21899,10398,1131,8426,25150,73204,113200,73530,11904,208,3946,8798,13910,17102,20711,36861,204294,76,1571,7032,23577,58345,144533,70488,188183,49258,25109,21040,15543,4821,1668
38,2,1,3,3,3,3,98669,137311,85436,44486,21501,8186,1006,139905,123544,68063,37780,19947,6643,713,152818,126434,59319,36033,17336,4335,320,71153,62474,53892,53457,59191,64006,32422,98135,124312,84775,52930,29067,7250,126,161994,213902,18627,2048,24,0,0,161213,216595,17237,1529,21,0,0,90083,117605,78174,53522,38504,17674,1033,87112,61384,94490,94325,51056,7983,245,2882,6599,21174,45050,67461,106029,147400,3465,26447,48444,64298,99970,123982,29989,107735,98705,76404,51587,32297,19605,10262
39,2,1,3,2,3,3,5189,47754,46302,27058,16462,9149,520,18161,64155,35989,17052,11700,5187,190,50833,53966,22346,12884,9946,2416,43,8741,14278,19208,26645,30830,33281,19451,40826,52128,28395,15235,11370,4436,44,63019,69638,15207,4429,141,0,0,69258,64950,14787,3323,115,1,0,42099,48760,26364,14197,12329,8423,262,9512,14445,32062,55756,34297,6317,45,1548,2365,7299,13355,20443,36056,71368,1171,6270,10217,14973,29708,63224,26871,60377,39743,22337,12785,9610,5128,2454
40,2,2,3,2,2,3,1197,10276,24883,57759,31726,7052,359,8168,42699,53200,21272,5373,2510,30,50404,62392,12368,4246,3099,727,16,1604,2318,4438,8933,18237,48330,49392,78974,38597,9498,3979,1931,268,5,122291,10260,641,60,0,0,0,122407,10196,610,39,0,0,0,76765,37259,10217,4519,3085,1366,41,1017,2904,13745,47550,55303,12706,27,305,998,2338,3030,5531,19598,101452,4,72,472,1765,6736,32930,91273,106643,16293,5164,3619,1384,145,4
41,2,2,3,3,2,3,129133,126174,85203,36442,22863,18290,622,193182,134376,41014,20977,19016,9858,304,288898,65016,23574,18022,18045,5051,121,19034,17189,20668,23133,30534,83034,225135,252513,95866,35523,19965,12052,2681,127,195562,199017,20954,3001,193,0,0,197779,197937,20081,2754,176,0,0,253022,79263,31479,23100,18712,12296,855,13291,18055,44879,134093,174480,33725,204,7555,11032,14227,13293,16584,29433,326603,90,2261,7878,21108,51896,179876,155618,317465,39239,19603,20776,16012,4283,1349
42,2,2,3,2,2,2,35734,175546,31976,12940,7926,9383,496,128680,97399,20925,10416,6959,9266,356,205813,36354,11649,6473,6606,6936,170,1838,2778,5431,11103,16514,54274,182063,179837,54753,18035,8993,8418,3781,184,51867,202811,17199,2047,77,0,0,52639,202332,16934,2025,71,0,0,181633,47698,15606,9799,7711,10306,1248,1360,2050,7416,50997,161900,50003,275,841,3865,6637,5484,7155,14760,235259,59,351,3060,12001,25575,108818,124137,228672,20912,8668,5642,7867,2124,116
43,2,2,3,2,2,2,25272,127198,115006,100773,118111,93816,26190,70977,132278,105929,121883,93300,64533,17466,157851,151508,120948,78736,49194,38509,9620,5282,8104,21424,60669,131532,240320,139035,206575,143653,115009,70693,39917,25352,5167,57699,316548,179140,47739,4918,322,0,62251,327826,170501,40922,4536,330,0,196686,160872,109340,54899,34925,34863,14781,4142,4583,25348,136358,289801,133242,12892,5658,19178,25384,40739,80791,163308,271308,13,415,5800,41541,109383,230722,218492,293645,182661,66543,28939,21349,12130,1099
44,2,2,3,2,2,2,1352,55232,92225,73977,46511,26577,6760,13531,78269,87246,63022,31098,24175,5293,53087,115021,71370,27405,15528,17090,3133,1852,2579,6280,24332,64471,126026,77094,72039,120684,55395,24428,14326,13393,2369,31847,215901,44138,9910,838,0,0,37370,217489,38758,8297,720,0,0,72440,121106,49535,22252,13365,16304,7632,1106,1941,6186,47153,169632,72359,4257,1304,8858,12153,14122,25812,89211,151174,3,312,5490,21849,48250,144823,81907,162592,83689,25695,12338,11202,6785,333
45,2,2,3,3,2,2,6314,81101,38404,20392,11206,10361,1333,46278,57710,26402,17278,10481,10060,902,89484,37790,16942,10032,7180,7297,386,1335,2885,4527,12260,28081,45569,74454,85028,42567,18155,9969,7302,5721,369,3261,129231,28765,6484,1365,5,0,3572,132640,26050,5571,1265,13,0,84857,38931,17268,9579,7175,8971,2330,874,1855,5068,28825,95724,36208,557,595,3784,6573,6289,10663,23326,117881,27,399,3861,10376,18637,70043,65768,115403,27206,10451,5631,6329,3390,701
46,2,2,3,3,2,2,20378,149816,102262,46968,27635,33553,10502,79325,148024,62684,33925,23975,33559,9622,177922,104416,35975,21154,18907,26030,6710,4203,6173,6923,15598,48640,153209,156368,155443,114848,46846,26508,20835,21370,5264,536,326139,43292,18160,2927,60,0,395,326654,43160,17912,2932,61,0,150003,108819,45080,25992,19446,25565,16209,2642,3655,6936,44755,229957,94333,8836,3278,18057,16348,14088,19749,52550,267044,43,430,9869,34584,55763,195903,94522,249139,69327,23789,14713,16907,14436,2803
47,2,2,3,2,2,2,19507,103581,62787,30227,17559,17563,4727,61572,99392,37716,20747,14409,17185,4930,137764,60811,19660,11292,9923,12981,3520,619,1230,2150,7168,18951,80490,145343,119814,69681,26209,14549,11628,11080,2990,10202,220970,18754,5496,529,0,0,9764,221943,18446,5265,533,0,0,121119,65217,25009,13427,9761,13893,7525,574,733,2254,23477,149761,74220,4932,482,6970,8660,7425,10276,27402,194736,16,619,6799,17395,29272,123694,78156,184100,36623,12193,7343,9075,6131,486
48,2,2,3,3,2,3,92,69952,158096,102380,35383,18731,2190,26122,200063,94438,37244,16304,11923,730,179216,134068,37800,16147,12837,6327,429,4469,10697,11837,21973,45468,130190,162190,197314,121017,36408,17591,10775,3339,380,302305,81966,2454,99,0,0,0,301912,82487,2336,89,0,0,0,190457,117617,36864,18064,13795,9040,987,5281,6889,18475,97840,196733,60957,649,794,4079,9604,12271,20109,54041,285926,23,729,4631,11726,29547,145548,194620,289645,54771,17406,13522,8842,2271,367
49,2,2,3,2,2,3,4420,143104,98059,34320,16497,15838,1346,85086,139922,45817,19321,14326,8635,477,179936,80274,23365,13337,12460,4028,184,11208,14319,20620,37372,65097,97458,67510,160860,99002,30558,13568,7321,2168,107,236332,70126,5719,1274,124,9,0,246090,61256,5114,1005,109,10,0,162969,84622,29699,16464,12509,6530,791,6344,16991,63024,121061,88896,17077,191,3984,7657,10502,10451,16088,39738,225164,32,354,2642,10771,35973,159185,104627,218523,50533,17524,13243,9556,3304,901
51,3,2,3,3,3,3,6833,30404,36610,47886,28502,10600,1192,17503,42909,47418,31285,15647,6784,481,27745,62572,37383,19572,10967,3652,136,18827,18385,19927,31676,32991,25044,15177,28917,58129,35565,23165,13257,2981,13,58837,65946,25812,7484,2911,1034,3,62311,65723,23848,6375,2670,1096,4,28306,58468,33485,20802,14195,6517,254,21102,16219,25170,47425,39807,12162,142,2203,3061,8082,17844,31449,56380,43008,1539,5058,12579,22499,36697,53777,29878,41323,49601,34817,21519,9814,3776,1177
53,2,2,3,2,2,2,15110,174067,155982,37888,17411,15998,1449,83941,245262,45721,17997,11637,12614,733,305183,66967,17218,9647,9881,8628,381,2248,3632,6694,13565,19288,78858,293620,267058,95772,25559,12813,11485,4722,496,195000,207153,13995,1707,50,0,0,181010,221446,13749,1660,40,0,0,278275,79131,23144,13037,10170,12587,1561,2118,2518,8118,64093,253242,87180,636,665,4870,8641,7611,10130,22141,363847,42,710,4328,12514,29641,153192,217478,355197,30570,11492,8235,9925,2300,186
55,3,3,3,3,3,3,0,621,1923,3034,3907,4170,155,205,2132,2769,3179,3538,1938,49,398,2702,3221,3477,3030,964,18,3071,4963,2191,1442,1112,847,184,840,3706,4213,2709,1648,657,37,1126,11032,1634,18,0,0,0,1137,11038,1620,15,0,0,0,448,2404,3046,3710,2757,1328,117,1610,3158,3162,2828,2239,790,23,556,2027,3167,3397,2384,1589,690,12,361,1142,1777,3010,6072,1436,704,1897,3082,4446,2880,746,55
56,3,1,2,1,3,1,387919,38218,18458,12877,13097,20068,451908,346869,53721,31159,23178,19936,27825,439857,282609,97765,45783,31775,26131,34352,424130,232593,107181,73107,67126,48227,39910,374401,549590,132672,80936,63273,58963,42697,14414,693644,126007,58077,36842,17898,8408,1669,700774,124901,57001,32791,16487,8910,1681,426999,196855,101103,73283,64208,58620,21477,320532,73763,42365,30922,30109,32428,412426,335834,81093,69272,55787,75370,141116,184073,74605,84910,75147,61010,54167,54962,537744,525535,154445,99485,70862,44274,24584,23360
57,3,1,2,1,3,1,566775,42111,28020,21769,18312,31413,204156,478416,76785,39776,27663,27289,51646,210981,393426,92631,65290,53325,51201,63632,193051,396951,104260,68556,65094,67531,57312,152852,421531,103233,72920,67173,81408,91161,75130,659405,162584,54844,24216,8662,2451,394,669668,158518,52586,20926,7885,2582,391,364750,130386,78704,68835,69159,100587,100135,428526,100926,57397,46763,53363,50559,175022,311344,64079,55111,63986,59585,111121,247330,223122,84267,65182,55581,60428,89997,333979,304512,142213,87299,66264,54088,54565,203615
58,3,1,2,1,3,1,166430,9859,2608,1381,1292,2189,30260,142938,23512,8182,3786,2303,3253,30045,120116,32207,15351,8242,4673,4792,28638,65000,34870,29797,29076,21763,10108,23405,97928,38916,24310,21370,18183,11635,1677,130755,56166,22161,4566,355,16,0,130338,56690,22012,4599,360,20,0,92679,42976,27851,22381,16656,10627,849,114587,33141,19658,11025,5522,3967,26119,12584,11349,11411,14719,19929,44097,99930,50273,36509,24947,18235,16961,19173,47921,73746,56917,32511,21314,12576,7446,9509
59,3,1,2,1,3,1,340737,57140,15678,5360,2401,2083,26958,261804,80278,42009,23084,11554,5037,26591,175008,130735,64778,33547,15231,5921,25137,139709,110801,74367,61052,31285,11182,21961,122933,94905,84528,74537,53144,19127,1183,85604,145164,114901,76740,23779,4034,135,90640,150817,115446,66968,21884,4468,134,106702,109953,89517,73140,49567,19847,1631,231196,86138,50314,32072,20267,5771,24599,11334,11135,20966,56016,108360,124629,117917,65501,109206,96291,68874,48744,27794,33947,57427,91447,99395,97151,63805,27691,13441
60,3,2,3,3,3,3,209458,67876,30641,20833,14580,11036,2991,115489,109504,50915,33347,27654,17885,2621,107869,106058,58420,39704,31026,13419,919,68705,67903,63713,75967,52811,25909,2407,66308,78925,66802,62582,50638,29348,2812,55578,65105,91764,86146,39648,16198,2976,58734,67324,98131,76272,36735,17168,3051,71622,79979,62295,59019,48762,31507,4231,97972,73178,70895,58292,41392,14792,894,5879,10449,26071,49459,75497,89838,100222,24868,64803,73021,56864,49238,56106,32515,53697,77188,68053,68762,49202,26277,14236
61,3,1,2,1,3,1,427772,137033,39063,15693,7346,3296,1788,338556,160756,66617,35802,20144,8409,1707,238864,196554,99524,56285,30338,9469,957,198409,161522,114235,87390,48407,19729,2299,155359,128627,113618,100294,81193,47972,4928,62822,224068,153856,124055,52139,13062,1989,64438,233892,153020,115661,48934,14022,2024,159970,136274,119211,97628,72283,41672,4953,298042,156258,79467,52074,34155,11077,918,9486,6065,30508,99667,157955,182042,146268,98958,132365,115575,84813,71406,86543,42331,65279,134981,119630,125532,102924,57756,25889
62,3,1,2,1,3,1,482702,83670,40120,25319,24667,37352,146400,395427,109053,52903,38082,33337,58536,152892,309631,124695,78741,62382,57666,70644,136471,355934,104964,71562,66474,63868,62781,114647,329296,102642,81783,77212,88137,92075,69085,550701,203992,57777,19529,6197,1765,269,559569,200669,54518,17559,5806,1848,261,281761,126491,87450,81516,84243,103141,75628,365527,101802,70963,59917,58553,57057,126411,282865,62053,46046,55601,71718,137401,184546,206415,81546,65964,56611,61742,94590,273362,204399,137324,105582,86564,72298,61915,172148
63,3,1,2,1,3,1,174254,32551,13203,4629,2602,4411,32795,156036,42000,16775,7700,4577,6283,31074,134065,47801,25317,13525,8629,7774,27334,92521,42031,30502,29141,25500,15771,28979,104553,42287,28835,23867,25059,20452,19392,145577,93946,21052,3772,95,3,0,152477,90400,18731,2761,73,3,0,98495,55070,31314,23132,18302,18324,19808,121311,51135,25730,17406,13588,7726,27549,30416,9191,10935,20341,34485,71956,87121,51946,29860,24644,21454,22405,35357,78779,70179,65467,44170,30589,17551,11621,24868
