census_code,MSW_2001,BF_2001,MSL_2001,FC_2001,CHH_2001,ASSET_2001,band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6
28,3,1,3,1,3,2,76101,42125,8598,2569,1740,1269,80519,33521,10384,4386,2526,1066,60296,46562,17189,5308,2507,540,52360,35116,19103,17947,7478,398,36045,34091,35365,20396,6247,258,52150,58022,18993,3160,77,0,54448,58393,16857,2632,72,0,32545,40145,33171,19500,6635,406,67473,29099,22288,10619,2650,273,2226,2986,10340,33982,51103,31765,11199,27792,33662,23805,20334,15610,13769,34585,42621,26114,11015,4298
29,3,1,3,1,2,2,92455,52182,20721,9299,4694,2027,95766,43768,22882,12042,5361,1559,78572,55176,28345,13861,4833,591,74261,51679,25237,17403,9631,3167,41708,50679,46801,31647,10405,138,59013,114515,7781,69,0,0,63207,112763,5363,45,0,0,43293,52858,41433,29810,13234,750,93495,33898,25678,20967,6955,385,5999,5428,15794,48948,70734,34475,11828,36357,52637,41805,24861,13890,15618,45913,56135,37113,19050,7549
30,3,1,3,1,3,2,87808,34967,9398,3546,1399,136,92398,27483,9350,5533,2370,120,81205,36405,12836,4982,1758,68,25229,24051,25147,29870,22950,10007,43386,36269,35046,17912,4524,117,9269,87113,34743,5529,592,8,10121,92913,28832,4817,567,4,51751,42682,25654,12282,4519,366,49247,30093,31545,20693,5518,158,10436,1179,4041,11785,34923,74890,8339,26706,35715,23566,19870,23058,43810,54342,27173,9189,2153,587
31,3,1,3,1,2,2,170131,32123,15804,8481,2439,404,162099,36598,17694,9569,3252,170,136001,52269,23208,13376,4412,116,73447,45282,33770,36418,27671,12794,78974,59611,50210,30605,8997,985,91111,99288,32419,5628,927,9,93286,103307,27036,4844,901,8,84554,69465,42545,24366,8147,305,104925,43361,40714,30579,9515,288,648,2288,8657,28751,77779,111259,37014,41102,40831,38423,40697,31315,49439,89125,64321,21974,4066,457
32,3,1,3,1,2,1,0,0,0,0,0,0,0,0,2,1,23,51,0,0,0,16,19,42,43,8,7,10,9,14,23,19,11,23,5,10,0,0,15,13,0,0,0,0,18,18,0,0,0,0,42,44,48,55,80,29,13,29,28,101,97,0,0,0,0,20,20,0,1,1,1,96,0,1,65,47,0,0
33,3,1,3,3,3,2,0,0,0,0,0,0,6,0,0,0,2,13,10,1,1,6,8,9,52,4,3,2,2,0,45,18,8,4,2,0,28,0,0,0,0,0,56,0,0,0,0,0,83,22,65,66,40,18,201,23,18,14,30,36,35,0,0,0,0,40,80,0,0,0,2,22,2,9,17,28,11,23
34,3,1,3,3,2,2,27309,9851,7562,9371,14599,692612,36909,10335,9006,10360,18951,675743,35635,14768,13431,16064,28140,653266,88133,23668,20557,22777,33429,572740,618992,63937,29336,19786,16816,12437,755733,4450,988,133,0,0,755833,4513,854,104,0,0,468403,150432,64403,33917,25425,18724,60451,11481,10801,12519,24253,641799,651784,52860,26978,12217,11081,6384,5267,4800,4457,6271,10839,729670,691765,20999,15322,11058,9177,12983
35,2,1,3,3,2,3,135144,182339,59118,31193,18229,2121,233674,111757,43545,25615,12848,705,268275,87516,38691,25709,7697,256,54172,43524,45937,57905,92302,134304,237803,108350,49304,24105,8133,449,355884,70959,1293,8,0,0,357277,69803,1063,1,0,0,228826,96608,50562,34046,16578,1524,49627,67677,145242,136204,29004,390,11485,13035,27431,40300,61335,274558,4518,15544,26816,53766,181020,146480,262010,67499,44699,31622,15161,7153
36,2,2,3,3,3,3,56679,82467,28193,17651,8991,1178,106919,47593,20993,12669,6313,672,130228,34241,15653,10680,4048,309,10711,14261,16722,22413,43586,87466,119399,42633,19956,9976,3003,192,162988,30878,1290,3,0,0,162964,30976,1217,2,0,0,114991,36912,18987,14255,8837,1177,8211,23019,67961,77068,18331,569,2975,5778,10444,13494,19842,142626,135,2130,7696,22106,68003,95089,138773,24775,14193,11618,4430,1370
37,2,2,3,3,2,3,86202,124785,48954,27325,16868,1488,149116,84161,37549,22853,11103,840,186083,61903,29661,20681,6889,405,16965,25480,29599,39336,75711,118531,161236,81388,39899,17731,5004,364,222476,77869,5032,245,0,0,224083,76801,4544,194,0,0,151965,69137,37548,28970,16049,1953,10257,40413,108927,119506,25980,539,4968,11989,17932,21829,35881,213023,148,2872,14614,47975,131950,108063,200479,46406,25921,23063,7508,2245
38,2,1,3,3,3,3,121424,150349,74564,34943,13633,1682,166809,125442,60314,31642,11088,1300,182735,120104,55953,29296,7832,675,81900,70793,60025,66929,73874,43074,122126,132322,83524,43817,14487,319,229391,156286,10550,368,0,0,231450,156064,8805,276,0,0,112741,125081,76457,53102,26994,2220,94861,81417,112313,88744,18728,532,3474,10744,36249,66838,110809,168481,5980,38168,64006,95763,143496,49182,126078,108306,77154,46719,24979,13359
39,2,1,3,2,3,3,8632,60371,46723,21543,13968,1197,31443,66362,30011,15741,8399,478,65409,48729,19633,13540,4987,136,10878,18682,24690,35156,37805,25223,51806,52616,25723,14159,8010,120,85361,52687,13378,1000,8,0,87896,52211,11582,738,7,0,51916,50062,23034,14901,11819,702,11179,20596,49681,56651,14151,176,1767,3683,12095,19347,36259,79283,1826,8683,13641,25642,61558,41084,69077,40043,20471,12592,7006,3245
40,2,2,3,2,2,3,1870,14066,48783,55384,11905,1244,11866,60053,46256,11139,3849,89,69404,49363,8860,3966,1627,32,1947,3110,7124,15373,44904,60794,91040,30890,7269,3450,585,18,126756,6135,360,1,0,0,126821,6114,316,1,0,0,87532,31093,8157,4095,2297,78,1305,4876,31201,67699,28060,111,413,1557,3130,4686,15806,107660,7,152,965,4743,24324,103061,111698,13407,4835,2975,330,7
41,2,2,3,3,2,3,159967,129738,72774,29577,25033,1638,230216,115384,34381,21925,16080,741,308547,54844,23102,21769,10141,324,21940,20390,25857,30203,71660,248677,279620,83807,31224,18466,5321,289,288015,118175,11579,950,8,0,290117,117480,10310,814,6,0,275609,68601,31972,23242,17711,1592,15614,25726,85223,211714,79632,818,9061,14609,15609,17261,28286,333901,207,4033,13994,42609,145326,212558,328107,35938,21394,24384,7052,1852
42,2,2,3,2,2,2,83762,143491,23492,10568,11559,1129,163762,71570,17596,8814,11361,898,217398,29570,10496,6712,9413,412,2192,3826,8782,16057,44631,198513,196977,45216,15642,9018,6788,360,158595,105112,9791,500,3,0,160050,104251,9218,480,2,0,195585,40227,14470,9673,11350,2696,1622,3121,20267,138984,109263,744,1083,6220,6697,7217,13547,239237,77,780,7199,22023,79273,164649,234544,18455,8233,7680,4869,220
43,2,2,3,2,2,2,46486,142945,131481,130513,115543,39398,103017,136257,132355,125255,80957,28525,189639,163890,119798,69221,48221,15597,6059,12325,39104,111357,254011,183510,238713,151578,116488,57500,33856,8231,99604,348015,138401,19570,776,0,101183,373765,113605,17057,756,0,222498,179523,95454,48305,40329,20257,4584,8068,65267,278644,225595,24208,8410,24169,34754,71145,161422,306466,24,1145,19186,91430,215276,279305,332041,174695,52445,27566,17253,2366
44,2,2,3,2,2,2,5571,81703,102094,69486,32311,11469,24202,97546,94859,47897,28643,9487,68727,131678,55210,21780,19840,5399,2184,3584,13067,53137,128647,102015,98297,117847,46639,19644,16394,3813,70703,198832,28982,4116,1,0,73145,202536,23429,3523,1,0,93549,122395,39968,18650,17057,11015,1344,2839,17069,133179,140561,7642,2307,12052,14236,22375,74768,176896,6,979,14067,38965,129564,119053,186376,71235,21299,12734,10070,920
45,2,2,3,3,2,2,22500,80817,34748,15927,12402,2717,61657,53587,25088,14561,12178,2040,99121,35142,15359,9360,9156,973,1747,3669,7585,25172,46709,84229,96589,38529,16228,9192,7793,780,50689,95366,19448,3505,103,0,51063,98364,16431,3167,86,0,93682,37226,15477,9077,9607,4042,1086,2752,11522,77919,74382,1450,849,5983,7053,9559,22193,123474,47,929,8107,16018,54352,89658,122566,24419,9138,6690,5239,1059
46,2,2,3,3,2,2,45748,167554,85365,39191,35767,17489,115961,138172,54819,31137,34776,16249,206022,91355,32406,21917,28633,10781,5289,7066,10470,35333,141733,191223,185305,104345,42189,25276,25924,8075,89363,255748,35148,10659,196,0,90530,256188,33725,10486,185,0,175054,102522,40866,24562,26463,21647,3219,4842,15166,173236,179660,14991,5755,21991,16732,19173,45608,281855,56,1333,25339,49775,160714,153897,268995,59355,21798,17635,18644,4687
47,2,2,3,2,2,2,36386,115006,51548,25273,19681,8057,90240,87167,32879,18891,18976,7798,155068,51666,17781,11421,14601,5414,770,1619,4016,14810,67412,167324,139169,61258,23489,13795,13816,4424,84973,155647,12792,2468,71,0,86527,155093,11922,2342,67,0,137087,59896,21959,12333,14510,10166,681,1058,6509,102064,137478,8161,1267,9225,9372,9814,24039,202234,31,1525,13995,25645,96296,118459,194598,31264,10851,9465,8561,1212
48,2,2,3,3,2,3,643,118468,171397,67543,23616,5157,58393,208696,76285,26152,15892,1406,217632,112624,30110,15224,10514,720,6298,12228,17775,38264,118803,193456,232064,102738,29743,15851,5790,638,342003,43982,833,6,0,0,342474,43621,725,4,0,0,221607,102733,30899,16999,12998,1588,6289,9027,47491,197200,125342,1475,1242,6451,12417,18520,46970,301224,47,1587,8417,23099,109025,244649,306473,45126,16785,14210,3631,599
49,2,2,3,2,2,3,14866,188485,61691,25673,20123,2746,123162,122449,36489,17649,12744,1091,203925,66955,19427,15466,7381,430,13436,18522,29949,60807,104619,86251,188569,85883,23707,11497,3693,235,266628,42437,4073,426,20,0,269107,40844,3269,346,18,0,186003,74178,26312,15877,9886,1328,8008,27739,100285,140596,36371,585,4866,10324,11972,14962,35505,235955,47,779,6043,25932,126314,154469,233811,42463,16643,14369,4966,1332
51,3,2,3,3,3,3,10201,38304,51645,43079,16680,2118,25826,49814,50005,24434,11028,920,39877,65589,33169,16612,6442,338,22303,21724,27449,39942,31626,18983,38962,61821,34649,20562,5987,46,74438,62553,18301,5077,1593,65,76068,64689,15070,4574,1580,46,40089,59899,31362,19833,10175,669,24258,19130,41248,55343,21621,427,2541,4513,13693,29406,57076,54798,2022,7561,19569,34855,58332,39688,51585,52204,34449,16451,5691,1647
53,2,2,3,2,2,2,19189,242918,107511,25933,18295,4059,155504,195250,34628,15331,15515,1677,328315,51220,15029,10516,12033,792,2779,4665,11308,18606,61404,319143,299052,74897,21565,13473,8126,792,301151,109310,7022,421,1,0,303309,107661,6560,374,1,0,301567,65704,20486,12511,14777,2860,2451,3618,22575,202172,185545,1544,999,7718,9199,10152,19939,369898,69,1492,8375,24233,108496,275240,364246,26246,10710,11581,4770,352
55,3,3,3,3,3,3,3,1160,2795,4093,5265,494,448,2808,3495,3945,2978,136,810,3323,3886,3978,1749,64,4176,4727,2116,1395,1120,276,1345,4636,4301,2389,1058,81,2172,10994,644,0,0,0,2171,11103,536,0,0,0,692,3100,3947,3877,1956,238,2177,3572,3617,3071,1295,78,813,2697,4078,3258,2025,939,22,684,1670,2642,6284,2508,975,2463,4391,4559,1327,95
56,3,1,2,1,3,1,398008,35954,16906,15575,17872,458230,356051,55518,33071,23682,26691,447532,306084,92253,44343,33213,33184,433468,248624,120222,80284,60012,52475,380928,578619,134945,83038,71024,56215,18704,720157,120847,57917,29065,11483,3076,723122,125557,52847,26692,11486,2841,472839,187961,104720,75533,72790,28702,338071,69312,45509,35664,33725,420264,351684,87266,74071,74512,141990,213022,89299,96542,80906,65048,63575,547175,557714,159132,101503,64021,32954,27221
57,3,1,2,1,3,1,567382,51863,25541,26341,29585,211844,499783,70307,44122,29219,44352,224773,408140,100975,70630,59134,64309,209368,414613,104771,83329,75096,76135,158612,445208,101830,80972,87613,106876,90057,697135,147242,47276,16245,3938,720,701892,149711,41954,14532,3838,629,397339,122047,85903,81842,108052,117373,448679,100703,69588,49875,57551,186160,324582,64179,72739,70558,105894,274604,239561,90841,70526,66873,93249,351506,338719,140482,91491,65963,62267,213634
58,3,1,2,1,3,1,169526,7860,2231,1525,1985,30892,149261,20633,6999,3201,2978,30947,127361,31308,13795,6824,4755,29976,71823,38049,34084,30503,15135,24425,107126,38441,26530,23030,16036,2856,142671,53900,16033,1357,58,0,142548,54589,15518,1298,66,0,101814,43701,29789,22189,14694,1832,122084,32987,18886,8484,4549,27029,14451,13238,14829,19010,42786,109705,57475,38706,25172,19855,21290,51521,88634,53938,32628,18380,9761,10678
59,3,1,2,1,3,1,361964,44023,10511,4216,2213,27430,276066,82425,39164,18428,6865,27409,202121,131249,55662,26817,8353,26155,154553,127558,77097,46391,21905,22853,140274,107758,94135,75510,30381,2299,105401,164927,122107,49284,8244,394,107969,177409,112460,44105,8079,335,126741,118056,103677,66973,31998,2912,250081,82101,53484,30275,9170,25246,12858,14504,38364,102501,145127,137003,83031,125966,99607,66042,38956,36755,72727,108247,118945,92355,40889,17194
60,3,2,3,3,3,3,231464,59396,26616,22082,12987,4870,130156,115386,48642,34569,23890,4772,131855,105552,55108,41465,21314,2121,77116,83748,78909,67261,45915,4466,80671,87994,76511,66730,40292,5217,67891,77819,117120,65375,23461,5749,69442,87123,112662,59328,23622,5238,87839,82962,75836,60295,43296,7187,110400,78578,85754,57595,23234,1854,7070,15928,41008,76535,99506,117368,32692,82752,77691,59024,64560,40696,70408,81964,82336,68395,35752,18560
61,3,1,2,1,3,1,472488,110466,29410,12787,4578,2262,374621,151942,60133,30026,12918,2351,279087,197761,89594,47241,16735,1573,224585,178426,120058,73277,32159,3486,180547,143504,125835,106268,66825,9012,89575,253045,167246,96923,21103,4099,91005,264049,161827,90239,21117,3754,182898,153271,133814,93739,59433,8836,331893,150800,81240,47724,18838,1496,10037,11098,64427,163300,203983,179146,120945,152178,119460,86829,94207,58372,94226,144470,144827,134802,79596,34070
62,3,1,2,1,3,1,494738,87270,36469,29199,37470,155084,423762,101005,55248,38908,53225,168082,331251,131949,82314,67949,73967,152800,376743,105797,82634,76198,75677,123181,351346,106128,92034,98093,108913,83716,598738,181506,44768,11822,2905,491,603078,183115,39878,10860,2859,440,310033,126076,98665,96629,116649,92178,383903,106879,81178,65870,64603,137797,297870,59834,59162,73654,133378,216332,221379,89847,71800,67194,96949,293061,233481,145343,114816,89806,74303,182481
63,3,1,2,1,3,1,174254,38615,9174,4406,4031,33965,168835,36056,15726,5608,5562,32658,142188,49558,23306,11852,8389,29152,99326,42649,38143,31087,22820,30420,114262,41195,31101,29239,26484,22164,167985,81220,14361,870,9,0,171366,81098,11335,637,9,0,112404,51038,32293,24591,21711,22408,131181,50706,28872,14612,10049,29025,32300,9561,17315,32110,68907,104252,57335,32972,27207,24770,36041,86120,84766,66649,45517,26113,14668,26732
64,3,1,2,1,3,1,249889,72601,26582,8047,1249,177,230529,66059,38754,18097,4917,189,185393,81067,51487,32213,8289,96,136014,70475,58084,52010,36082,5880,124802,64123,50920,52631,53143,12926,123610,153773,62510,17364,1285,3,125057,157568,58680,15993,1245,2,124077,76740,54076,50633,45517,7502,181689,71487,50772,36750,17528,319,215,2053,18852,79738,126741,130946,99103,72099,51169,40898,45547,49729,69809,88936,76534,61126,38902,23238
65,3,1,2,1,3,1,163019,18181,5172,1504,951,1055,151778,21243,9588,4697,1675,901,131464,31945,14839,8408,2829,397,87269,33914,24299,21374,18950,4076,88358,37826,24990,19475,15766,3467,102713,73602,12226,1327,14,0,104086,73778,10818,1185,15,0,93570,40288,23314,16913,13503,2294,119512,31794,19249,12650,6342,335,1822,1456,5578,22984,55906,102136,41552,32850,27373,26530,29823,31754,46510,64981,38282,22144,11600,6365
66,3,2,2,3,3,2,352702,81027,22797,8245,6344,5384,364305,72509,19416,9885,6309,4075,346270,82461,25836,13013,7523,1396,182086,119365,74078,53069,38779,9122,219882,130691,65466,36316,20883,3261,115061,297579,56533,6949,377,0,118341,312004,39611,6202,341,0,260301,107786,53445,32097,19597,3273,295969,84962,53202,30288,10616,1462,5205,5157,9842,37400,120103,298792,55363,63599,74060,109650,117610,56217,130016,185405,90118,41486,19085,10389
67,2,2,2,1,2,2,55767,116225,86430,41727,12666,3179,98626,140327,49812,18967,5798,2464,162694,107702,32091,9071,3050,1386,61518,70842,65994,60630,47135,9875,118860,119194,51938,19266,6225,511,5810,231351,76073,2537,223,0,6596,254998,51917,2271,212,0,128146,105195,49610,22222,8796,2025,79794,69172,99246,61307,5296,1179,10383,3937,10701,40172,102517,148284,2890,11720,29931,61325,133349,76779,103417,118912,57297,23116,9885,3367
68,2,2,2,2,2,2,23469,67184,65521,64944,39619,15636,9640,49638,68126,71850,60506,16613,5828,53908,79832,75875,49953,10977,24332,79065,106380,54163,11932,501,3796,23628,65155,100578,72961,10255,14,3121,102061,112748,47009,11420,20,3804,110131,104743,47239,10436,3378,25639,62439,78725,79371,26821,24990,53259,78603,73318,39299,6904,14287,39638,81999,88191,44913,7345,11661,73364,106178,47723,29702,7745,1269,25150,58797,75907,67988,47262
69,3,2,3,3,2,3,23801,23892,20243,18740,10973,1361,31445,23328,18685,15452,9324,776,27901,27704,18064,15928,8970,443,28174,23415,19628,15804,11017,972,20853,27948,24433,19432,6279,65,21587,65934,11321,168,0,0,21472,66934,10460,144,0,0,19388,29049,20500,17217,11832,1024,31372,17360,20383,20889,8622,384,1325,6766,18071,24761,31841,16246,1749,9540,21586,25264,28382,12489,8824,31478,29773,21551,6852,532
70,3,2,3,3,2,3,0,3075,51909,87378,30067,3371,1683,44709,77489,35000,15392,1527,23972,82490,38848,19592,10055,843,4981,16302,28228,45896,59235,21158,47640,66726,34065,20047,7073,249,109594,62917,3275,14,0,0,109676,63105,3008,11,0,0,42024,65019,32770,20602,13461,1924,4391,13546,46404,85331,25285,843,1143,7109,15182,27963,56355,68048,16,1781,10926,26492,65323,71262,77160,51231,24521,16510,5873,505
71,2,2,3,3,2,2,0,0,0,0,0,0,0,0,0,4,1,9,0,0,21,15,17,73,160,39,26,16,34,54,175,63,60,54,81,43,0,0,26,76,62,0,0,0,29,101,56,0,7,85,188,102,143,217,326,52,47,41,100,281,157,2,0,0,0,290,660,0,0,0,1,16,6,25,219,121,16,222
