census_code,MSW_2001,BF_2001,MSL_2001,FC_2001,CHH_2001,ASSET_2001,band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_1_11,band_1_12,band_1_13,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_2_11,band_2_12,band_2_13,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_3_11,band_3_12,band_3_13,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_4_11,band_4_12,band_4_13,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_5_11,band_5_12,band_5_13,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_6_11,band_6_12,band_6_13,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_7_11,band_7_12,band_7_13,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_8_11,band_8_12,band_8_13,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_9_11,band_9_12,band_9_13,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_10_11,band_10_12,band_10_13,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_11_11,band_11_12,band_11_13,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,band_12_11,band_12_12,band_12_13
14,1,2,3,1,1,1,83233,41028,30633,16423,12391,8462,6072,5528,3140,2825,4342,8537,156843,80642,29706,29355,21849,17570,12501,9960,7384,4814,4841,5686,14131,141018,63607,24007,26503,29183,23635,19794,15013,11118,8413,6461,7861,16499,127363,97392,41285,29018,23950,18128,11962,8276,6451,5187,5113,5669,7642,119384,187435,46768,29324,23934,22659,19056,15303,12522,10195,6767,3934,1451,109,246514,78191,23369,17118,6580,3244,2447,1309,548,123,13,1,0,247165,77970,24491,17252,4340,3679,2647,1207,597,99,8,2,0,138961,45465,37536,35944,28216,22368,20131,16555,13632,10822,7068,2642,117,102941,34929,24101,18086,15013,9965,8429,7302,5197,4799,6324,12420,129951,97698,24415,20893,25372,25948,29838,30979,30665,31046,24242,20631,15332,2398,5184,8780,11183,12424,12962,13173,13014,13435,13893,14107,14293,36493,210516,198575,34911,17858,17666,18963,18496,15501,13264,11319,9627,8524,8878,5875
16,3,1,2,1,1,1,130598,24401,11429,11971,9100,8308,7458,9555,4049,3939,5346,5730,17027,140667,18111,14010,7963,7529,6463,9405,6916,5930,7276,6040,6068,12533,118101,23337,15379,12611,8974,8766,7989,9993,9373,9247,8971,5724,10446,136625,21728,12865,8256,9074,8074,9007,6975,7855,7256,6675,3944,10577,143907,19946,9913,7804,7888,6798,6538,7055,7436,8006,9459,8201,5960,187457,51147,7744,1942,556,61,4,0,0,0,0,0,0,187809,51102,7613,1947,347,88,5,0,0,0,0,0,0,130929,19346,13705,11299,8778,7681,8113,7429,8465,9438,10801,8347,4580,147229,15717,7580,10063,6505,5888,6024,8851,7044,7463,8610,6635,11302,34809,11344,10829,13330,20664,25612,24479,21580,18991,17982,19837,20534,8920,19259,12707,9958,8036,7679,6881,6063,6438,6728,7857,10975,38332,107998,101238,33039,14496,10878,10124,10556,10314,9859,9121,7934,7843,10127,13382
19,1,1,2,1,2,1,111830,54916,30972,25629,16992,12224,7368,4986,2229,1274,1411,2383,14328,115663,39707,29233,21248,17244,13441,12828,11375,6165,3522,1755,2549,11812,84552,34978,28448,26628,22249,19776,17549,15998,11272,8154,3992,2362,10584,96620,37931,24259,18286,19327,16872,15339,11812,10675,9819,8557,5223,11822,93235,33113,20559,18560,20305,19154,18934,18130,15424,12911,9435,4951,1831,87551,107117,60400,22804,7335,1139,174,22,0,0,0,0,0,87905,108336,60826,23009,4749,1501,198,18,0,0,0,0,0,79270,27260,24186,23074,20953,19576,21888,19072,18727,16101,12176,4095,164,119008,32249,20434,20983,16535,12771,13089,12273,9109,8482,7317,3110,11182,16329,5797,5061,5487,10086,22183,37874,43385,38419,31731,30783,27715,11692,16047,16521,19854,22274,23205,21312,17959,15074,13573,14292,15735,36581,54115,50735,32764,22343,21743,25716,30670,32009,27161,19928,11969,6986,3809,709
21,3,2,3,3,2,2,4464,26343,30144,34444,29190,25126,22307,18781,17389,14891,10251,6023,69,12941,26070,36424,32908,25955,21616,18353,18925,15886,14528,10835,4979,2,8115,33887,40556,30832,24961,20869,18824,18379,16363,14414,9683,2538,1,13651,22005,22422,20464,24352,28128,29827,30243,24298,14308,6287,2467,970,8784,18035,31069,33487,31366,26020,23314,21957,20205,16704,7846,626,9,0,23290,55512,23158,10668,18059,30570,31844,20794,13772,9163,2233,359,0,24158,56213,23952,7971,18617,30745,29972,21213,14149,9452,2638,342,6600,16183,31551,30029,25995,22899,22438,20429,20310,20433,17423,5067,65,18980,19353,16711,21651,29188,30968,33530,28261,18396,13294,7372,1716,2,3614,5771,5096,7470,12139,18604,23885,26630,28518,32547,37126,30023,7999,65,2023,9265,18991,23616,24055,23607,26011,31792,35137,27919,14434,2507,565,19101,35166,33573,29894,28285,27846,24603,20332,11981,5744,2091,241
23,3,1,3,1,2,1,225501,57991,30144,27730,21490,18299,16398,19260,11699,11331,15823,29022,286669,242194,45321,34165,23548,20098,17646,22591,19596,19451,22875,25839,44569,233464,199840,53385,39233,32966,26209,24609,24674,28041,29002,30854,35837,36787,209920,290908,46814,28162,19984,20526,19262,21055,19737,21823,23934,27783,25599,205770,420799,81856,43200,32463,28302,24072,21481,21081,21648,22912,24193,18584,10766,581140,143382,31929,10031,3611,963,248,49,4,0,0,0,0,581588,143789,31491,10394,2708,1090,245,47,5,0,0,0,0,343983,74719,62281,52425,42251,36229,31988,26652,26699,27311,28410,16645,1764,280162,40499,24228,24215,18772,18506,19152,23095,21444,25578,35230,35423,205053,305136,51724,33855,28861,30384,41541,52932,53855,47333,40098,35828,32181,17629,48247,30266,23628,18926,16579,14325,12635,12541,13020,15921,21468,75564,468237,434049,70020,36590,30376,30304,30771,29280,27140,24372,19781,16528,14478,7668
24,3,1,3,1,3,2,218490,167648,89119,49397,40180,20827,16145,14133,10725,8784,8853,8457,24257,254716,130202,77329,50656,35632,23542,20492,16629,12922,12491,12679,9272,20453,162429,143055,101492,63005,49004,36820,29329,24626,18709,14337,10012,6227,17970,220901,128212,85312,58570,40791,31999,24979,22943,14476,12459,11798,7147,17428,138932,97287,78299,68554,62432,58582,50765,40003,32411,22901,14459,8616,3774,94256,304357,227286,39474,7850,2046,989,506,174,56,19,2,0,94549,306487,225752,40366,5530,2501,1121,448,198,44,17,2,0,111029,92927,88411,72463,60221,60429,49003,42939,34818,29867,23090,10641,1177,274194,110060,76044,46277,35288,35268,25838,19346,13846,11539,6745,4972,17598,70977,18431,14170,14188,22534,34649,54669,74407,87305,89431,85739,70035,40480,47446,33452,42812,54366,62394,62975,53855,47364,44462,43678,43609,66467,74135,56974,54459,56222,62469,72525,76170,69852,57964,46957,35558,28046,26421,33398
25,3,2,3,1,2,1,0,0,0,0,0,0,0,0,1,1,0,2,3,0,0,0,0,0,0,0,3,6,11,5,19,19,0,0,0,0,0,0,7,17,10,9,17,32,13,53,16,12,7,9,8,3,7,13,3,7,2,14,4,31,44,18,18,15,15,18,15,12,5,14,1,0,0,0,2,8,32,41,12,1,0,0,0,0,0,0,0,9,17,65,58,7,4,0,0,0,0,2,6,6,3,3,35,125,73,66,73,72,93,66,33,87,91,40,21,23,30,28,30,45,38,139,81,116,11,2,1,1,0,1,0,0,0,0,0,70,210,0,0,0,0,0,0,0,2,1,3,67,8,0,0,0,0,6,57,101,17,8,2,1,2,80
26,3,1,3,1,3,1,0,1,0,3,1,0,1,3,1,4,2,2,10,0,2,0,3,1,6,0,5,5,7,2,16,9,0,0,1,3,5,4,6,9,11,0,14,9,8,45,11,8,3,4,0,0,3,7,1,1,1,0,3,32,12,5,15,4,3,9,5,3,0,0,0,0,0,0,19,11,2,0,0,0,0,0,0,0,0,0,0,28,8,0,0,0,0,0,0,0,0,0,0,0,2,15,29,29,7,13,23,12,17,0,40,23,18,9,7,4,10,5,11,12,9,31,3,87,3,0,0,0,0,0,0,0,0,0,0,20,50,0,0,0,0,0,0,0,0,0,1,67,4,0,0,0,0,3,16,49,22,6,6,2,2,12
27,3,1,3,1,3,2,321464,85055,29827,9004,10571,3114,2220,2639,976,409,335,314,15,262599,77228,42244,31375,21135,7459,10484,6424,3707,2159,849,280,0,182085,97278,70108,32792,25846,19150,13689,11739,7018,4166,1911,161,0,108409,53394,33793,38141,26839,26845,27497,39476,24156,31595,34141,15760,5897,117194,60866,41865,36002,36606,34443,31235,27018,27139,26433,17039,8673,1430,8517,132913,103968,81857,65281,31726,19912,11646,6026,2704,1171,219,3,8738,134711,107230,89684,44965,37177,22308,10626,6700,2674,890,238,2,110207,70710,59113,45954,31722,38064,31544,24979,19063,18855,12576,3049,107,177599,59194,50848,35104,17312,32686,28903,22741,16450,17150,6739,1214,3,706,663,1076,1510,3279,6280,11815,20062,32547,53462,90436,136317,107790,81545,49998,42088,37388,35060,27931,24416,21971,20530,22292,27127,56774,18823,24921,95671,73045,65014,57088,44142,36979,25602,18432,12030,7583,4393,1043
28,3,1,3,1,3,2,25191,48898,26863,11636,9683,2881,1960,1751,901,711,838,1014,75,36001,35938,22223,15404,8943,3989,3500,2030,1274,1088,1120,892,0,17489,36685,31224,16784,11993,6971,4410,2778,1620,1090,1011,347,0,24915,24212,18445,14468,10744,9518,8538,10830,5045,3758,1663,217,49,13846,19305,16385,15799,16543,16142,13202,9406,6802,3621,1174,166,11,12,43118,47894,15833,13571,7186,3419,1059,279,30,1,0,0,12,44464,47715,16759,9779,8556,3849,946,299,23,0,0,0,10366,18797,19949,18841,14894,16660,11973,9230,6106,3845,1481,257,3,35668,25616,20610,13601,7864,11357,7854,4737,2313,1817,834,131,0,941,1073,1211,1425,2352,4666,9217,15318,20729,23417,24612,22033,5408,3112,6562,9945,13709,16190,16130,13621,10931,9552,9080,9355,12953,1262,1467,10524,12769,17064,20453,19624,17138,12065,8479,5389,3643,2948,839
29,3,1,3,1,2,2,31882,53884,31099,19538,16600,8217,7229,4534,2656,2131,1979,1582,47,50552,38714,28332,17841,12490,10636,7743,5373,3804,2427,2275,1188,3,24215,47686,34832,20867,17354,11663,10091,6428,3974,2336,1535,396,1,33233,35017,28934,20820,16002,12494,9129,9030,5867,4197,4051,2147,457,14964,23084,24457,23164,21371,21416,18832,14842,12213,5689,1259,82,5,0,43220,92682,33157,10979,1179,148,13,0,0,0,0,0,0,45242,93197,33652,7413,1678,185,11,0,0,0,0,0,12215,26290,27826,23848,19123,20514,15258,14189,11023,7469,3157,462,4,56725,31373,21536,13636,12533,14067,9825,10273,6429,3434,1316,230,1,3858,1761,2281,2502,3757,7094,14057,22607,28358,32344,33670,23030,6059,1758,8107,13351,17771,22465,25037,23637,19040,16316,12344,8836,8640,4076,3251,10132,16419,23000,26768,26016,23068,17022,12978,9361,6824,5005,1534
30,3,1,3,1,3,2,31277,56326,21974,7729,9576,3113,2241,2711,1327,558,332,71,19,44708,37679,19276,13467,8560,3131,4383,2650,1643,1148,517,78,14,32544,42113,28079,11850,8079,5250,3631,2959,1606,817,280,29,17,16538,8463,7897,11472,10667,12591,13483,18019,9620,10358,9519,5214,3413,21359,18924,17488,17364,17581,15445,11810,7912,5620,3013,657,72,9,5,6663,39329,41257,30409,11334,4871,2114,893,295,82,2,0,5,6894,42126,44520,21211,13775,5481,1918,1000,259,63,2,0,21076,25884,24503,18750,12272,12654,8824,5557,3624,2654,1236,204,16,26044,17277,19955,15940,8547,16252,12962,9029,5602,4572,997,58,19,9692,642,526,598,993,1757,3270,5094,7833,13376,24165,40341,28967,2486,4776,8745,13291,17601,16842,13804,10933,9269,9462,8523,10529,10993,7016,32054,27563,24588,18519,11341,7546,4215,2251,1160,483,211,307
31,3,1,3,1,2,2,123535,43902,19897,9242,11521,6723,5072,4816,2692,1053,623,286,20,102227,52145,24214,15895,10923,6817,6731,5016,2953,1721,617,112,11,66105,61666,36628,19097,13027,11127,7608,6502,4374,2422,758,60,8,36181,33827,21664,20176,16608,16227,17914,17950,13542,12709,11548,7221,3815,34556,38022,31729,25987,26081,22488,19345,13842,9410,5042,2091,717,72,5922,76167,58642,40794,28524,10718,4773,2113,1089,493,141,6,0,5980,77166,59846,44653,19847,12867,5298,1939,1215,473,92,6,0,34036,43166,38089,30217,21489,21130,15332,12068,7611,4582,1458,184,20,61889,35505,28228,20254,14881,19682,15811,15264,9307,6617,1798,137,9,51,474,839,1064,2034,3952,7447,12380,19716,31297,48494,63539,38095,14946,18731,19093,19255,19271,18593,18047,17688,17704,18838,19621,25231,2364,5534,36922,41579,41497,37454,28836,19031,10333,4909,2062,864,318,43
32,3,1,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,10,13,19,31,0,0,0,0,0,0,2,8,10,9,6,22,20,30,11,5,5,1,5,3,4,5,3,5,2,12,0,15,16,9,9,2,4,9,12,2,4,8,1,0,0,0,0,2,3,18,5,0,0,0,0,0,0,0,0,0,1,8,16,11,0,0,0,0,0,0,0,0,0,4,21,39,10,21,19,28,24,23,18,54,28,7,7,3,7,15,14,16,20,52,39,93,4,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,1,0,1,0,0,0,1,90,6,0,0,0,0,12,33,54,13,1,0,0,0,0
33,3,1,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,9,4,10,0,0,0,1,1,1,0,6,3,7,4,2,42,9,4,1,2,1,0,2,1,1,0,0,0,31,13,11,7,2,7,1,2,1,1,1,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,73,8,5,9,24,33,35,35,20,22,12,16,2,162,36,14,10,6,8,9,8,5,11,21,19,13,35,0,0,0,0,0,0,0,0,0,0,0,40,80,0,0,0,0,0,0,0,0,0,2,9,13,0,2,1,5,8,3,19,10,11,6,2,0,23
34,3,1,3,3,2,2,19498,7135,5861,4009,3394,3661,3354,4123,4428,6069,9442,22160,668170,27752,8204,6037,4199,3743,3955,4747,4542,5507,7112,12911,35183,637412,24510,10041,7711,6645,5742,5989,6274,7385,8544,11189,18360,42357,606557,67154,19093,12483,9929,9664,9604,9498,10485,11249,13881,19413,29592,539259,500301,108952,42941,24115,17516,12857,10483,9236,8064,7840,7645,5571,5783,722573,32317,3708,1349,829,343,132,48,5,0,0,0,0,722129,32787,3746,1454,561,421,159,41,6,0,0,0,0,332799,117356,92947,60326,41396,27723,19838,16215,12744,11733,11384,9821,7022,50397,9170,5519,5575,4587,4689,5674,5478,6687,8991,16305,38853,599379,385802,259372,33243,20982,22120,6879,6345,5584,5404,5001,5111,4305,1156,2096,2737,2464,2090,2010,2025,2305,2940,3342,4487,6550,32786,695472,660422,28822,12142,8720,7933,6956,5826,5182,4594,4121,4463,6042,6081
35,2,1,3,3,2,3,7957,112370,120577,62548,36350,28255,17712,14505,11279,9151,6088,1343,9,46109,170248,76567,41112,28356,19214,13603,12985,9444,6874,3221,409,2,138810,116040,58889,33897,22269,17290,14054,12433,8990,4133,1162,175,2,25894,24953,20192,19773,20464,21416,22977,26556,31269,38025,53785,75508,47332,29458,193232,69467,42513,30469,21590,16084,11340,7673,4297,1710,300,11,9,340203,70923,14808,1864,296,41,0,0,0,0,0,0,9,339627,70539,15982,1608,347,32,0,0,0,0,0,0,104973,111501,60804,38250,27994,22319,19192,16147,12773,8825,4271,1012,83,26868,20029,23640,31559,52021,71448,83382,58165,39384,17524,3900,221,3,6339,4511,4438,6364,9516,13070,15988,18115,21299,25760,35035,57567,210142,547,3167,5541,7657,10058,12437,16188,23443,35414,61739,138156,108552,5245,143619,110022,39921,27783,23593,20134,17861,15130,10931,7445,5315,4664,1726
