census_code,MSW_2001,BF_2001,MSL_2001,FC_2001,CHH_2001,ASSET_2001,band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_1_11,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_2_11,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_3_11,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_4_11,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_5_11,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_6_11,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_7_11,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_8_11,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_9_11,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_10_11,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_11_11,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,band_12_11
16,3,1,2,1,1,1,133689,22743,18662,10180,10498,11866,5369,5087,6600,6187,18030,142121,22364,14837,7085,8247,10125,6422,9314,7468,7567,13361,123055,24451,17630,10204,11629,8259,11181,11879,11620,7890,11113,141365,20502,13785,11141,9659,9298,9633,8506,8471,5324,11227,149442,18395,10958,8353,8437,8225,8147,8587,10850,10445,7072,213601,28318,6025,836,122,9,0,0,0,0,0,212886,29628,5273,993,126,5,0,0,0,0,0,135463,20813,13871,11204,9701,9604,9219,9544,12468,11279,5745,152231,12970,10511,9934,6457,9361,6629,8448,10786,9594,11990,37270,12702,13545,21367,29490,28623,24336,22633,21908,24670,12367,21923,13826,10525,9358,8286,7104,7675,8314,10878,26331,124691,111105,29175,14599,12138,12579,11878,11723,10182,9015,11123,15394
19,1,1,2,1,2,1,126447,49532,35262,23251,17683,9432,3665,2366,1792,2319,14793,122512,43827,31455,18898,19774,14252,10454,7718,2678,2623,12351,90107,40172,34158,26115,25098,19102,18183,12525,7183,2934,10965,104376,37062,27621,23982,19368,16565,15026,12128,10808,7009,12597,101700,32765,23655,21865,22771,23212,20936,16636,13462,7148,2392,123222,92849,57691,10591,1772,395,22,0,0,0,0,122096,97987,51352,12830,2061,198,18,0,0,0,0,85324,30656,26826,25436,24528,24592,23450,20351,17500,7513,366,128032,30253,24841,20883,15417,17413,11931,10952,9968,5312,11540,17639,6351,6002,9227,22961,44244,50784,42433,36033,35060,15808,18749,20616,24844,27467,25892,20882,17589,15937,17625,29238,67703,58659,33307,25441,28540,35577,37008,30902,20000,10424,5577,1107
21,3,2,3,3,2,2,8685,31071,40107,36227,32187,25387,20896,20933,14924,8540,465,16193,34016,44457,32716,27531,21165,20335,19903,14947,8142,17,11008,46464,43058,31679,25256,21610,21717,18910,14488,5227,5,16925,26079,26286,27611,30910,35158,35531,24896,10872,3876,1278,11522,25740,39647,37753,31799,27649,25832,22569,14868,2021,22,20,40697,56129,13992,15497,39924,32038,21398,14147,4991,589,13,44162,50429,16243,16082,37870,33442,21819,14498,4285,579,8381,24847,37488,32236,28513,25742,24550,23900,23168,10348,249,23395,20198,22266,29385,36421,42478,28865,20054,12720,3638,2,4908,6228,6964,12150,20581,28008,32011,35401,41506,39722,11943,171,4210,16335,26937,28260,27941,31998,39484,39217,19911,4958,1552,30709,41290,36927,33522,32792,28346,20908,9428,3525,423
23,3,1,3,1,2,1,237780,52994,39460,25670,24574,22898,14953,14573,16564,29590,292301,249088,52876,35608,21478,23117,25286,20973,25885,28164,48137,240745,211016,57167,44883,30318,32111,26284,32855,36343,40306,45144,214930,301851,45296,29318,25400,22574,23510,24874,26714,30845,30512,210463,442858,77360,45382,33149,29734,26173,24683,25396,29092,24411,13119,647361,90049,26739,5435,1347,385,40,1,0,0,0,646065,93194,24284,6048,1436,286,43,1,0,0,0,359873,83585,66482,54137,44018,38597,31513,30439,34196,25303,3214,291753,37145,28462,25922,20728,25057,22801,27145,37442,45297,209605,321593,48830,35190,35339,46294,62041,62332,53092,44139,39724,22783,54531,33230,25140,20465,17323,14840,14694,16665,21750,50763,501956,453574,65011,38832,35845,36452,34181,31607,27059,21012,17848,9936
24,3,1,3,1,3,2,262035,148236,94302,48014,31008,21271,12233,13749,9866,11145,25156,279315,139585,73151,46909,31836,22532,20481,13666,15069,13102,21369,198423,147015,98441,62820,47591,32259,28220,20520,14304,8660,18762,249035,135817,84677,55048,39397,31250,20617,19273,13595,9777,18529,160140,106532,86445,77392,70755,57597,46955,33056,21560,11734,4849,144431,348365,165561,13716,2673,1512,588,127,40,2,0,143495,360853,151980,15683,3167,1128,543,130,33,3,0,131220,104540,94254,78912,69787,60623,47471,40080,30667,17559,1902,304823,103601,77338,50169,38369,29042,23215,15785,10013,6358,18302,76140,18409,16316,22817,37561,64495,91564,104398,104772,89265,51278,53117,42040,56822,72608,73763,63292,55673,51668,50859,62903,94270,66863,64717,69109,81543,90818,80937,66832,50485,35948,31690,38073
25,3,2,3,1,2,1,0,0,0,0,0,0,0,2,0,1,4,0,0,0,0,0,0,3,11,8,22,19,0,0,0,0,0,7,18,13,15,32,20,62,9,13,12,6,6,9,13,6,2,16,5,53,33,16,22,16,20,20,8,15,2,0,0,0,10,24,51,11,0,0,0,0,0,0,0,21,49,81,8,1,0,0,0,4,6,6,4,25,143,80,80,70,126,79,42,122,74,26,26,38,31,46,46,147,88,120,9,1,0,1,1,0,0,0,0,70,210,0,0,0,0,0,1,2,1,24,53,0,0,0,4,52,109,19,6,2,1,81
26,3,1,3,1,3,1,0,1,1,3,0,2,2,1,6,1,11,1,1,1,3,6,2,5,4,8,14,11,0,0,2,3,7,7,14,6,3,18,10,47,14,5,5,0,0,3,8,0,2,0,11,32,5,14,8,6,8,6,1,0,0,0,0,9,19,4,0,0,0,0,0,0,0,0,14,21,1,0,0,0,0,0,0,0,0,0,13,30,32,9,24,16,23,0,43,26,17,9,5,11,7,15,11,35,3,88,2,0,0,0,0,0,0,0,0,20,50,0,0,0,0,0,0,0,1,10,61,0,0,0,1,15,53,25,5,4,3,12
27,3,1,3,1,3,2,321464,85055,38831,6175,7510,3816,1043,1218,374,411,46,262599,99610,36915,26085,16831,10484,8542,2612,1749,515,1,215014,94126,63080,28044,26995,13689,13918,6979,3514,584,0,116137,56354,48380,26132,40418,41062,25911,45988,33341,24885,7335,131362,62976,43389,45793,43454,31238,38861,27964,25855,12870,2181,44465,126606,136737,70867,36338,29161,14116,4781,2491,354,27,42307,134571,120158,80245,45224,22308,13439,5138,2129,402,22,133487,71182,58535,44137,48428,31545,30363,24355,16989,6714,208,191520,61622,52002,34913,32686,28903,31742,18094,11356,3096,9,868,786,1576,3117,6477,14107,25629,45257,84759,149958,133409,91330,55492,48512,42717,33507,29529,23733,24867,29285,47009,39962,44358,103760,82103,70952,58544,39672,28646,19134,10910,6327,1537
28,3,1,3,1,3,2,31792,44637,33634,8850,6169,2863,933,1239,840,1272,173,39745,42643,20834,12229,7014,3563,2639,1108,1320,1302,5,27037,39478,29557,15214,9805,4562,3144,1659,1208,738,0,30329,26230,19951,12819,12790,12359,7250,7816,2276,523,59,18279,21130,18672,19579,19904,14241,11557,6162,2437,425,16,655,60636,41896,13985,8443,5418,1211,149,9,0,0,526,64029,36995,15294,10432,3858,1107,156,5,0,0,15158,21015,21926,20512,19323,14535,9944,6566,2826,589,8,42123,25602,21164,14087,11361,8260,5911,2213,1270,411,0,1206,1252,1468,2278,4964,10847,19469,25591,28976,27674,8677,4130,8758,13959,18877,18778,15527,12738,11121,10652,14018,3844,3227,12829,17656,22790,24378,19317,13532,8615,4984,3842,1232
29,3,1,3,1,2,2,48185,44700,34542,20560,12647,8088,4299,3620,2217,2383,137,58659,42614,26833,16853,13521,8049,6749,3338,2735,2012,15,33099,51831,33550,22527,15517,10519,7155,4106,2204,869,1,41272,39234,29080,21793,13975,11957,8026,7231,5077,2971,762,19668,27288,28751,26023,25912,21324,17301,11551,3286,265,9,95,76112,86363,16159,2323,313,13,0,0,0,0,48,82409,76792,19431,2501,186,11,0,0,0,0,17607,30377,29646,26975,21858,20900,14853,11725,6295,1124,18,65750,28079,23537,16988,13578,11787,10711,7887,2469,591,1,4097,2351,2699,3789,7573,16524,27987,35641,39467,32557,8693,2765,11482,17995,25340,29046,27202,22489,17103,12310,10043,5603,4603,13892,23155,30585,31409,26469,19538,13659,9209,6676,2183
30,3,1,3,1,3,2,31712,56181,29218,5795,7060,3768,1217,1668,449,167,19,45034,47516,16492,11001,6769,4405,3524,1262,1031,204,16,46875,40409,23730,9209,7669,3665,3422,1549,624,81,21,17638,9689,12664,9613,17986,19839,11791,16884,9478,7595,4077,25195,21523,19630,22049,19679,12011,10427,4776,1769,186,9,44,13368,63964,34420,14369,7705,2503,646,227,8,0,35,15064,57262,38824,17335,5493,2369,671,190,11,0,28248,28420,24355,17653,16278,9126,6526,4129,1984,516,19,29395,19901,21811,16575,16298,13006,12188,5453,2383,221,23,9858,682,586,1010,1908,3874,6427,11010,21805,43691,36403,3097,6688,13066,19976,19428,15814,12613,10948,10329,12338,12957,14293,34983,31614,24538,15530,8120,4467,2238,817,325,329
31,3,1,3,1,2,2,126529,45507,22600,10117,8794,7693,3927,2810,898,480,27,109117,56419,22486,13944,9617,7767,5680,2882,1178,277,15,83975,59965,31928,17078,13385,9844,7161,4158,1694,185,9,41755,35356,26478,19806,21041,21282,17499,18239,12989,10198,4739,42539,41973,33052,31508,29138,20722,16711,8599,3806,1221,113,22578,77938,70792,33292,13526,7418,2543,872,414,8,1,22406,81456,62587,37820,16073,5317,2430,934,347,11,1,43691,49130,39497,28734,25442,17495,13942,7894,3087,446,24,70111,36909,28116,22225,21846,18568,17795,9401,3940,458,13,83,739,1052,1872,4215,8761,16141,27595,47267,72505,49152,18206,22679,22535,23035,21810,21299,20866,21113,22863,27133,7843,10606,46500,49971,46377,36593,22075,10833,4320,1512,527,68
32,3,1,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,16,19,35,0,0,0,0,0,2,9,12,10,22,22,31,13,5,3,4,4,4,8,4,2,13,0,28,9,8,6,4,17,4,4,9,2,0,0,0,0,2,23,3,0,0,0,0,0,0,0,0,7,19,10,0,0,0,0,0,0,0,1,19,44,11,25,26,36,27,30,55,22,5,4,11,20,14,15,60,44,95,2,0,0,0,0,0,0,0,0,20,20,0,0,0,1,1,0,0,0,13,84,0,0,0,4,37,59,13,0,0,0,0
33,3,1,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,8,5,10,0,0,1,1,1,3,4,6,7,2,44,8,4,1,2,0,2,2,0,0,0,33,15,11,4,6,3,3,0,2,0,0,28,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,76,7,6,25,37,40,38,29,15,16,5,171,33,11,13,8,9,9,6,21,27,14,35,0,0,0,0,0,0,0,0,0,40,80,0,0,0,0,0,0,0,1,1,22,0,2,2,11,4,21,10,11,6,0,23
34,3,1,3,3,2,2,20421,8754,4885,4302,4947,4018,4757,5931,8442,21949,672898,29894,8715,5273,5069,4623,5432,5343,7277,10921,35191,643566,25949,11531,7984,7290,7588,7676,8663,10942,16555,42431,614695,71809,18955,13519,11056,11335,11559,12526,14655,18905,31355,545630,534066,95055,37417,22774,16274,12501,10803,9235,9224,7440,6515,739498,16947,3226,922,445,213,53,0,0,0,0,739331,17273,2913,1054,527,159,47,0,0,0,0,354656,131734,92527,55597,36002,23990,17523,14694,13627,12535,8419,52878,8458,6752,5958,5537,6383,7036,8528,14374,38031,607369,442134,216931,33257,27057,8457,7421,6696,5883,6041,5672,1755,2576,3162,2697,2383,2403,2772,3465,4460,6358,18275,712753,669471,24974,11895,9621,8528,6869,5935,5212,4914,6595,7290
35,2,1,3,3,2,3,13516,154747,107848,53111,34612,23485,15537,13204,9080,2985,19,83886,165631,67214,39514,23128,17123,14040,10749,5648,1207,4,169237,112045,53144,29979,21298,16668,13999,8643,2739,390,2,31390,27035,22953,24593,25351,27081,31436,38764,54797,82509,62235,80709,172719,64566,40080,27151,18838,12604,7515,3271,669,22,835,369273,52161,5324,486,65,0,0,0,0,0,858,372057,49396,5297,494,42,0,0,0,0,0,131720,110012,57572,37189,27194,23094,18147,13632,7471,1974,139,31608,21563,32539,49902,86630,87337,71511,37098,9069,884,3,7383,4919,6062,9776,14809,18851,21976,26931,35367,58060,224010,917,4611,7653,10811,14131,19193,29739,50568,111001,171451,8069,180483,90134,38857,29234,24626,21122,16995,11277,7260,5707,2449
36,2,2,3,3,3,3,144,69846,52299,22064,16424,12355,9272,6618,4541,1484,112,38036,75808,27832,17397,11637,8640,6861,5172,2872,880,24,90992,44896,20471,11428,8573,7113,5706,3908,1623,438,11,5551,6399,7451,8469,9273,10100,12332,16258,26189,50295,42842,61825,63663,25314,15919,10916,8016,5212,2727,1305,258,4,58,169594,21069,3801,590,47,0,0,0,0,0,252,169967,20686,3615,592,47,0,0,0,0,0,74937,45154,21892,14023,10333,8732,7731,6612,4155,1476,114,5042,4202,9740,19553,40752,46382,39846,21844,6683,1105,10,1802,1507,2819,4202,5687,6747,7426,8386,11386,22324,122873,3,207,916,1981,3864,6971,12273,21617,41069,103719,2539,106883,35274,14484,9834,7752,7037,6441,3914,1934,1172,434
37,2,2,3,3,2,3,5616,99996,76433,39226,28027,19505,14240,11518,8882,2125,54,50535,109685,50062,31537,20251,15906,11989,9799,4667,1187,4,118160,77637,36986,21524,16292,13314,11301,7268,2539,599,2,7298,11925,13481,14951,16347,17809,21500,28498,44962,77670,51181,67442,105003,47748,32060,22182,14970,8935,4607,2145,504,26,0,237549,54173,11102,2219,496,81,2,0,0,0,2,240001,51801,11198,2142,404,72,2,0,0,0,87689,73822,40597,26858,20483,17996,15725,12354,7437,2437,224,4204,8061,17930,33182,62984,74319,63070,32247,8571,1048,6,1952,3754,5974,8012,9870,10969,11711,14576,20957,40873,176974,16,208,1148,2969,7076,14725,26888,45683,79086,125973,1850,141627,65409,27411,17825,14001,13293,13258,6963,3169,2129,537
38,2,1,3,3,3,3,37171,98654,88512,61840,44072,28574,17259,12207,6121,2053,132,75255,107784,72800,51079,33179,23264,17014,9882,4598,1722,18,82037,116916,73012,43974,30998,22033,15534,8151,3040,897,3,44405,44843,38690,36302,32888,34050,35314,39065,41492,37291,12255,37910,99634,76606,59133,46408,33357,23034,14611,5358,525,19,219,259927,112742,18145,4321,1172,69,0,0,0,0,391,264988,106148,19390,4865,744,69,0,0,0,0,43302,82728,73052,55211,41593,34917,28050,21786,12583,3269,104,64843,35068,43211,51603,64420,59979,45809,24903,5920,837,2,1886,2074,4530,9682,19001,28676,36881,48406,64319,81542,99598,687,7264,18376,28107,34527,40436,52789,71806,80566,59130,2907,57769,79319,61286,52584,42901,32813,24995,17215,12353,11163,4197
39,2,1,3,2,3,3,1187,11291,30848,36596,24621,18232,10728,9833,7302,1749,47,5161,35164,39291,25874,16030,11311,8515,6675,3589,824,0,17945,53553,29909,17296,11013,8079,7376,5271,1760,232,0,4537,7587,9688,11475,13702,17091,17592,19980,22012,20363,8407,10329,48276,31000,21010,14558,9206,7459,7119,3267,208,2,187,94295,37865,10954,6143,2704,271,15,0,0,0,242,97395,33639,11918,7216,1766,243,15,0,0,0,17779,40034,29602,19575,12876,9182,8081,7934,6163,1194,14,5572,6591,10258,17449,25610,33571,31844,16584,4592,363,0,1188,722,1670,3269,6570,8421,10630,15009,21044,34090,49821,260,2093,4260,6033,7214,9404,14074,23211,36887,46910,2088,32680,41128,23615,16622,11234,7936,6967,5249,3226,2941,836
40,2,2,3,2,2,3,490,2204,6894,10266,25839,37519,30527,12925,4677,1898,13,1662,13118,29781,39628,25516,13531,5133,2757,1913,212,1,15067,63906,31429,10969,4820,2593,2128,1778,518,44,0,910,1266,1458,2309,3656,5621,8448,14695,27534,45254,22101,22178,74690,19089,8024,3948,2497,1842,770,169,45,0,19901,108355,4170,613,189,24,0,0,0,0,0,24637,103854,3906,648,191,16,0,0,0,0,0,37605,55348,19413,8470,4442,2817,2144,1870,1019,119,5,412,1097,1849,5428,14476,32258,38238,29692,9509,293,0,97,399,647,1342,1686,1909,2515,4398,9690,34446,76123,0,10,55,189,456,1057,2615,5867,14957,101601,6445,79052,34985,8170,4010,2550,2347,1603,406,117,12,0
41,2,2,3,3,2,3,28330,148351,66024,65864,40707,22675,15311,14382,14188,2825,70,85825,163187,73383,31991,18296,13389,12057,12030,7426,1124,19,212777,105131,33067,17365,12515,11313,12118,10350,3576,509,6,12164,11596,10783,12554,13975,14511,16220,22794,43318,119192,141620,129609,163474,50357,27907,16927,12420,10042,5721,1856,395,19,549,316177,73764,21034,5009,1862,304,28,0,0,0,639,320033,69830,21345,4937,1619,301,23,0,0,0,175940,111266,41154,22487,17594,14559,12593,11591,9260,2149,134,8344,8778,12630,20202,41763,86851,124200,90606,23645,1699,9,4406,5575,7329,9394,8430,8426,9435,11488,16473,36199,301572,16,270,1681,3832,6903,13102,23875,41161,88120,233491,6276,268991,64406,21058,13710,11157,13374,13857,7150,2816,1823,385
