census_code,MSW_2001,BF_2001,MSL_2001,FC_2001,CHH_2001,ASSET_2001,band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5
14,1,2,3,1,1,1,142913,43797,15377,9042,168328,128357,54163,25456,12581,158900,103286,68059,39252,19881,148979,156087,56608,22961,13166,130635,252563,61986,40137,21175,3596,338201,33629,6592,1029,6,338578,33332,6663,878,6,207716,83239,51314,30657,6531,154660,41135,23502,13545,146615,134057,66122,79508,69813,29957,20477,32556,34586,36228,255610,244572,47239,40827,27034,19785
16,3,1,2,1,1,1,165075,27726,16606,13560,25944,166253,22439,22181,15584,22454,152053,27445,22657,26014,20742,164971,25209,22275,18340,18116,170265,20259,18057,20482,19848,244464,4384,63,0,0,244539,4307,65,0,0,159286,26577,20115,23406,19527,170077,17117,18834,19233,23650,52395,43563,62118,48830,42005,37958,21004,16578,20043,153328,143627,28281,26707,21990,28306
19,1,1,2,1,2,1,188177,55813,19811,5208,17533,172105,53624,34393,11058,15362,138115,61767,46092,25830,14738,147407,53232,38876,25167,21860,139354,49987,49419,36026,11756,236669,48561,1310,2,0,237168,48093,1280,1,0,122078,57134,52555,43894,10881,168746,40982,34363,23898,18553,25056,20925,91496,90836,58229,43920,58327,47078,36817,100400,97294,61891,79158,39830,8369
21,3,2,3,3,2,2,49237,81236,55869,41685,11395,58285,81611,50542,38299,10685,67605,74943,49569,39753,7552,48202,61004,76350,47228,6638,44867,83494,61424,45805,3832,60240,54142,71545,46164,7331,60717,53135,72833,45541,7196,41784,73637,57254,51816,14931,50101,58585,84068,41307,5361,12297,25133,60212,81224,60556,6501,52346,63311,85649,31615,40774,83257,70342,39769,5280
23,3,1,3,1,2,1,306171,63357,41027,34882,325920,307327,59929,56415,52881,294805,278975,76200,66347,82004,267831,353770,56129,54527,58953,247978,530471,80460,58332,58682,43412,747051,23251,1046,9,0,747308,22948,1094,7,0,458032,126284,81487,69961,35593,339628,50325,52580,65518,263306,378254,79020,130212,112832,71039,93119,47342,33752,39485,557659,527162,80346,75759,56375,31715
24,3,1,3,1,3,2,442767,123907,46540,25363,38438,440035,113403,53841,32576,37160,371084,156758,76971,42564,29638,405361,134973,67975,37789,30917,284031,174396,128773,69706,20109,562706,110573,3385,342,9,563719,109559,3415,311,11,255378,183497,130479,82746,24915,435094,118006,66421,30887,26607,97749,48086,142201,227858,161121,105393,149064,141033,114141,167384,144721,172887,178479,104609,76319
25,3,2,3,1,2,1,0,0,0,2,5,0,0,3,18,42,0,0,20,31,54,74,24,17,18,21,66,51,40,34,19,0,14,80,2,0,0,34,122,4,0,12,10,221,163,217,188,90,70,92,246,129,2,1,0,70,210,0,0,4,77,0,12,166,13,83
26,3,1,3,1,3,1,1,4,4,7,12,2,4,11,13,26,1,10,16,12,31,62,9,2,9,2,45,22,12,12,0,0,32,0,0,0,0,36,0,0,0,0,22,60,41,24,73,24,18,26,41,90,0,0,0,20,50,0,0,1,71,0,4,81,18,15
27,3,1,3,1,3,2,423831,32090,7973,1497,552,382071,52510,24367,6362,633,323289,91872,35148,14636,998,183779,76797,81093,85234,39040,202828,98491,77584,67747,19293,205495,187043,60092,12702,611,206109,186766,60907,11441,720,216406,111347,78850,49485,9855,270221,86496,67670,35788,5768,1886,6145,32528,120511,304873,156354,94533,65004,56635,93417,165488,160450,91966,38427,9612
28,3,1,3,1,3,2,89575,32781,6322,2078,1646,90633,28503,8832,2896,1538,73820,42513,11481,3636,952,60997,32678,24819,13037,871,42793,42819,33251,12841,698,77427,43048,11434,493,0,77771,42744,11468,419,0,40265,46754,31986,12442,955,75133,33545,18489,4546,689,2739,4883,25038,57483,42259,15071,38187,34879,24162,20103,19084,47465,42524,17480,5849
29,3,1,3,1,2,2,105263,47857,18180,7156,2922,107266,43276,20553,7760,2523,94108,52869,25056,8148,1197,86795,50066,25629,13939,4949,52419,59100,47922,21411,526,107407,72678,1293,0,0,108286,71822,1270,0,0,53603,60270,42961,22629,1915,102922,37171,26898,13526,861,6983,8280,37549,79189,49377,17345,51581,58722,35870,17860,22322,62700,57625,28332,10399
30,3,1,3,1,3,2,100048,26863,8004,2073,266,101386,22386,10072,3099,311,92960,31602,9392,3146,154,29827,25393,38434,30106,13494,50219,46513,29564,10632,326,25371,92354,17727,1781,21,25580,92240,17830,1579,25,61676,44242,22513,8016,807,55907,40123,29948,10600,676,10639,2043,8667,30168,85737,11604,39418,35291,24261,26680,55765,56879,19550,4305,755
31,3,1,3,1,2,2,179872,28648,15841,4363,658,173964,32359,16729,5900,430,151697,48053,21113,8151,368,83612,47845,44351,36269,17305,91706,69859,47858,18187,1772,119547,90771,16794,2243,27,120040,90430,16850,2025,37,100297,71795,41153,15334,803,115263,52909,41734,18467,1009,1011,3974,20282,70798,133317,44916,49953,47216,47776,39521,67143,102454,50021,8978,786
32,3,1,3,1,2,1,0,0,0,0,0,0,0,2,20,55,0,0,6,26,45,45,8,9,13,16,30,19,15,15,12,0,2,26,0,0,0,2,34,0,0,0,6,66,48,69,90,24,24,36,106,97,0,0,0,20,20,1,1,0,97,0,19,90,4,0
33,3,1,3,3,3,2,0,0,0,0,0,6,0,0,2,13,10,1,2,12,10,55,3,1,4,0,50,14,10,2,1,28,0,0,0,0,56,0,0,0,0,85,43,90,50,26,207,22,18,29,46,35,0,0,0,40,80,0,0,1,23,2,15,29,20,24
34,3,1,3,3,2,2,30031,10279,10122,14168,696704,39565,10812,11897,17309,681721,39466,16214,16975,27216,661433,93863,26346,25370,34461,581264,638688,57730,28129,21011,15746,757571,3205,515,13,0,757581,3195,516,12,0,510623,140071,54939,32006,23665,63365,12626,13911,22190,649212,667477,55505,16363,13355,8604,6329,5418,6235,10739,732583,697279,22305,15479,11279,14962
35,2,1,3,3,2,3,203117,143487,50245,26854,4441,269052,97293,39285,20513,2001,294516,79223,37655,16103,647,63113,52907,61019,92599,158506,269595,100444,42151,14900,1054,389912,37960,272,0,0,390185,37682,277,0,0,256460,91976,49756,26845,3107,59195,108834,193787,64592,1736,13390,20105,40959,63431,290259,6807,22336,44263,143236,211502,279893,69213,46279,23313,9446
36,2,2,3,3,3,3,88127,64488,26549,13667,2328,121076,42962,19741,10045,1335,140975,30465,15652,7388,679,13392,18148,22805,40692,100122,131768,39827,17513,5645,406,177749,17136,274,0,0,177587,17234,338,0,0,125685,34675,19402,13193,2204,10640,41075,103384,38196,1864,3800,8636,14691,20071,147961,330,4054,16207,57393,117175,145859,23844,15602,7969,1885
37,2,2,3,3,2,3,128512,106277,43049,24406,3378,173843,76708,35154,18194,1723,204858,56309,29811,13750,894,21840,32152,40166,71251,140213,183730,78230,33417,9462,783,256586,47630,1392,14,0,256616,47525,1471,10,0,171715,65906,39463,24803,3735,14819,69229,160392,59294,1888,6720,16781,23869,35377,222875,365,6090,33906,117181,148080,213945,44216,29817,14437,3207
38,2,1,3,3,3,3,161306,144886,63583,23898,2922,201007,120157,53435,19662,2334,217303,112044,50152,15838,1258,97444,80026,74797,85329,58999,154399,138496,74588,28095,1017,301327,91921,3341,6,0,302146,91014,3432,3,0,142203,130151,76029,42956,5256,108825,110426,133237,42781,1326,4633,19837,62523,114336,195266,10783,56678,91506,159910,77718,149892,119708,72851,36510,17634
39,2,1,3,2,3,3,18802,69142,42379,19377,2734,50349,62640,25149,13004,1292,79942,43900,18530,9671,391,13952,24298,36478,43396,34310,66569,50512,21764,13189,400,109499,36364,6513,58,0,110075,35848,6467,44,0,63790,49103,21048,16320,2173,14213,35199,72811,29536,675,2116,6959,18717,35633,89009,3061,12284,21544,58108,57437,79156,39864,18388,10680,4346
40,2,2,3,2,2,3,3163,23957,76772,26641,2719,19000,77130,30758,5946,418,88690,35049,6356,3090,67,2435,4743,12655,39009,74410,102421,23442,5783,1543,63,130003,3145,104,0,0,129992,3157,103,0,0,98550,24382,6470,3632,218,1771,11148,64675,54859,799,596,2506,4331,12502,113317,18,383,2681,17520,112650,116295,11017,4936,978,26
41,2,2,3,3,2,3,189578,138927,53200,31997,5025,272743,89989,30458,23640,1897,327278,46324,25836,18449,840,25995,26214,32684,61157,272677,306477,72298,28225,11118,609,344848,69366,4420,93,0,345400,68685,4567,75,0,298673,59678,32459,24399,3518,19248,43017,187319,165896,3247,11166,18977,18975,27679,341930,444,7567,30455,115203,265058,338803,33982,28862,14409,2671
42,2,2,3,2,2,2,140764,98818,18168,12994,3257,192319,52049,14450,12195,2988,227898,24123,9334,11406,1240,2781,5735,15342,35529,214614,212544,37407,13124,10189,737,218465,52377,3125,34,0,218676,51947,3348,30,0,209566,32976,13865,11844,5750,2031,6159,78648,184257,2906,1618,8630,7784,12713,243256,115,2197,16884,58939,195866,240431,16464,8161,8472,473
43,2,2,3,2,2,2,74802,181270,134952,156416,58926,140975,150053,168041,102583,44714,230059,179980,110057,62078,24192,7402,21096,86429,246814,244625,276469,168582,100507,47517,13291,178748,356380,68243,2967,28,179371,354876,69456,2638,25,261815,184982,82557,48361,28651,5389,18563,199147,339856,43411,12823,31635,58498,152211,351199,65,3746,60021,202881,339653,382073,152292,42138,24946,4917
44,2,2,3,2,2,2,13439,125454,98045,47087,18609,41595,122939,87062,34278,16760,96075,134664,39882,22397,9616,2640,6164,35792,122859,135179,133642,106574,35467,20395,6556,125102,163148,14049,335,0,125734,162637,14029,234,0,128648,106614,33031,18976,15365,1697,5060,75548,205352,14977,4143,15807,20106,58842,203736,26,3536,30401,108769,159902,210526,57944,17955,14051,2158
45,2,2,3,3,2,2,45716,76737,26150,15028,5480,78521,48388,23458,13969,4775,109946,31774,14139,10813,2439,2369,5166,18097,48005,95474,108825,34225,14144,10286,1631,80569,78317,9359,866,0,80697,78150,9565,699,0,104778,33363,13966,10492,6512,1450,4610,44348,114902,3801,1407,8442,9017,20389,129856,85,2788,14404,42608,109226,130121,21453,8179,7701,1657
46,2,2,3,3,2,2,79091,180037,65514,39896,26576,155010,127086,46763,36308,25947,236193,76582,30425,30781,17133,6706,8758,22956,118169,234525,218491,91383,37896,30825,12519,231183,134335,24111,1484,1,231726,132765,25288,1335,0,205216,92023,36624,28597,28654,4104,6968,76896,276536,26610,9706,25231,20010,39342,296825,96,5854,47149,126602,211413,288847,49856,21192,23372,7847
47,2,2,3,2,2,2,58587,119765,41418,23554,12627,117965,76309,28224,20908,12545,172877,42301,16356,16254,8163,1019,2384,10301,51109,191138,158935,52901,20591,17020,6504,175000,73245,7404,302,0,175825,71978,7877,271,0,155453,52251,19148,15019,14080,843,1879,40807,197970,14452,2748,11748,10689,20681,210085,94,4708,24099,71842,155208,205097,26076,10675,11630,2473
48,2,2,3,3,2,3,6178,190163,144375,36036,10072,113199,194599,54041,21401,3584,256969,89001,23807,15724,1323,8885,15146,31166,100712,230915,266986,82865,25216,10580,1177,365538,21117,169,0,0,365581,21062,181,0,0,256371,83453,25981,17844,3175,7803,15813,141451,216520,5237,1980,10373,17392,40523,316556,109,3875,16955,77215,288670,322332,36778,18965,7692,1057
49,2,2,3,2,2,3,47756,183913,50346,25450,6119,164368,100757,27869,18239,2351,227059,53307,19309,12955,954,16570,24688,52295,105137,114894,216324,70403,19240,7058,559,288361,23296,1830,96,1,288744,22945,1810,84,1,209695,63232,23567,14766,2324,11084,53481,170759,76009,2251,6356,13709,15004,31378,247137,96,1980,15980,93681,201847,248073,35766,18684,9124,1937
51,3,2,3,3,3,3,16744,48503,65395,27437,3948,35570,62543,45605,16320,1989,55139,67119,27621,11353,795,26619,25819,43398,41477,24714,54142,63075,31690,12894,226,94936,53442,10379,3121,149,95276,53135,10545,2888,183,54126,60150,29906,16113,1732,28133,29942,62147,40121,1684,3133,7873,25225,56211,69585,2939,12840,31831,61779,52638,63931,55897,30176,9689,2334
53,2,2,3,2,2,2,35391,292534,58837,22384,8759,239982,129137,26178,17904,4704,347676,39036,14006,15392,1795,3577,7020,18533,46022,342753,327084,57740,18559,13097,1425,364991,50353,2548,13,0,365516,49674,2707,8,0,325297,51936,18376,16307,5989,2962,6747,104621,298039,5536,1578,11027,10951,18313,376036,140,3634,17860,75374,320897,372865,22607,12093,9650,690
55,3,3,3,3,3,3,27,2109,4111,6021,1542,903,3716,4277,4506,408,1384,4280,4853,3093,200,5510,4359,2020,1472,449,2162,5825,3884,1753,186,5508,8240,62,0,0,5517,8217,76,0,0,1277,3947,5033,3068,485,2887,4364,3995,2350,214,1311,3749,4665,2772,1313,64,1176,2507,5892,4171,1378,3532,6046,2640,214
56,3,1,2,1,3,1,407038,34594,18604,18839,463470,372286,53991,34366,27231,454671,334203,84498,45195,36839,441810,276731,123382,90228,61076,391128,614714,133285,92534,74849,27163,758993,110511,49080,19898,4063,759067,110348,50375,18307,4448,525396,184638,101974,88473,42064,355548,71315,47195,39797,428690,373255,102719,78228,138138,250205,109391,111797,85039,77006,559312,599162,162588,99419,49275,32101
57,3,1,2,1,3,1,583383,45162,30235,33274,220502,519912,74792,35319,42642,239891,435079,105948,71366,75557,224606,432789,120633,96249,90971,171914,469126,109394,103510,118026,112500,747956,122413,32862,8354,971,749044,121502,33448,7493,1069,429071,133371,90029,117660,142425,468977,99988,77587,65980,200024,341004,78354,85809,102198,305191,260819,99159,79547,98811,374220,376335,142808,92641,73400,227372
58,3,1,2,1,3,1,172166,6328,1980,2067,31478,155609,17871,5519,3214,31806,136178,29229,11632,5806,31174,80205,43808,39472,24273,26261,117390,39328,29688,22472,5141,156827,50102,6857,233,0,156738,49568,7483,230,0,113160,45320,31125,20501,3913,130121,33937,15861,6078,28022,17039,15837,20258,39269,121616,66601,40701,26064,24470,56183,104053,53502,30039,14103,12322
59,3,1,2,1,3,1,371584,39964,7955,2962,27892,301028,77451,33071,10414,28393,238321,122983,47730,13865,27458,185623,125894,81766,31899,25175,163994,120479,108713,51965,5206,143614,184304,101027,20757,655,143594,183981,103101,18893,788,154050,138699,99352,52178,6078,268380,88889,47829,18922,26337,15359,22040,80271,167313,165374,109425,144531,96662,58053,41686,94654,132446,133867,67320,22070
60,3,2,3,3,3,3,242572,60065,29344,18582,6852,163675,105227,48736,31482,8295,161498,101632,57148,32541,4596,93927,93081,100357,59520,10530,100711,96905,91052,57688,11059,86598,107919,112788,42650,7460,86746,107173,115869,39429,8198,108387,95388,80429,59906,13305,124334,100674,85451,42406,4550,8997,26673,69549,113035,139161,46079,103118,80026,73201,54991,89768,94606,94857,54561,23623
61,3,1,2,1,3,1,503572,94591,23103,7916,2809,422750,134056,50928,20641,3616,331914,188321,79177,29724,2855,265583,187680,120723,51227,6778,211412,163155,144291,94960,18173,141463,274976,161980,48117,5455,141461,272538,167723,44291,5978,214394,181834,133727,85234,16802,369113,149988,75712,34026,3152,10926,24800,139062,235091,222112,152128,174068,120065,105678,80052,128278,166727,173643,118151,45192
62,3,1,2,1,3,1,522812,74071,37879,40059,165409,453450,100315,48489,53119,184857,366159,133251,86134,84914,169772,399555,116968,94707,90816,138184,375710,119067,114929,125638,104886,661792,144737,27085,5943,673,662508,143520,28035,5457,710,340071,142380,109043,131688,117048,407182,114678,90025,76200,152145,314123,66802,77871,128123,253311,241286,100345,80389,100234,317976,268354,159592,121285,93623,197376
63,3,1,2,1,3,1,187703,29446,7488,4699,35109,180029,34782,9185,5993,34456,157068,46814,18326,11282,30955,106057,51315,42967,30209,33897,123852,44067,37395,32428,26703,200584,57993,5826,42,0,201276,57493,5642,34,0,125337,55606,29834,27199,26469,141437,49119,29075,13829,30985,34508,12968,28589,65243,123137,64135,38157,30028,36588,95537,102142,69401,43246,20331,29325
64,3,1,2,1,3,1,271293,64200,19529,3245,278,248491,68329,30835,10367,523,207332,82294,49670,18844,405,150677,79086,67824,50279,10679,139929,69855,61638,65274,21849,167442,143194,42954,4942,13,167303,142214,44595,4415,18,142858,82831,59554,58694,14608,198131,73055,55404,30508,1447,312,5566,54681,138057,159929,115606,78311,53403,51844,59381,90859,99884,83397,55048,29357
65,3,1,2,1,3,1,168741,15337,3340,1184,1280,158063,19536,8308,2821,1154,141035,29012,13980,5163,692,95211,35888,27934,23544,7305,98026,38850,26556,20610,5840,129123,55012,5627,120,0,129470,54508,5803,101,0,104129,40166,23217,17840,4530,127745,31571,19461,10217,888,2094,2387,15163,52415,117823,48812,37092,31334,34361,38283,63799,65047,35762,17078,8196
66,3,2,2,3,3,2,375770,71013,15679,7407,6630,387864,58733,16164,8264,5474,374332,66541,22538,10771,2317,209480,124288,77663,49554,15514,256728,124701,58952,30510,5608,161593,293672,18784,2450,0,162126,293411,18846,2116,0,289046,104288,48540,28575,6050,319797,79402,55910,18668,2722,6297,6604,24222,102359,337017,67954,79035,106787,146765,75958,178182,181296,74430,29238,13353
67,2,2,2,1,2,2,74904,139444,75236,22012,4398,137768,126250,38597,10127,3252,196980,89913,22350,4865,1886,74719,82835,79449,61620,17371,150479,114125,39407,10765,1218,42607,259252,13457,677,1,42853,259035,13474,631,1,156149,101468,40616,14713,3048,91144,87812,115837,19541,1660,11164,5806,26453,96627,175944,4313,19457,52001,128550,111673,132831,118950,43974,15390,4849
68,2,2,2,2,2,2,31038,85760,81112,57000,21463,18130,67812,89006,75087,26338,12929,79116,97402,69144,17782,36668,102538,113775,22191,1201,5867,41048,106218,102476,20764,70,24551,151968,84977,14807,66,23070,157931,78994,16312,6540,44313,86814,97142,41564,33342,74352,92992,61436,14251,18686,63461,110072,71486,12668,19865,113537,90911,39648,12412,3257,43739,82150,89118,58109
69,3,2,3,3,2,3,30163,25217,24371,16460,2799,36995,25657,20366,14252,1740,34933,28566,19840,14459,1212,33507,26275,21039,16033,2156,26721,32224,26931,12851,283,39858,56065,3087,0,0,39718,55734,3558,0,0,25836,31403,22342,17001,2428,35300,20769,26424,15535,982,2154,11937,26039,35747,23133,2848,15929,28998,32952,18283,14036,39139,31401,13428,1006
70,3,2,3,3,2,3,10,12968,101736,53735,7351,5097,75784,67772,23853,3294,42374,83416,32280,15890,1840,7698,23033,43634,69380,32055,65063,65058,31450,13527,702,141059,33995,744,2,0,141012,33918,868,2,0,59481,62745,30867,19002,3705,6243,23442,87828,56286,2001,2101,10985,25109,54087,83518,56,4541,21606,58201,91396,91627,48151,23822,11228,972
71,2,2,3,3,2,2,0,0,0,0,0,0,0,3,2,9,0,2,34,10,80,167,44,25,31,62,199,64,70,88,55,0,5,63,94,2,0,2,87,94,3,17,166,158,152,249,333,65,52,93,304,158,1,0,0,290,660,0,0,1,16,8,53,294,30,224
72,3,2,3,3,2,3,135,51581,96862,27893,5463,25108,108686,36513,9824,1803,102839,59852,12075,6435,733,3800,14104,29403,64229,70398,116588,49193,11057,4562,534,176117,5812,5,0,0,176094,5834,6,0,0,109662,50889,12469,7421,1493,4062,18640,75373,82232,1627,824,4837,9002,31827,135444,36,1144,6427,36916,137411,140929,28746,8453,3428,378
73,2,1,3,2,2,2,771,113777,110501,33229,7712,37000,142220,61054,22260,3456,141743,85644,25119,12100,1384,2889,7420,17787,87782,150112,138389,91922,24418,9779,1482,242298,21617,2072,3,0,242860,21101,2027,2,0,140054,87544,22833,12220,3339,3753,4844,51794,199325,6274,780,6737,10767,36669,211037,178,3044,12818,82815,167135,212172,37148,9282,6839,549
74,2,2,3,3,2,2,217,105783,140238,46394,12233,17742,180947,76644,24373,5159,158615,105064,25983,14014,1189,5478,18706,45721,97470,137490,174253,97604,22905,9414,689,240753,57371,5922,819,0,241785,56270,6053,757,0,173552,92244,21874,14866,2329,3488,14829,87533,195224,3791,3504,8627,15632,48796,228306,62,2087,9784,73638,219294,239417,43360,13645,8055,388
75,2,2,3,3,1,2,12,58838,50268,21768,10311,749,58464,53706,21757,6521,35674,66944,24162,12968,1449,4007,8366,20892,62298,45634,34873,75330,21940,8391,663,5793,113336,20905,1159,4,5783,113201,21182,1028,3,46793,62312,17443,12279,2370,1688,3938,38909,94294,2368,3444,7918,11986,31095,86754,41,1087,7378,65295,67396,89574,32451,12361,6361,450
76,2,1,3,3,2,2,3,52055,116233,63619,15844,74,43237,123856,67433,13154,15059,109777,83652,35432,3834,2626,9199,44128,145992,45809,18583,114186,86489,26233,2263,31,198139,47551,2032,1,12,197557,48578,1606,1,30859,111261,66125,32926,6583,1448,3616,53656,182374,6660,2986,12630,38744,105009,88385,85,3218,38217,150492,55742,87029,116049,33309,10420,947
77,2,1,3,2,2,2,221,64666,159550,74530,13135,9084,69230,142496,80114,11178,41971,123277,100822,41695,4337,1543,4234,21883,160272,124170,40509,136608,101018,30114,3853,62915,220236,27514,1437,0,63794,217889,29120,1299,0,48772,140596,80992,31743,9999,1122,1906,31110,266072,11892,1223,12129,33200,120993,144557,309,6303,42916,189576,72998,146292,128510,24137,12208,955
78,2,2,3,2,2,1,7611,90326,107691,50679,21082,44902,93904,72599,45077,20907,119112,80189,38240,24695,15153,664,2766,14008,76154,183797,111757,70563,54875,27940,12254,94871,134647,39883,7986,2,97328,132718,40012,7329,2,115936,82128,35471,22085,21769,509,1614,18207,229938,27121,6378,15254,17408,47115,191234,75,7840,49112,92115,128247,176556,61658,18597,14968,5610
79,3,2,3,2,2,2,1470,109482,149093,118449,110849,35518,120839,105725,110472,116789,128730,121574,77929,71119,89991,1023,3850,25057,177026,282387,117639,114203,103172,79954,74375,74705,231939,129715,52903,81,75451,231337,133997,48392,166,124445,125955,76511,62241,100191,640,2203,24371,306249,155880,52416,45920,52369,99304,239334,51,8960,144248,184758,151326,219943,124096,55921,49415,39968
80,3,2,3,2,2,2,13,9931,161133,202853,109059,455,18633,153225,202684,107992,6990,123793,169204,103265,79737,1354,4867,22612,207283,246873,9360,112685,188482,104986,67476,5496,290786,144330,42370,7,6207,290265,147753,38762,2,14149,169825,132409,72273,94333,658,1956,19022,316016,145337,27124,63717,69324,196496,126328,282,31583,157573,245455,48096,110357,222699,65755,63676,20502
81,3,1,3,2,2,1,0,537,32144,263973,232564,2,569,29589,234282,264776,44,18602,86773,223960,199839,1181,3073,17355,144788,362821,2186,23847,98105,230966,174114,7367,235643,184740,101468,0,7494,229083,195812,96829,0,3104,38367,87717,169882,230148,458,1178,9558,158427,359597,38894,128888,171147,167065,23224,943,147579,233333,132396,14967,25154,186903,157977,115382,43802
82,1,2,3,3,2,2,0,7226,67180,96779,26058,34,4866,69037,99890,23416,414,42554,84591,61366,8318,1742,5836,28535,126005,35125,4599,49791,93097,45032,4724,0,149114,46178,1951,0,0,146020,49377,1846,0,5851,55375,73418,49500,13099,777,2250,25811,150107,18298,2101,17432,55003,98607,24100,51,5101,40678,129726,21687,28534,110848,42515,14082,1264
