census_code,MSW_2001,BF_2001,MSL_2001,FC_2001,CHH_2001,ASSET_2001,band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8
26,3,1,3,1,3,1,0,2,3,0,4,2,5,12,1,1,4,6,6,8,6,24,0,1,7,10,13,8,19,12,51,13,7,0,3,8,2,0,23,24,19,7,11,6,1,0,0,0,30,2,0,0,0,0,0,8,27,1,0,0,0,0,0,0,15,40,29,29,30,4,57,27,13,9,11,18,25,22,89,1,0,0,0,0,0,20,50,0,0,0,0,0,3,69,0,0,2,38,51,10,3,14
27,3,1,3,1,3,2,383820,52526,19575,5334,2639,1218,627,204,315014,84110,35457,13375,10992,5412,1493,90,247630,113721,46758,28843,15735,10632,2604,20,142037,65966,52573,40701,53117,55751,41701,14097,161894,66718,63911,50582,48122,41171,28129,5416,102532,163517,112630,53411,23730,8107,1952,64,107141,166621,111565,50055,21514,7325,1659,63,156918,94873,65911,54765,39827,32749,19605,1295,221034,66607,52416,47816,36514,30760,10511,285,1146,1642,4013,11724,30129,66245,153529,197515,114422,68940,55040,48310,35737,34126,43533,65835,88582,121510,99059,71480,44531,25533,11789,3459
28,3,1,3,1,3,2,56540,45995,19138,5151,2047,1348,1495,688,59185,41646,17609,5984,3611,2060,1988,319,40912,50222,22247,10666,4422,2367,1522,44,41049,30959,20400,14171,15128,8745,1805,145,27275,25971,28021,24234,16499,8472,1874,56,18667,77305,21259,11934,2927,307,3,0,21363,76011,21327,10997,2482,219,3,0,21827,31668,28861,23505,15608,8365,2477,91,53805,28963,20555,15537,8472,3792,1269,9,1644,1894,3018,8996,23035,35646,39817,18352,6925,16034,24050,25644,18923,15159,15591,10076,8142,20430,30939,31464,21422,11481,5974,2550
29,3,1,3,1,2,2,67972,53527,27485,16374,7655,4166,3401,798,75309,45867,26671,14569,9267,5613,3689,393,55101,57959,29375,19658,11872,5015,2345,53,56700,46626,29074,18777,13706,8944,5835,1716,29806,38007,38098,33277,24920,15137,2110,23,11222,135328,32270,2489,69,0,0,0,13637,136327,29494,1875,45,0,0,0,27099,44750,36489,29246,23663,14848,5122,161,78902,33335,23370,17464,17052,9239,1977,39,4870,3561,5151,13639,33891,49086,53125,18055,6085,21335,33102,40300,32964,23265,14581,9746,8811,26244,40988,41623,29901,18475,10976,4360
30,3,1,3,1,3,2,69617,40118,17075,5363,2774,1674,588,45,70450,38430,14794,5557,4629,2503,859,32,61174,45845,15570,7857,4077,2313,391,27,21401,14865,18715,19446,24756,19881,11750,6440,34512,27394,30673,22122,14618,6712,1200,23,3192,54567,54087,19279,4857,1127,145,0,3404,57962,53362,17138,4304,973,111,0,37151,39181,26046,17709,9547,5539,2002,79,37930,25424,24405,23126,15138,9548,1650,33,10127,845,1251,3433,7715,16156,42202,55525,5145,13776,24555,27284,19149,14873,14023,18449,28648,44551,34451,17675,7856,2888,769,416
31,3,1,3,1,2,2,156009,32772,18636,10641,6737,3396,1070,121,139569,44580,20255,11987,7650,4270,1018,53,107674,62759,25596,15449,10915,5809,1150,30,58072,38915,29570,25942,29549,23097,16320,7917,60687,50135,43056,34917,25219,11558,3451,359,56963,94155,53687,18013,4835,1459,267,3,59675,95206,52513,16235,4227,1320,203,3,60346,62490,43223,30505,19652,10686,2410,70,87465,39159,31419,30957,22679,14755,2899,49,256,1346,2473,7518,18786,39616,81041,78346,26689,30688,30529,31041,28561,29769,32040,20065,27169,67396,64137,44183,19082,5822,1415,178
32,3,1,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,8,24,43,0,0,0,0,10,14,21,32,36,11,5,6,6,8,6,13,3,33,12,5,14,11,9,4,0,0,2,13,13,0,0,0,0,0,0,18,18,0,0,0,0,0,3,39,33,30,47,37,58,45,10,9,22,21,51,64,97,0,0,0,0,0,0,20,20,0,1,0,1,0,1,96,0,0,7,59,47,0,0,0
33,3,1,3,3,3,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,5,10,10,0,1,1,1,8,11,3,50,6,1,2,2,2,0,0,34,22,8,7,3,2,1,0,28,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,78,9,31,52,56,35,19,14,186,28,14,14,11,10,36,23,35,0,0,0,0,0,0,40,80,0,0,0,0,0,2,22,0,4,11,13,22,12,5,23
34,3,1,3,3,2,2,23826,9290,6570,5036,6691,8122,17997,683772,33341,9465,6810,6634,7358,9867,26019,661810,30579,13531,10056,9668,11277,15753,34147,636293,80486,20601,16036,15235,16928,20149,32376,559493,582116,77229,32438,20482,15291,12771,12052,8925,751631,7357,1605,578,128,5,0,0,751881,7236,1560,523,101,3,0,0,411949,147191,80862,43236,26654,20168,18510,12734,56765,10046,7949,7973,8888,12719,29879,627085,623563,61948,35030,11081,9450,8348,8188,3696,3793,4038,3258,3435,4475,6274,11702,724329,682533,21227,13335,10991,8474,7170,7547,10027
35,2,1,3,3,2,3,53216,206996,77628,38761,25265,16978,9054,246,162696,143704,53021,29555,19527,14731,4852,58,221897,102185,43227,27173,20578,11080,1970,34,42709,32872,33413,34639,42456,53573,91262,97220,177896,126594,57158,33809,19865,10080,2630,112,266096,150990,10592,458,8,0,0,0,274453,143453,9818,419,1,0,0,0,183754,104095,52727,35420,26827,18203,6645,473,40183,36722,72378,113263,116736,41796,7032,34,9304,7296,13155,22196,28841,37626,59650,250076,2123,8830,14544,21381,35715,74200,229874,41477,229912,71259,40812,32225,25465,15146,8802,4523
36,2,2,3,3,3,3,18695,94274,35097,19273,14317,8767,4331,405,78120,59286,23303,14796,9806,7028,2631,189,112202,40328,16470,11122,8436,5149,1387,65,7795,9722,11526,12651,16189,22832,48966,65478,96593,48899,22542,13954,8334,3727,1072,38,126499,62192,5986,479,3,0,0,0,127654,61218,5758,527,2,0,0,0,96672,41003,19804,13411,10906,8978,3961,424,6402,9528,27682,55579,65878,24336,5685,69,2273,3047,5667,8210,10043,11756,20611,133552,24,809,2630,6498,14427,31296,95719,43756,125933,27839,13703,10266,9249,5196,2164,809
37,2,2,3,3,2,3,34734,132795,59254,33158,21921,15503,7902,355,104507,97460,42644,26215,17500,13141,4005,150,154237,71344,30907,21159,16368,9473,2085,49,11536,17693,20411,22404,28358,39938,81516,83766,122215,87506,45203,27599,14933,6251,1796,119,123200,161962,18166,2049,239,6,0,0,133513,152652,17200,2063,190,4,0,0,120927,73060,37902,26761,22551,16697,7021,703,6628,18193,45571,89205,101616,37781,6556,72,3296,6725,10825,14043,15838,20445,38145,196305,44,914,3935,12741,31145,65478,153201,38164,176258,52737,25210,18601,18584,9374,3608,1250
38,2,1,3,3,3,3,75404,130909,87419,52605,28914,15171,5567,606,118115,123104,70870,40476,24873,14378,4389,390,129583,128556,61987,38666,24683,10363,2635,122,62339,56454,49524,44401,50059,52022,57179,24617,78513,116859,84177,58423,35476,19374,3705,68,96995,262576,31846,4810,367,1,0,0,101191,260759,30085,4284,276,0,0,0,72576,110819,77175,53709,41616,28766,11420,514,79229,52168,72267,84927,74525,29270,4114,95,2485,4583,12905,30494,47199,67971,99947,131011,2126,18734,37259,50035,66576,99661,105187,17017,92605,91106,73174,54653,37424,23321,16212,8100
39,2,1,3,2,3,3,3348,31296,48154,32928,16726,13117,6614,251,12656,55847,39496,19817,11839,9516,3191,72,39756,56618,24307,13090,10554,6905,1203,1,7262,11921,15435,19632,26245,26016,29916,16007,30133,52796,29933,17283,10728,9478,2067,16,35607,90918,16928,7973,980,28,0,0,40619,87256,16676,7138,724,21,0,0,32817,48105,28331,15759,11231,10685,5382,124,7904,10887,22516,40149,45163,22901,2904,10,1432,1598,4388,10127,13399,20937,36110,64443,782,4615,8019,10734,16989,33297,61896,16102,52796,39418,23497,13880,9732,7052,4236,1823
40,2,2,3,2,2,3,797,6981,14678,42263,46107,17276,5082,68,5265,29498,53305,30107,9785,3767,1510,15,35090,70650,16402,5485,3020,2288,311,6,1374,1871,3094,5842,10238,21041,50003,39789,65594,47200,11789,4616,2897,997,155,4,113035,18909,1130,177,1,0,0,0,114280,17755,1045,171,1,0,0,0,66108,42935,12493,5246,3171,2543,741,15,812,1899,6944,27727,50996,39367,5497,10,242,681,1759,2418,3095,6514,23746,94797,2,42,246,834,2833,8634,43821,76840,101037,19649,5850,3404,2654,578,78,2
41,2,2,3,3,2,3,97314,128674,90939,45552,23240,19768,12940,300,160515,148808,48075,22583,16339,16505,5785,117,269953,74989,25155,16396,16353,13340,2489,52,16827,14990,16918,19452,21373,32814,95174,201179,223765,110019,39800,21067,15027,7487,1494,68,142323,238788,31293,5365,921,37,0,0,151198,231640,29710,5359,788,32,0,0,231870,89062,32424,22826,17937,16019,8074,515,11625,14323,27248,73367,160557,117075,14461,71,6575,8573,12602,11529,12494,16089,31139,319726,57,1302,5061,11814,27637,60198,214006,98652,306779,43475,19391,15794,19683,9441,3177,987
42,2,2,3,2,2,2,9707,182958,43275,14805,8640,7066,7291,259,94423,122276,24461,11768,7101,6767,7056,149,193794,43677,12907,7086,4877,7231,4384,45,1558,2217,3785,7240,11472,18280,65034,164415,160461,66789,20040,10545,6603,7461,2010,92,18215,227374,23786,4123,488,15,0,0,21657,224594,22907,4361,469,13,0,0,168271,54594,17326,10091,7513,6648,8846,712,1197,1643,3761,18409,92086,137400,19411,94,679,2412,6145,4764,5137,7282,16098,231484,50,206,1326,6474,14861,29819,147433,73832,222486,23877,9186,5683,5091,6572,1038,68
43,2,2,3,2,2,2,10123,116404,101655,92730,100702,90596,79296,14860,47428,129692,93054,101455,106306,62159,56811,9461,133460,146496,109719,83652,57003,37986,32696,5354,4720,5520,13539,33709,76195,141250,228887,102546,173452,147001,104563,81763,46217,30996,19098,3276,30550,278040,203944,73486,18516,1641,189,0,38204,284280,198782,67287,16177,1455,181,0,175437,144462,112524,65052,38338,29230,29855,11468,3792,3276,12331,58520,197027,237538,87063,6819,4055,15557,20154,27567,47517,87254,160646,243616,6,207,2208,17934,59334,118356,253939,154382,262794,181036,81806,33545,21240,16545,8865,535
44,2,2,3,2,2,2,121,37675,80062,71510,59070,26773,24029,3394,7541,60849,80587,67630,41052,20305,22051,2619,42438,99908,78841,34428,17933,12561,14847,1678,1564,1911,3944,11416,34590,70225,121954,57030,48991,122109,61473,30210,15517,12642,10251,1441,8888,205146,69484,14999,4012,105,0,0,14162,207895,63699,13354,3471,53,0,0,57919,113671,57440,26882,14750,11414,14875,5683,947,1475,3235,15595,83771,157134,38330,2147,805,6515,10581,10694,15101,30147,100357,128434,2,116,2154,12780,25376,57984,152048,52174,140075,94559,30263,14013,9391,9589,4641,103
45,2,2,3,3,2,2,1033,73348,41063,22621,13148,8538,8693,667,32068,62696,27817,17751,11975,8118,8358,328,81141,40265,17607,10609,7480,6447,5436,126,1044,2340,3275,6342,16679,28852,45272,65307,72405,48471,19407,11063,7093,6704,3812,156,98,112506,43155,9744,3128,479,1,0,228,116363,40239,9028,2917,336,0,0,76887,40250,18614,10634,6962,6287,8078,1399,727,1454,2933,10246,50558,87050,15953,190,448,2427,5928,5082,6550,11583,24168,112925,16,205,1781,7081,10806,22092,89083,38047,108502,29737,11852,6032,4627,5494,2399,468
46,2,2,3,3,2,2,9909,123954,109236,55568,32406,22606,32223,5212,53896,148771,68950,37335,24599,20706,31706,5151,153581,113614,40720,21868,16560,17733,23355,3683,3428,5372,5456,8569,21637,62682,157251,126719,124638,127631,50594,28976,19562,19239,16988,3486,11,304950,55274,20024,10131,703,21,0,16,306352,53102,20973,9964,692,15,0,128080,112197,50247,27918,18948,17021,23995,12708,2215,3328,4310,13374,103993,206469,52691,4734,2004,14390,15954,12130,13473,21160,59052,252951,34,173,3277,23244,34318,64825,224121,41122,229535,79160,26400,15053,12449,15482,11337,1698
47,2,2,3,2,2,2,11342,85777,71855,33966,20704,13737,16051,2519,42502,103397,41886,22501,14949,12136,15846,2734,122715,67562,22084,12154,8606,9585,11282,1963,503,943,1546,3413,9690,24777,90952,124127,99662,79410,28929,15915,10501,10911,8581,2042,74,218054,28069,7215,2346,193,0,0,59,219220,26857,7406,2248,161,0,0,105813,70200,28143,14786,9604,8664,12845,5896,484,628,1210,5926,57799,149350,37941,2613,235,5163,7611,6855,6838,11301,30515,187433,9,324,2790,12428,17463,35527,148183,39227,173759,41749,13953,7252,6632,7956,4479,171
48,2,2,3,3,2,3,10,33059,138204,119235,57960,21911,15519,926,10343,174879,110293,47859,21694,12865,8473,418,144014,151140,45578,19634,11601,11124,3478,255,3148,9326,9380,14447,25313,53451,136431,135328,160821,140579,43519,19626,12783,7124,2109,263,213828,166710,5988,292,6,0,0,0,222553,158305,5649,313,4,0,0,0,161379,129575,43722,20563,12981,11651,6274,679,4370,5848,9680,42909,137722,158109,27829,357,463,2956,7105,9586,12746,21926,61421,270621,15,340,2590,7106,14788,37149,186084,138752,272216,64961,19350,11857,11765,4816,1641,218
49,2,2,3,2,2,3,1123,100353,121150,42416,20940,14781,12220,601,50419,156578,52126,22977,12662,13220,5403,199,159059,91052,27021,13175,11790,9202,2219,66,9456,12255,15339,24857,41998,61065,92941,55673,133356,112561,36762,15480,9362,4641,1357,65,163114,138752,9120,2152,388,53,5,0,185073,117906,8352,1889,319,42,3,0,138877,96384,33023,18209,12351,9925,4338,477,5193,11577,38086,81176,118623,49547,9313,69,3394,5829,9052,8887,10291,17261,44184,214686,23,204,1238,5404,15737,46343,186674,57961,202308,59794,19117,11698,11628,5898,2517,624
51,3,2,3,3,3,3,4853,22921,33093,39283,34456,19352,7364,705,12656,35805,42488,34696,19923,11526,4728,205,19976,57421,39367,21871,13439,7941,1970,42,16120,16779,16368,22209,31233,26137,20917,12264,20667,53910,37333,23522,16610,8606,1373,6,43230,70152,32197,9713,4079,1900,755,1,45513,69594,31731,8989,3796,1758,645,1,20042,54305,35149,21854,15401,10915,4254,107,18115,14774,18048,33699,41352,30209,5792,38,1966,2249,5120,11412,20364,32682,54264,33970,1232,3520,8530,15870,24245,37357,48534,22739,33302,47273,33488,24175,13790,6331,2776,892
53,2,2,3,2,2,2,11888,96478,201935,59317,21025,13176,13481,605,39248,263984,60720,21430,12053,10388,9744,338,279700,85051,19540,10273,7748,9948,5469,176,1869,2936,4573,9374,13142,22429,96458,267124,229612,121922,29697,14283,9923,9398,2735,335,45862,346808,21540,3273,416,6,0,0,51921,341480,20692,3437,371,4,0,0,253924,93263,26646,13924,9653,9440,10044,1011,1842,1999,4244,20559,125064,229042,34852,303,463,2950,7774,6729,7200,10346,24720,357723,23,376,2419,7118,15838,36243,208630,147258,345438,35909,12420,7435,8381,6858,1358,106
55,3,3,3,3,3,3,0,214,1555,2189,2950,3630,3212,60,80,1610,2330,2731,2807,3118,1123,11,121,2221,2743,2934,3069,2140,577,5,2264,4879,2427,1449,1079,961,624,127,578,2942,3732,3030,1908,1189,417,14,430,10040,3192,148,0,0,0,0,449,10126,3081,154,0,0,0,0,327,1835,2515,3062,3064,2042,903,62,1330,2716,2729,2591,2345,1561,529,9,399,1623,2412,3154,2575,1777,1337,533,7,195,812,1362,1816,3353,5486,779,505,1511,2278,3535,3727,1766,459,29
56,3,1,2,1,3,1,377475,44228,18062,11103,11329,10786,21919,447643,328855,63215,29651,22919,18165,17107,31432,431201,264627,99943,47443,30667,25668,22058,37413,414726,207869,101521,76571,63169,50313,37002,36099,370001,520930,138615,76871,60186,52456,50251,31175,12061,667382,129194,64026,38319,23250,12149,7063,1162,672010,128587,63848,37081,22031,11473,6380,1135,387938,197685,105403,74494,58364,54458,47486,16717,305590,76834,36587,33881,26447,24620,33238,405348,322574,76834,67559,46054,52481,79876,136187,160980,63488,75524,68279,59456,49321,47790,48698,529989,499157,150209,96372,72611,51722,31714,20327,20433
