,district name,district code,1. Under-Developed_BF,2. Moderately-Developed_BF,3. Developed_BF,1. Under-Developed_FC,2. Moderately-Developed_FC,3. Developed_FC,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,Water,Evergreen Needleleaf forest,Evergreen Broadleaf forest,Deciduous Needleleaf forest,Deciduous Broadleaf forest,Mixed forest,Closed shrublands,Open shrublands,Woody savannas,Savannas,Grasslands,Permanent wetlands,Croplands,Urban and built-up,Cropland/Natural vegetation mosaic,Snow and ice,Barren or sparsely vegetated,No_HH,ELG_POP,BF_RUD,BF_INT,BF_ADV,CHH_RUD,CHH_INT,CHH_ADV,FC_RUD,FC_INT,FC_ADV,MSL_INT,MSL_ADV,MSW_RUD,MSW_INT,MSW_ADV,EMP_AL,EMP_NAL,EMP_UN,ASSET_TV,ASSET_COMPUTER,ASSET_MOBILE,ASSET_NONE,ASSET_VEHICLE,EMP_F,LIT%,MSL,MSW,CHH,FC,BF,EMP_AG_NONAG,Asset,EMP_FEMALE,LIT
10,Mon,261,0.24,0.58,0.18,0.99,0.01,0.01,2349,0,0,0,0,38,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6291.490196,0,5,428.3686275,1,0,1163.501961,12.60784314,0,2.560784314,13.96470588,0,361.545098,0,0,48134,239152,29.53572527,39.9758092,28.22614368,37.52430922,60.01025263,2.460140441,93.50501517,1.600012465,4.641517431,51.39736984,43.50030748,49.1042444,0.321645822,50.57465409,37.57861109,9.754883923,32.82849401,0.189650393,0.072941829,0.361805169,0.504364067,0.084474571,30.55128119,60.34697598,2. Moderately-Developed,1. Under-Developed,2. Moderately-Developed,1. Under-Developed,2. Moderately-Developed,2. High AL,1. Low Asset Ownership,3. High Female Emp,1. Low Literacy
11,Tirap,254,0.13,0.60,0.27,0.95,0.00,0.05,2603,0,0,0,1,29,14,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7683.262745,0,0,969.145098,1,0,379.2588235,0,0,1,0,0,105.6352941,0,0,25244,110093,12.09622088,42.77685391,36.89121375,54.73869434,44.07598637,1.172603391,73.38972033,0.93172239,25.47790762,9.788916178,85.60335129,35.99501268,0.594604659,63.42258755,30.83302299,15.46147348,47.6996721,0.396371653,0.052860482,0.403127674,0.412843012,0.132166455,21.82518416,56.90552533,3. Developed,3. Developed,2. Moderately-Developed,1. Under-Developed,2. Moderately-Developed,2. High AL,1. Low Asset Ownership,3. High Female Emp,1. Low Literacy
12,Sivasagar,311,0.18,0.56,0.25,0.79,0.00,0.21,966,0,0,0,7,838,586,252,178,109,83,73,31,33,29,34,19,23,11,20,9,24,15,8,8,9,8,12,6,2,3,5,4,3,6,4,1,6,3,0,1,0,2,1,0,1,4,1,0,1,1,3,2,1,0,4,0,0,0,0,0,0,0,0,0.250980392,0,628.3647059,0,0,46.76078431,3.749019608,71.92156863,2042.615686,43.99607843,29.0627451,16.98039216,6605.843137,38,2338.913725,0,8.337254902,274597,1110648,24.00841051,36.96271008,36.93049378,38.52770533,55.77343489,5.698146739,67.43375893,2.485408435,29.68075944,45.59624395,54.12586263,17.04474193,61.18647145,21.75797296,7.644546247,24.37405911,52.59560185,0.426074735,0.102432871,0.524594966,0.166965866,0.281515214,15.11883153,81.34827596,2. Moderately-Developed,2. Moderately-Developed,3. Developed,1. Under-Developed,2. Moderately-Developed,3. High Non-AL,2. Mod Asset Ownership,2. Moderate Female Emp,3. High Literacy
13,Changlang,253,0.35,0.44,0.21,0.93,0.00,0.07,6203,0,0,0,3,180,71,36,18,12,6,7,8,7,6,2,2,5,3,3,3,4,5,3,0,0,2,4,1,2,0,4,2,5,1,1,1,1,2,2,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,506.8862745,14247.6902,1,1,5326.666667,7,26.0627451,547,39.27058824,356.8784314,26.18823529,180.1254902,0,1512.454902,6.949019608,0,34147,139184,27.48227956,37.5416757,33.7590945,51.88700618,46.61473043,1.489671128,73.42764518,2.19451782,24.05841509,36.04773479,58.75685126,22.26660322,26.69759569,51.04790172,24.40725946,16.91070813,49.57322681,0.388261077,0.062382786,0.361191701,0.248142179,0.153722494,17.8698701,62.87504311,2. Moderately-Developed,3. Developed,2. Moderately-Developed,1. Under-Developed,2. Moderately-Developed,2. High AL,1. Low Asset Ownership,2. Moderate Female Emp,1. Low Literacy
14,Lohit,259,0.53,0.32,0.15,0.93,0.01,0.06,4909,0,0,0,0,124,46,19,5,6,3,5,1,1,0,3,1,2,0,2,0,0,1,1,0,2,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,383.2117647,7322.929412,1,9.356862745,5192.254902,56.14117647,105.9215686,1382.529412,172.3882353,418.9098039,162.5764706,611.9372549,13,1830.717647,2.435294118,4.356862745,37253,148803,35.00852549,30.76065015,33.23106327,43.53291815,51.59168121,4.87341959,68.42298875,1.061168228,30.08947467,32.55532172,65.00308163,11.16969103,52.9759724,35.83096663,20.39811025,20.02378984,51.96333407,0.484032427,0.05874598,0.444255577,0.189438461,0.203527931,16.26176892,70.45556877,2. Moderately-Developed,2. Moderately-Developed,2. Moderately-Developed,1. Under-Developed,2. Moderately-Developed,2. High AL,1. Low Asset Ownership,2. Moderate Female Emp,1. Low Literacy
15,Anjaw,260,0.83,0.07,0.10,0.97,0.00,0.03,8609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.88627451,2970.643137,1224.435294,10,11.63921569,17865.58431,28.20392157,278.6862745,363.2431373,27.79607843,6466.294118,49.67058824,12.25098039,6,10,239.3058824,8.325490196,4793,18568,67.08852493,12.59801794,19.41439599,40.00133528,54.82357605,5.171604423,83.2511788,1.366305028,14.77911538,18.89434592,74.34925934,11.85998331,0,88.13970373,29.76626454,22.49569151,41.07604481,0.31860338,0.06407657,0.275991863,0.464498435,0.112786355,23.34123223,57.65295131,3. Developed,3. Developed,3. Developed,1. Under-Developed,1. Under-Developed,2. High AL,1. Low Asset Ownership,3. High Female Emp,1. Low Literacy
16,Tinsukia,309,0.16,0.57,0.26,0.87,0.01,0.13,2022,0,0,0,4,644,400,255,191,115,126,94,122,103,94,68,53,45,33,28,34,27,31,36,23,19,35,27,21,25,17,15,26,11,12,25,15,16,5,23,14,9,18,11,9,11,5,8,12,6,8,9,6,3,2,6,2,7,4,3,2,0,0,0,47.04705882,1,3715.341176,0,1,483.3647059,64.54509804,204.4980392,5404.886275,186.0509804,357.2039216,284.5254902,1430.647059,59,4863.168627,0,87.83137255,348479,1473969,15.81184433,34.11854889,48.8165637,46.53044746,48.46382508,5.007143903,57.87495774,4.80526488,36.73626474,32.93118925,66.77355508,6.555913843,80.43148282,12.99281707,8.445496479,27.23327288,53.15193196,0.481252744,0.126218539,0.477572212,0.163784905,0.202435183,14.31271621,73.66823861,2. Moderately-Developed,2. Moderately-Developed,2. Moderately-Developed,1. Under-Developed,2. Moderately-Developed,3. High Non-AL,2. Mod Asset Ownership,2. Moderate Female Emp,2. Moderate Literacy
17,Dhemaji,308,0.64,0.25,0.11,0.95,0.01,0.04,3176,0,0,0,0,121,65,32,11,7,10,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.7294118,0,557.2392157,0,1,34.4745098,49.8627451,320.6627451,265.2588235,20.57647059,447.0627451,98.64313725,5369.556863,7,4271.027451,1,180.7607843,140095,624259,51.70722795,26.80667547,19.6664235,26.79787359,63.61313751,9.588130911,81.47395553,2.284817445,15.87563939,72.28035119,27.45027588,17.84658125,79.5476905,2.606085157,24.3491884,10.10445985,46.69119708,0.226417267,0.084354381,0.431220165,0.183774853,0.136699126,21.37189852,73.46774336,1. Under-Developed,2. Moderately-Developed,3. Developed,1. Under-Developed,2. Moderately-Developed,2. High AL,1. Low Asset Ownership,3. High Female Emp,2. Moderate Literacy
18,Dibrugarh,310,0.18,0.60,0.21,0.89,0.00,0.11,1150,0,0,0,6,691,458,311,194,183,107,113,99,96,75,97,87,79,48,51,43,34,44,26,20,20,22,26,19,22,18,17,23,21,22,13,23,15,22,15,10,19,13,7,14,12,11,13,11,7,8,9,4,6,2,3,0,0,0,0,0,0,0,0,551.0470588,1,812.1960784,0,0,105.5568627,61.56078431,713.4313725,2553.309804,100.2784314,932.5254902,117.1137255,3655.760784,137,4953.737255,0,658.7647059,424222,1769463,14.98415311,27.3509231,56.3038329,56.34518295,39.1152498,4.529736082,51.83163721,3.63770903,44.22638218,34.87145551,64.49467024,4.294600704,79.72703749,15.99267789,6.226804403,28.1485965,54.12760821,0.548535906,0.158437745,0.501350776,0.133886941,0.32161201,13.62430297,80.71115361,2. Moderately-Developed,2. Moderately-Developed,2. Moderately-Developed,1. Under-Developed,2. Moderately-Developed,3. High Non-AL,2. Mod Asset Ownership,2. Moderate Female Emp,2. Moderate Literacy
19,East Siang,251,0.53,0.14,0.32,0.94,0.00,0.06,4878,0,0,0,0,26,20,14,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,120.3686275,8225.811765,0,2,4999.305882,73.52941176,72.51372549,754.2470588,97.52941176,173.6156863,403.3882353,591.1411765,18,1431.529412,2,51,25296,110633,31.04573846,19.56399826,48.194003,55.63315939,41.5354562,2.826897533,63.62641129,1.345900538,34.55435642,19.08185879,80.43833017,10.04048071,19.87100727,70.09101044,18.29924164,18.97083149,55.68501261,0.546898403,0.097734227,0.587818627,0.134808151,0.369546095,17.19107319,74.19847604,3. Developed,3. Developed,2. Moderately-Developed,1. Under-Developed,3. Developed,1. High Unemployement,2. Mod Asset Ownership,2. Moderate Female Emp,2. Moderate Literacy
20,West Siang,250,0.38,0.17,0.44,0.94,0.00,0.06,10448,0,0,0,1,27,21,6,6,4,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.18431373,5158.454902,13399.03137,3,34.35686275,15532.44314,5,24.70196078,299.6588235,21,1055.305882,92.5254902,97.01960784,0,272.3019608,183.5686275,0,26631,119219,18.19244865,12.41967256,59.84339304,62.44996433,36.23228944,1.318117983,55.77682776,1.065938192,42.69694717,7.607896812,81.39276407,10.6913259,3.849194548,85.45339642,22.36724012,20.37343041,51.30809686,0.546894747,0.075113552,0.426662461,0.237426796,0.326322557,18.50711715,70.05762504,3. Developed,3. Developed,1. Under-Developed,1. Under-Developed,3. Developed,2. High AL,2. Mod Asset Ownership,3. High Female Emp,1. Low Literacy
21,Upper Subansiri,249,0.74,0.06,0.19,0.97,0.00,0.03,8465,0,0,0,0,13,8,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.07058824,7584.25098,4862.443137,4,10,13888.73333,0,158.7921569,86.02352941,14,1537.105882,8,21,0,10,924.9333333,72.43921569,18398,82158,51.49358082,7.662126318,33.72529623,41.3270736,56.45644092,2.216425698,68.74100446,1.419110773,29.51102294,22.50513099,47.59819546,20.80515273,0.256098489,78.93471029,22.4019572,13.04437791,54.56802746,0.309664257,0.055345037,0.215665018,0.417422057,0.154564246,20.20983958,66.0325227,2. Moderately-Developed,3. Developed,2. Moderately-Developed,1. Under-Developed,1. Under-Developed,1. High Unemployement,1. Low Asset Ownership,3. High Female Emp,1. Low Literacy
22,Jorhat,312,0.39,0.40,0.21,0.80,0.00,0.20,2312,0,0,0,2,643,513,54,99,56,35,28,21,15,17,18,14,5,7,10,4,7,2,3,5,3,2,3,3,2,3,2,0,3,3,0,2,3,2,2,1,2,3,1,3,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444.627451,1,887.3098039,0,1,88.76078431,43.30980392,655.8352941,1136.686275,31.85490196,771.8588235,77.80784314,4803.101961,41.91764706,4148.803922,2,352.1686275,352007,1411571,24.04227388,23.15297395,50.92999656,45.32432054,48.44544654,6.230772399,51.36552313,3.238724514,44.79427114,35.34317812,64.28599488,20.9256708,41.28408356,37.76876426,8.726943243,26.7568546,50.75713514,0.499507754,0.151057897,0.552399745,0.12032836,0.343565009,15.81344474,84.77851982,2. Moderately-Developed,2. Moderately-Developed,2. Moderately-Developed,1. Under-Developed,2. Moderately-Developed,3. High Non-AL,2. Mod Asset Ownership,2. Moderate Female Emp,3. High Literacy
23,Lakhimpur,307,0.48,0.38,0.15,0.92,0.00,0.08,3264,0,0,0,271,18,154,0,20,11,11,3,6,4,3,0,2,6,1,2,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.08235294,1,520.9764706,0,0,240.0588235,23.80392157,235.0039216,1133.137255,46.69803922,211.3294118,60.80392157,4206.345098,28.0745098,6197.341176,0,78.48627451,225414,966264,38.66319616,31.34634805,28.77140728,31.3715865,59.74148944,8.889097394,77.32746103,2.442356287,19.9357866,64.71380704,35.16078371,43.31335232,49.67695973,7.002383614,17.335428,15.01214989,52.04302344,0.258547078,0.079468609,0.448347605,0.182608653,0.180506761,16.05430814,78.00983996,1. Under-Developed,1. Under-Developed,3. Developed,1. Under-Developed,2. Moderately-Developed,1. High Unemployement,1. Low Asset Ownership,2. Moderate Female Emp,3. High Literacy
24,Lower Subansiri,255,0.46,0.20,0.34,0.90,0.01,0.09,3126,0,0,0,60,39,0,14,13,5,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330.1215686,5434.070588,3,2,5193.831373,16,0.309803922,135.3098039,0,6.733333333,43.53333333,44.29019608,0,25.79607843,0,0,18221,83900,21.82565172,13.92890621,58.51134405,64.03759947,34.6833873,1.278815652,60.30745843,3.318012184,36.01360518,5.559733275,85.68787663,12.13924044,0.783019593,87.07586302,12.55065554,19.22646007,58.70202622,0.537342627,0.11315526,0.517493716,0.199023544,0.336937489,17.05721097,75.85220501,3. Developed,3. Developed,1. Under-Developed,1. Under-Developed,3. Developed,1. High Unemployement,2. Mod Asset Ownership,2. Moderate Female Emp,2. Moderate Literacy
25,Papum Pare,248,0.61,0.09,0.30,0.76,0.01,0.23,4458,0,0,0,0,119,95,51,45,28,16,14,10,15,6,11,13,13,7,7,8,5,3,5,2,2,4,3,4,2,5,1,2,1,2,2,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1234.952941,9552.313725,0,0,5131.180392,0,2.623529412,526.4941176,20.67058824,8.890196078,9,112.1333333,34,443.5137255,0,0,57202,235679,16.9081623,7.490727597,74.74621167,61.8524632,34.50978113,3.684946331,18.97117408,1.931733156,78.24044614,3.671404846,94.27484529,19.25286528,1.872389077,78.82703227,5.353043759,28.35254732,56.86675521,0.749129296,0.241715605,0.716012132,0.069401262,0.469259939,15.65434341,81.66361874,3. Developed,3. Developed,1. Under-Developed,3. Developed,3. Developed,3. High Non-AL,3. High Asset Ownership,2. Moderate Female Emp,2. Moderate Literacy
26,Kurung Kumey,256,0.81,0.04,0.15,0.98,0.01,0.01,8964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.54117647,6962.996078,2550.121569,1.156862745,4,17661.98824,0,229.7098039,124.4235294,19,1572.462745,2.419607843,1,0,7,1464.415686,160.7764706,15406,76500,73.74714397,3.201492925,13.20541348,42.20954174,45.01881734,12.76444243,94.26918733,1.465701675,3.834019213,10.63858237,30.90336882,56.57304297,0.665623783,42.75964559,25.34379085,6.958169935,49.55816993,0.089340517,0.05994249,0.193717188,0.602739582,0.092872388,25.79477124,49.34509804,2. Moderately-Developed,1. Under-Developed,3. Developed,1. Under-Developed,1. Under-Developed,2. High AL,1. Low Asset Ownership,3. High Female Emp,1. Low Literacy
