census_code,EMP_2011,EMP_2001,MSW_2011,MSW_2001,BF_2011,BF_2001,MSL_2011,MSL_2001,FC_2011,FC_2001,CHH_2011,CHH_2001,F_EMP_2001,F_EMP_2011,ASSET_2011,ASSET_2001
311,3,3,2,2,2,2,2,1,1,1,1,1,2,2,2,1
312,3,3,2,1,2,2,2,2,1,1,1,1,2,2,2,1
313,1,1,2,2,2,2,1,1,1,1,1,1,2,2,1,1
314,1,2,1,1,2,2,1,1,1,1,1,1,2,2,1,1
315,1,1,1,1,2,2,2,1,1,1,1,1,2,2,1,1
316,3,3,1,1,2,2,1,1,1,1,1,1,1,2,1,1
317,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1
318,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1
319,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1
321,3,3,2,2,3,2,2,2,3,3,2,1,1,2,2,1
323,1,1,2,2,2,2,2,1,1,1,1,1,1,2,1,1
325,1,1,2,2,1,2,1,1,1,1,1,1,1,2,1,1
327,3,3,1,1,3,2,3,2,1,1,2,1,1,2,2,1
328,3,3,1,1,1,1,2,1,1,1,1,1,2,2,1,1
329,1,1,2,2,2,1,1,1,1,2,1,1,2,2,1,1
330,1,2,2,2,1,1,1,1,2,2,1,2,2,2,1,1
331,1,2,2,2,1,1,2,1,2,2,1,1,2,2,1,1
332,1,1,2,2,1,1,1,1,2,2,1,1,2,2,1,1
333,1,1,2,2,1,1,1,1,2,2,1,1,1,2,1,1
334,1,1,2,2,1,1,2,1,2,2,1,1,1,2,1,1
335,1,1,2,2,2,1,2,2,2,2,2,2,1,2,2,1
336,1,1,2,2,2,2,2,1,2,2,1,1,1,2,1,1
337,3,3,2,2,2,2,2,2,3,2,2,2,1,2,2,1
338,3,3,2,2,2,2,3,2,2,2,2,2,1,2,2,1
339,1,2,2,2,1,1,2,1,2,1,1,2,2,2,1,1
340,1,1,2,1,1,1,1,1,1,1,1,2,3,2,1,1
341,3,3,2,2,2,2,3,2,2,2,2,2,1,2,2,1
342,3,3,3,3,3,3,3,3,3,3,3,2,1,2,3,2
343,3,3,2,2,2,1,2,1,2,2,1,1,1,2,1,1
344,1,1,2,2,2,1,2,1,2,2,1,2,2,2,1,1
346,1,2,2,1,1,1,1,1,1,1,1,1,2,2,1,1
347,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1
348,1,1,1,1,1,1,2,1,1,1,2,1,2,2,2,1
349,1,1,1,1,1,1,1,1,2,2,2,1,2,2,1,1
350,1,1,2,1,1,1,2,1,2,2,1,1,2,2,1,1
351,1,1,2,1,1,1,1,1,2,2,1,1,2,2,1,1
352,2,2,2,2,1,1,1,1,2,1,1,1,3,2,1,1
353,2,2,2,2,1,1,1,1,2,2,1,1,3,2,1,1
354,3,3,1,1,1,1,3,2,2,2,2,2,1,2,2,1
355,3,1,1,1,1,1,2,2,2,2,2,2,1,2,2,1
356,2,2,1,1,1,1,1,1,1,1,1,1,3,2,1,1
357,3,3,2,1,3,1,3,2,3,2,2,2,1,2,2,1
358,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1
360,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,1
362,1,2,2,1,1,1,1,1,1,1,1,1,3,2,1,1
364,1,1,1,1,1,1,2,1,1,1,2,1,2,2,2,1
366,2,2,1,1,1,1,1,1,1,1,1,1,3,2,1,1
368,1,2,2,1,1,1,2,1,1,1,2,1,3,2,1,1
370,2,2,2,2,1,1,2,1,1,1,1,1,2,2,1,1
371,3,1,2,1,1,1,2,2,1,1,1,1,2,2,2,1
372,2,1,2,2,1,1,2,1,1,1,1,1,3,2,1,1
373,2,2,2,2,1,1,1,1,1,1,1,1,3,2,1,1
374,1,1,2,2,1,1,2,1,1,1,1,1,2,2,1,1
375,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1
376,2,2,2,1,1,1,1,1,1,1,1,1,3,2,1,1
377,1,1,2,2,1,1,2,1,2,2,1,1,1,2,1,1
378,1,1,2,2,1,1,2,1,2,2,1,1,1,2,1,1
379,1,1,2,2,1,1,2,1,2,2,1,1,1,2,1,1
380,1,1,2,2,1,1,2,1,2,1,1,1,1,2,2,1
381,1,1,2,1,1,1,2,2,2,1,1,1,1,2,2,1
382,1,1,2,1,1,1,2,1,2,2,1,1,1,2,1,1
383,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1
384,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1
385,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1
386,3,3,1,1,1,1,2,2,3,1,2,1,1,2,2,2
387,1,1,2,2,1,1,2,1,2,2,1,1,1,2,1,1
388,1,1,2,2,1,1,2,1,1,1,1,1,2,2,1,1
389,2,2,1,1,1,1,2,1,1,1,1,1,3,2,1,1
390,2,2,1,1,1,1,1,1,1,1,1,1,3,2,1,1
391,2,2,2,2,1,1,1,1,1,1,1,1,3,2,1,1
392,2,2,2,2,1,1,1,1,1,1,1,1,2,2,1,1
393,1,1,2,2,1,1,1,1,1,1,1,1,2,2,1,1
394,2,2,2,2,1,1,1,1,1,1,1,1,3,2,1,1
395,2,2,2,2,1,1,1,1,1,1,1,1,3,2,1,1
396,2,2,2,2,1,1,1,1,1,1,1,1,3,2,1,1
397,2,2,2,2,1,1,1,1,1,1,1,1,3,2,1,1
398,2,2,2,2,1,1,1,1,1,1,1,1,3,2,1,1
399,2,2,2,2,1,1,1,1,1,1,1,1,3,2,1,1
400,2,2,2,1,1,1,2,2,1,1,2,2,3,2,1,1
401,2,2,2,1,1,1,2,1,1,1,2,2,3,2,1,1
402,2,2,2,1,1,1,2,1,1,1,2,3,3,2,1,1
403,2,2,2,2,1,1,3,2,1,1,1,2,3,2,1,1
404,1,2,2,1,1,1,3,2,1,1,2,2,3,2,1,1
405,2,2,2,2,1,1,3,2,1,1,1,2,3,2,1,1
406,2,2,2,2,1,1,3,2,1,1,1,2,3,2,1,1
407,2,2,2,2,1,1,3,2,1,1,1,1,3,2,1,1
408,2,2,2,2,1,1,3,2,1,1,2,2,3,3,1,1
409,2,2,2,2,1,1,3,2,1,1,2,2,3,2,2,1
410,1,2,2,2,1,1,3,2,1,1,2,2,3,2,2,1
411,2,2,2,2,1,1,3,2,1,1,1,2,3,2,1,1
412,2,2,2,2,1,1,3,2,1,1,2,2,3,2,1,1
413,2,2,2,2,1,1,2,2,1,1,2,2,3,2,1,1
414,2,2,2,2,1,1,2,1,1,1,2,2,3,2,1,1
416,2,2,2,2,1,1,1,1,1,1,2,2,3,3,1,1
418,2,2,2,2,1,1,2,2,1,1,1,1,2,2,1,1
419,1,1,2,1,1,1,1,2,2,2,2,2,2,3,1,1
420,1,1,2,1,1,1,1,2,2,2,2,2,2,3,1,1
421,3,3,2,3,3,2,3,3,3,3,3,2,1,3,3,2
422,2,2,2,2,1,1,2,2,2,2,2,2,3,3,2,1
423,2,2,2,1,1,1,2,2,1,1,2,2,3,2,1,1
424,2,2,2,1,1,1,2,2,1,1,2,2,3,3,1,1
425,2,2,2,1,1,1,2,2,1,1,2,2,2,3,1,1
426,2,2,2,1,1,1,1,1,1,1,2,2,3,3,1,1
427,2,1,2,1,1,1,2,2,1,1,2,2,2,2,1,1
428,2,2,2,1,1,1,2,2,1,1,2,2,3,2,1,1
429,1,1,2,1,1,1,2,2,1,1,3,3,2,3,1,1
430,1,2,2,1,1,1,2,2,2,2,3,3,3,2,1,1
431,1,2,2,1,1,1,2,2,1,1,2,2,3,2,1,1
432,2,2,1,3,1,1,3,3,1,1,2,2,3,3,2,2
433,2,2,1,1,1,1,3,3,1,1,2,2,3,3,2,1
434,2,2,2,2,1,1,2,3,1,1,2,2,3,3,2,1
435,2,2,2,2,1,1,3,3,1,1,2,2,3,3,2,2
436,2,2,2,2,1,1,3,3,1,1,2,2,3,3,1,1
437,2,2,2,2,1,1,3,3,1,1,2,2,3,2,2,1
438,2,2,2,2,1,1,3,3,1,2,2,1,3,3,1,1
439,3,3,2,3,3,2,3,3,3,3,3,3,1,2,3,3
